Nombre d'évènement;Années;Durée moyenne des évènements (jours);Jours;Pm 10 (µg/m3)
24;2005;3;14/07/2015;47,0
30;2006;3;15/07/2015;50,0
31;2007;3;16/07/2015;53,1
24;2008;2;17/07/2015;74,5
22;2009;2;18/07/2015;74,6
24;2010;3;19/07/2015;41,2
25;2011;2;20/07/2015;53,9
30;2012;3;21/07/2015;54,6
29;2015;4;22/07/2015;51,5
;;;23/07/2015;64,7
;;;24/07/2015;39,2
;;;25/07/2015;61,1
;;;26/07/2015;54,8
;;;27/07/2015;46,4
;;;28/07/2015;54,5
;;;29/07/2015;63,9
;;;30/07/2015;67,9
;;;31/07/2015;57,2
;;;01/08/2015;42,9
;;;02/08/2015;46,4
;;;03/08/2015;43,6

24;2005;3;14/07/2015;47,0
30;2006;3;15/07/2015;50,0
31;2007;3;16/07/2015;53,1
24;2008;2;17/07/2015;74,5
22;2009;2;18/07/2015;74,6
24;2010;3;19/07/2015;41,2
25;2011;2;20/07/2015;53,9
30;2012;3;21/07/2015;54,6
29;2015;4;22/07/2015;51,5
;;;23/07/2015;64,7
;;;24/07/2015;39,2
;;;25/07/2015;61,1
;;;26/07/2015;54,8
;;;27/07/2015;46,4
;;;28/07/2015;54,5
;;;29/07/2015;63,9
;;;30/07/2015;67,9
;;;31/07/2015;57,2
;;;01/08/2015;42,9
;;;02/08/2015;46,4
;;;03/08/2015;43,6
