dd,mm,yyyy,nobs,AOT_1020_avg,AOT_1020_std,AOT_1020_med,AOTExt1020-T_avg,AOTExt1020-T_std,AOTExt1020-T_med,AOTExt1020-C_avg,AOTExt1020-C_std,AOTExt1020-C_med,AOTExt1020-F_avg,AOTExt1020-F_std,AOTExt1020-F_med,AOTAbsp1020-T_avg,AOTAbsp1020-T_std,AOTAbsp1020-T_med,SSA1020-T_avg,SSA1020-T_std,SSA1020-T_med,REFR(1020)_avg,REFR(1020)_std,REFR(1020)_med,REFI(1020)_avg,REFI(1020)_std,REFI(1020)_med,ASYM1020-T_avg,ASYM1020-T_std,ASYM1020-T_med,ASYM1020-C_avg,ASYM1020-C_std,ASYM1020-C_med,ASYM1020-F_avg,ASYM1020-F_std,ASYM1020-F_med,"870-440AngstromParam,[AOTExt]-Total_avg","870-440AngstromParam,[AOTExt]-Total_std","870-440AngstromParam,[AOTExt]-Total_med",Inflection_Point[um]_avg,Inflection_Point[um]_std,Inflection_Point[um]_med,"0,065604_avg","0,065604_std","0,065604_med","0,086077_avg","0,086077_std","0,086077_med","0,112939_avg","0,112939_std","0,112939_med","0,148184_avg","0,148184_std","0,148184_med","0,194429_avg","0,194429_std","0,194429_med","0,255105_avg","0,255105_std","0,255105_med","0,334716_avg","0,334716_std","0,334716_med","0,439173_avg","0,439173_std","0,439173_med","0,576227_avg","0,576227_std","0,576227_med","0,756052_avg","0,756052_std","0,756052_med","0,991996_avg","0,991996_std","0,991996_med","1,301571_avg","1,301571_std","1,301571_med","1,707757_avg","1,707757_std","1,707757_med","2,240702_avg","2,240702_std","2,240702_med","2,939966_avg","2,939966_std","2,939966_med","3,857452_avg","3,857452_std","3,857452_med","5,061260_avg","5,061260_std","5,061260_med","6,640745_avg","6,640745_std","6,640745_med","8,713145_avg","8,713145_std","8,713145_med","11,432287_avg","11,432287_std","11,432287_med","15,000000_avg","15,000000_std","15,000000_med"
3,9,2007,3,"0,0501327","0,00160554","0,049762","0,0546333","0,00458282","0,0525","0,046","0,00368872","0,0444","0,00863333","0,000899383","0,0081","0,00886967","0,00135538","0,007977","0,8385","0,0113868","0,8418","1,42227","0,00784874","1,4178","0,0156413","0,00119422","0,015239","0,757629","0,000932535","0,757121","0,799056","0,00235763","0,800446","0,536981","0,018648","0,532408","0,49679","0,0382769","0,520174","0,439",0,"0,439","0,000889667","0,00040569","0,00068","0,00218333","0,000989884","0,001735","0,00333567","0,000980703","0,00304","0,00371133","0,000277889","0,003828","0,00354133","0,000416309","0,003764","0,003205","0,00063569","0,003216","0,00304867","0,000622892","0,002819","0,00347367","0,000486412","0,003192","0,00499567","0,000243864","0,004984","0,007918","0,000385565","0,008068","0,0119017","0,00113764","0,011737","0,0170717","0,00277785","0,015245","0,021299","0,0039941","0,018649","0,020468","0,00344651","0,018489","0,015083","0,00148495","0,014969","0,00894933","0,000597571","0,00857","0,004531","0,00068782","0,004641","0,00205567","0,000435053","0,002228","0,000867333","0,00018864","0,000962","0,000350333","5,51E-05","0,000381","0,000139333","1,25E-06","0,000139"
6,9,2007,3,"0,0900843","0,0201733","0,077912","0,0944333","0,019595","0,0831","0,0842667","0,017449","0,0743","0,0101667","0,00214838","0,0088","0,00524467","0,00192856","0,006026","0,9387","0,0285665","0,9229","1,42583","0,0137386","1,42","0,004589","0,00217169","0,005794","0,74546","0,00534806","0,748979","0,772736","0,0060721","0,776776","0,519323","0,00331842","0,521405","0,384244","0,0297222","0,398363","0,439",0,"0,439","0,00111633","0,000234771","0,001184","0,002935","0,00048589","0,002923","0,00499833","0,000370931","0,005066","0,005869","0,00110946","0,005422","0,00509933","0,00130933","0,004281","0,00386033","0,000836387","0,003286","0,00339067","0,000625091","0,002979","0,004323","0,000840362","0,00382","0,00772767","0,00125892","0,007045","0,0143847","0,00152479","0,013727","0,022009","0,0029716","0,020821","0,0292777","0,00666911","0,025862","0,0365583","0,00964056","0,031197","0,0378287","0,00734741","0,033835","0,031019","0,00341423","0,029704","0,0204273","0,00122993","0,021158","0,0109633","0,000852015","0,010926","0,00494367","0,000467494","0,004934","0,001946","0,000189868","0,002041","0,000688333","8,38E-05","0,000694","0,000222667","4,58E-05","0,000197"
7,9,2007,2,"0,048177","0,003611","0,048177","0,05115","0,00365","0,05115","0,04365","0,00295","0,04365","0,0075","0,0007","0,0075","0,004634","0,000609","0,004634","0,90805","0,01845","0,90805","1,4693","0,074","1,4693","0,006333","0,002272","0,006333","0,73161","0,0227375","0,73161","0,773118","0,0219335","0,773118","0,491651","0,018416","0,491651","0,591011","0,00783151","0,591011","0,439",0,"0,439","0,0008435","0,0001765","0,0008435","0,0023675","0,0003255","0,0023675","0,0040335","0,0002065","0,0040335","0,004379","6,90E-05","0,004379","0,0034115","0,0002915","0,0034115","0,0023965","0,0005025","0,0023965","0,0019755","0,0005065","0,0019755","0,002369","0,000418","0,002369","0,0042295","0,0001885","0,0042295","0,007966","0,000295","0,007966","0,0110255","0,0001095","0,0110255","0,011802","0,000877","0,011802","0,012317","0,002311","0,012317","0,013423","0,003875","0,013423","0,014442","0,003417","0,014442","0,0162345","0,0011315","0,0162345","0,0214245","0,0114105","0,0214245","0,0266345","0,0214985","0,0266345","0,017235","0,015202","0,017235","0,003924","0,003303","0,003924","0,0003105","0,0001645","0,0003105"
11,9,2007,2,"0,317227","0,032601","0,317227","0,32115","0,03245","0,32115","0,2864","0,0299","0,2864","0,0348","0,0025","0,0348","0,0126275","0,0100425","0,0126275","0,96345","0,02755","0,96345","1,48615","0,02505","1,48615","0,0027375","0,0020845","0,0027375","0,732766","0,00146797","0,732766","0,75416","0,001748","0,75416","0,558496","0,004381","0,558496","0,274843","0,0222935","0,274843","0,439",0,"0,439","0,0030465","0,0010405","0,0030465","0,0068985","0,0019255","0,0068985","0,0106195","0,0015205","0,0106195","0,0118475","9,15E-05","0,0118475","0,010617","0,000945","0,010617","0,009349","0,00079","0,009349","0,010564","0,000515","0,010564","0,0167375","0,0001005","0,0167375","0,029723","0,0022","0,029723","0,045355","0,006762","0,045355","0,061723","0,00771","0,061723","0,0870575","0,0023995","0,0870575","0,116387","0,0028925","0,116387","0,120292","0,0045145","0,120292","0,100177","0,0188125","0,100177","0,072993","0,028353","0,072993","0,047736","0,026956","0,047736","0,0262675","0,0173935","0,0262675","0,0111","0,007415","0,0111","0,003458","0,001921","0,003458","0,0008495","0,0001985","0,0008495"
16,9,2007,3,"0,0428563","0,000572321","0,042974","0,0441","0,00147196","0,0436","0,0348333","0,00202868","0,0335","0,00926667","0,000694422","0,0093","0,00524","0,000419906","0,005469","0,8808","0,0129401","0,8717","1,40353","0,0405267","1,3785","0,008491","0,000896143","0,008924","0,728378","0,0108547","0,721794","0,79857","0,0166198","0,808576","0,465577","0,030438","0,475289","0,792923","0,0679386","0,838329","0,439",0,"0,439","0,000939","0,000232392","0,000804","0,00342567","0,00124208","0,002572","0,007123","0,00273795","0,005203","0,00843833","0,00275844","0,00711","0,00633733","0,00163994","0,00674","0,003947","0,00111117","0,004308","0,00278733","0,000747201","0,0027","0,002768","0,000309336","0,002567","0,003957","0,000473709","0,003702","0,00608","0,000608632","0,005855","0,00791933","0,00027551","0,007966","0,009501","0,000836089","0,009914","0,011667","0,000746256","0,01195","0,0141017","0,000399588","0,014079","0,0162153","0,00194221","0,015643","0,017156","0,0027015","0,015873","0,0152297","0,002002","0,014233","0,0100113","0,00110784","0,010764","0,00438","0,000679861","0,004234","0,00118733","0,000219205","0,001045","0,000194333","3,17E-05","0,000185"
19,9,2007,2,"0,131634","0,023546","0,131634","0,13565","0,02365","0,13565","0,1196","0,0214","0,1196","0,01605","0,00225","0,01605","0,0108645","0,0071705","0,0108645","0,9269","0,0401","0,9269","1,455","0,0129","1,455","0,0058995","0,0032725","0,0058995","0,738523","0,00784749","0,738523","0,764994","0,00598601","0,764994","0,545837","0,0156945","0,545837","0,311511","0,026593","0,311511","0,439",0,"0,439","0,0016115","0,0008805","0,0016115","0,003784","0,001722","0,003784","0,0057855","0,0014375","0,0057855","0,006474","0,000119","0,006474","0,0058305","0,0003835","0,0058305","0,004986","0,00019","0,004986","0,0051965","0,0010105","0,0051965","0,007406","0,001981","0,007406","0,013068","0,003464","0,013068","0,0216325","0,0055365","0,0216325","0,029733","0,006981","0,029733","0,0389015","0,0048135","0,0389015","0,049261","0,003488","0,049261","0,048776","0,008784","0,048776","0,040684","0,014546","0,040684","0,030098","0,015904","0,030098","0,019084","0,012248","0,019084","0,0097615","0,0066835","0,0097615","0,003895","0,002545","0,003895","0,001225","0,000634","0,001225","0,0003275","6,65E-05","0,0003275"
21,9,2007,2,"0,031354","0,002083","0,031354","0,0343","0,0024","0,0343","0,0226","0,0017","0,0226","0,01175","0,00065","0,01175","0,005917","0,000906","0,005917","0,82855","0,01455","0,82855","1,46505","0,01795","1,46505","0,0170875","0,0020345","0,0170875","0,656821","0,0119395","0,656821","0,777349","0,00943798","0,777349","0,417367","0,010047","0,417367","1,08157","0,0184985","1,08157","0,439",0,"0,439","0,000967","0,000171","0,000967","0,003895","0,000652","0,003895","0,008448","0,000656","0,008448","0,009747","0,000504","0,009747","0,0063795","0,0009825","0,0063795","0,0031125","0,0005645","0,0031125","0,0018575","0,0002665","0,0018575","0,001912","0,000167","0,001912","0,003111","0,000198","0,003111","0,005123","0,00048","0,005123","0,0060225","0,0006845","0,0060225","0,006286","0,000596","0,006286","0,0072615","0,0005375","0,0072615","0,0078975","0,0006135","0,0078975","0,0071145","0,0006505","0,0071145","0,0051585","0,0005965","0,0051585","0,0031095","0,0004325","0,0031095","0,0016275","0,0002385","0,0016275","0,000773","0,000103","0,000773","0,000343","3,40E-05","0,000343","0,0001445","6,50E-06","0,0001445"
16,10,2007,2,"0,100394","0,0065875","0,100393","0,1012","0,0062","0,1012","0,092","0,0057","0,092","0,00925","0,00055","0,00925","0,0070945","0,0030125","0,0070945","0,93145","0,02555","0,93145","1,4524","0,00849998","1,4524","0,004281","0,001592","0,004281","0,743926","0,0039565","0,743926","0,763929","0,00423351","0,763928","0,5484","0,00336552","0,5484","0,216334","0,0340895","0,216333","0,439",0,"0,439","0,0012165","0,0002415","0,0012165","0,002961","0,000563","0,002961","0,0042695","0,0004165","0,0042695","0,00403","0,000152","0,00403","0,003033","0,000425","0,003033","0,002437","0,000382","0,002437","0,002804","0,000277","0,002804","0,004924","0,000147","0,004924","0,01003","0,000214","0,01003","0,0159735","0,0009655","0,0159735","0,019236","0,001955","0,019236","0,024132","0,003443","0,024132","0,0331665","0,0039195","0,0331665","0,0417565","0,0023905","0,0417565","0,0440525","0,000889499","0,0440525","0,041932","0,002811","0,041932","0,0368665","0,0075345","0,0368665","0,026354","0,009553","0,026354","0,0121455","0,0054835","0,0121455","0,0030025","0,0012875","0,0030025","0,0003805","0,0001005","0,0003805"
6,11,2007,2,"0,019205",0,"0,019205","0,02165","0,00035","0,02165","0,01695","0,000949999","0,01695","0,0047","0,0006","0,0047","0,003681","0,000658","0,003681","0,82915","0,03325","0,82915","1,4048","0,0174","1,4048","0,015606","0,00538","0,015606","0,740209","0,00700101","0,740209","0,807876","0,000544995","0,807876","0,493936","0,00989451","0,493935","0,851777","0,002482","0,851777","0,439",0,"0,439","0,0004355","2,05E-05","0,0004355","0,0012675","5,75E-05","0,0012675","0,0023655","3,45E-05","0,0023655","0,0029645","9,55E-05","0,0029645","0,002709","0,000176","0,002709","0,002019","8,90E-05","0,002019","0,0014715","6,45E-05","0,0014715","0,0013625","0,0001935","0,0013625","0,0018355","0,0002765","0,0018355","0,0030305","7,75E-05","0,0030305","0,004481","0,000579","0,004481","0,0050855","0,0007205","0,0050855","0,005552","0,000359","0,005552","0,0066115","0,0003425","0,0066115","0,0076015","0,0007355","0,0076015","0,00767","0,001386","0,00767","0,006126","0,001602","0,006126","0,00358","0,001103","0,00358","0,001469","0,000443","0,001469","0,0004185","9,55E-05","0,0004185","8,40E-05","6,00E-06","8,40E-05"
20,11,2007,3,"0,068137","0,0112095","0,066775","0,0691","0,0106743","0,0682","0,0416","0,00375322","0,0392","0,0275","0,00738422","0,029","0,0313893","0,00771014","0,032366","0,5525","0,0479908","0,5257","1,52267","0,0281823","1,5158","0,117904","0,0334104","0,1338","0,743154","0,00530406","0,740639","0,843221","0,0129537","0,843217","0,560671","0,00812169","0,564246","0,569381","0,0134459","0,578649","0,439",0,"0,439","0,00381633","0,00108521","0,003944","0,00455133","0,000615329","0,004516","0,004235","0,00107341","0,004311","0,003713","0,00123695","0,003016","0,00378","0,00125446","0,003251","0,00447133","0,00126515","0,00437","0,005324","0,00106384","0,005242","0,006277","0,000753069","0,005942","0,007536","0,000762378","0,007081","0,008801","0,000905488","0,008454","0,010338","0,000816432","0,010017","0,0123183","0,000687904","0,011848","0,013683","0,000982104","0,013092","0,0134973","0,0015826","0,012418","0,0119917","0,00209095","0,010714","0,00953767","0,00220188","0,008258","0,00657867","0,00182019","0,00557","0,00381267","0,0011455","0,003218","0,00182633","0,000535898","0,001576","0,000718667","0,000180769","0,000651","0,000232667","4,11E-05","0,000226"
