dd,mm,yyyy,nobs,AOT_1020_avg,AOT_1020_std,AOT_1020_med,AOTExt1020-T_avg,AOTExt1020-T_std,AOTExt1020-T_med,AOTExt1020-C_avg,AOTExt1020-C_std,AOTExt1020-C_med,AOTExt1020-F_avg,AOTExt1020-F_std,AOTExt1020-F_med,AOTAbsp1020-T_avg,AOTAbsp1020-T_std,AOTAbsp1020-T_med,SSA1020-T_avg,SSA1020-T_std,SSA1020-T_med,REFR(1020)_avg,REFR(1020)_std,REFR(1020)_med,REFI(1020)_avg,REFI(1020)_std,REFI(1020)_med,ASYM1020-T_avg,ASYM1020-T_std,ASYM1020-T_med,ASYM1020-C_avg,ASYM1020-C_std,ASYM1020-C_med,ASYM1020-F_avg,ASYM1020-F_std,ASYM1020-F_med,"870-440AngstromParam,[AOTExt]-Total_avg","870-440AngstromParam,[AOTExt]-Total_std","870-440AngstromParam,[AOTExt]-Total_med",Inflection_Point[um]_avg,Inflection_Point[um]_std,Inflection_Point[um]_med,"0,065604_avg","0,065604_std","0,065604_med","0,086077_avg","0,086077_std","0,086077_med","0,112939_avg","0,112939_std","0,112939_med","0,148184_avg","0,148184_std","0,148184_med","0,194429_avg","0,194429_std","0,194429_med","0,255105_avg","0,255105_std","0,255105_med","0,334716_avg","0,334716_std","0,334716_med","0,439173_avg","0,439173_std","0,439173_med","0,576227_avg","0,576227_std","0,576227_med","0,756052_avg","0,756052_std","0,756052_med","0,991996_avg","0,991996_std","0,991996_med","1,301571_avg","1,301571_std","1,301571_med","1,707757_avg","1,707757_std","1,707757_med","2,240702_avg","2,240702_std","2,240702_med","2,939966_avg","2,939966_std","2,939966_med","3,857452_avg","3,857452_std","3,857452_med","5,061260_avg","5,061260_std","5,061260_med","6,640745_avg","6,640745_std","6,640745_med","8,713145_avg","8,713145_std","8,713145_med","11,432287_avg","11,432287_std","11,432287_med","15,000000_avg","15,000000_std","15,000000_med"
3,8,2005,3,"0,472487","0,0301268","0,455125","0,474767","0,0307403","0,4579","0,391967","0,0447481","0,3748","0,0828667","0,0147805","0,0832","0,0220177","0,0085805","0,023094","0,952367","0,0204653","0,9496","1,51373","0,0139409","1,5051","0,00317233","0,00156327","0,003196","0,709501","0,00583105","0,709063","0,74859","0,0106987","0,741914","0,535874","0,0121161","0,528527","0,453825","0,133627","0,462597","0,439",0,"0,439","0,00323133","0,000720662","0,003434","0,00899467","0,00210244","0,009395","0,017607","0,00236632","0,016556","0,0259727","0,0044438","0,026868","0,030057","0,00993976","0,027048","0,027384","0,00866864","0,024134","0,023341","0,0033978","0,021893","0,0236077","0,000992411","0,023433","0,030194","0,00307031","0,028044","0,046465","0,00427409","0,043594","0,0775557","0,00736383","0,075697","0,120054","0,0190964","0,116879","0,152737","0,0312095","0,142479","0,169989","0,0293444","0,156317","0,189934","0,020435","0,176724","0,195146","0,00631799","0,191864","0,15207","0,00614738","0,153506","0,078208","0,0078475","0,077535","0,0251217","0,00342592","0,023851","0,00497467","0,000686906","0,004501","0,000608667","6,86E-05","0,000606"
5,8,2005,3,"0,538106","0,00405889","0,538145","0,542233","0,00589766","0,5407","0,490133","0,00308798","0,488","0,0520333","0,00715604","0,0479","0,027727","0,00123905","0,027977","0,948867","0,00284527","0,9483","1,484","0,0360423","1,4632","0,003301","0,000166283","0,003326","0,740489","0,0166407","0,751097","0,75464","0,0155099","0,764739","0,608384","0,00889099","0,614276","0,149196","0,004595","0,148313","0,439",0,"0,439","0,008259","0,00275269","0,009948","0,012879","0,00360516","0,015033","0,0116463","0,00164024","0,012643","0,00873267","0,000362782","0,0085","0,00798767","0,00132244","0,007126","0,0107307","0,00164251","0,009643","0,0190697","0,000546903","0,018694","0,032113","0,00272693","0,033898","0,0394413","0,00293362","0,041188","0,0442213","0,00292563","0,042888","0,069174","0,0125646","0,061638","0,149903","0,0162374","0,138884","0,296082","0,025457","0,301075","0,344848","0,0466527","0,357799","0,254059","0,0146732","0,263558","0,133086","0,0128589","0,133763","0,0553707","0,0130357","0,052083","0,0197437","0,00617449","0,01735","0,00635067","0,00190443","0,005396","0,00192133","0,000361395","0,001684","0,000573667","6,27E-05","0,000561"
27,9,2005,2,"0,148201","0,001318","0,148201","0,1485","0,0013","0,1485","0,1274","0,0021","0,1274","0,0212","0,0008","0,0212","0,007982","0,002619","0,007982","0,9461","0,0181","0,9461","1,43235","0,02925","1,43235","0,004016","0,001693","0,004016","0,748023","0,011844","0,748023","0,782505","0,00993702","0,782505","0,54239","0,0106255","0,542391","0,446429","0,017233","0,446429","0,439",0,"0,439","0,0006775","0,0002285","0,0006775","0,002225","0,000917","0,002225","0,0052905","0,0018255","0,0052905","0,008873","0,00133","0,008873","0,0105955","0,0010235","0,0105955","0,0096525","0,0021855","0,0096525","0,008291","0,001402","0,008291","0,0088105","0,0002335","0,0088105","0,0119715","0,0005465","0,0119715","0,0182575","0,0005775","0,0182575","0,028637","0,001087","0,028637","0,0413045","0,0033735","0,0413045","0,0491055","0,0016225","0,0491055","0,0517305","0,0068865","0,0517305","0,0540395","0,0149705","0,0540395","0,0491745","0,0146675","0,0491745","0,0332455","0,0066325","0,0332455","0,0159395","0,0007625","0,0159395","0,005386","0,000413","0,005386","0,001262","0,000162","0,001262","0,0002025","1,95E-05","0,0002025"
7,10,2005,2,"0,0644335","0,0047745","0,0644335","0,0649","0,0055","0,0649","0,0548","0,0037","0,0548","0,0101","0,0018","0,0101","0,001442","0,000655","0,001442","0,97675","0,01205","0,97675","1,59605","0,00395","1,59605","0,0011475","0,0006475","0,0011475","0,69432","0,00643602","0,69432","0,716494","0,00752702","0,716494","0,571314","0,0120735","0,571315","0,220888","0,029056","0,220888","0,439",0,"0,439","0,000349","0,000129","0,000349","0,000873","0,000368","0,000873","0,001406","0,000451","0,001406","0,0016345","0,0001575","0,0016345","0,001665","0,000254","0,001665","0,001798","0,000522","0,001798","0,0023875","0,0006475","0,0023875","0,00389","0,000508","0,00389","0,006019","0,000132","0,006019","0,006899","0,000262","0,006899","0,00693","0,000598","0,00693","0,0083475","0,0017545","0,0083475","0,0127605","0,0029855","0,0127605","0,0216835","0,0038645","0,0216835","0,034674","0,003851","0,034674","0,0449925","0,0030875","0,0449925","0,0412415","0,0019425","0,0412415","0,023181","0,000835001","0,023181","0,0071775","0,0002655","0,0071775","0,001153","6,00E-05","0,001153","9,40E-05","8,00E-06","9,40E-05"
26,10,2005,2,"0,039186","0,005998","0,039186","0,04105","0,00715","0,04105","0,03735","0,00685","0,03735","0,0037","0,0003","0,0037","0,001695","0,000705","0,001695","0,96055","0,01025","0,96055","1,40235","0,01495","1,40235","0,002153","0,000492","0,002153","0,746703","0,0131655","0,746702","0,774227","0,011463","0,774227","0,471769","0,001734","0,471769","0,420621","0,0432645","0,420621","0,439",0,"0,439","0,000494","0,000115","0,000494","0,0017935","0,0004045","0,0017935","0,0033025","0,0002995","0,0033025","0,003466","0,000385","0,003466","0,0024645","0,0006495","0,0024645","0,0015295","0,0004335","0,0015295","0,001169","0,000197","0,001169","0,0014195","8,50E-06","0,0014195","0,0026165","0,0001475","0,0026165","0,0055405","0,0003165","0,0055405","0,0099495","0,0023935","0,0099495","0,012291","0,003223","0,012291","0,01349","0,002108","0,01349","0,0171165","0,0023175","0,0171165","0,020162","0,003536","0,020162","0,021742","0,006593","0,021742","0,0184745","0,0081185","0,0184745","0,010147","0,005191","0,010147","0,0032065","0,0016055","0,0032065","0,0005685","0,0002245","0,0005685","5,85E-05","9,50E-06","5,85E-05"
12,12,2005,2,"0,056797","0,000634","0,056797","0,0574","0,0018","0,0574","0,05285","0,00235","0,05285","0,00455","0,00065","0,00455","0,0020005","0,0011755","0,0020005","0,9645","0,0216","0,9645","1,37845","0,00265002","1,37845","0,001755","0,001208","0,001755","0,767531","0,00216448","0,767531","0,788801","0,00367099","0,788801","0,527204","0,023759","0,527204","0,326948","0,086185","0,326948","0,439",0,"0,439","0,000165","2,10E-05","0,000165","0,000493","3,00E-06","0,000493","0,001298","0,000203","0,001298","0,0026875","0,0007765","0,0026875","0,00354","0,001066","0,00354","0,0028125","0,0004415","0,0028125","0,00198","2,20E-05","0,00198","0,00199","8,70E-05","0,00199","0,003315","8,40E-05","0,003315","0,006415","0,000469","0,006415","0,0100415","0,0004435","0,0100415","0,0146805","0,0005295","0,0146805","0,0209815","0,0016495","0,0209815","0,0280765","0,0007875","0,0280765","0,0363075","0,0014465","0,0363075","0,041966","0,004447","0,041966","0,0397885","0,0091145","0,0397885","0,0250535","0,0089975","0,0250535","0,008507","0,003549","0,008507","0,0013595","0,0004905","0,0013595","0,000101","1,60E-05","0,000101"
18,12,2005,2,"0,0519885","9,35E-05","0,0519885","0,05125","5,00E-05","0,05125","0,04695","0,000150001","0,04695","0,00435","0,00025","0,00435","0,0074125","0,0008735","0,0074125","0,85545","0,01685","0,85545","1,37125","0,01035","1,37125","0,008224","0,001155","0,008224","0,799268","0,00241351","0,799268","0,82118","0,00187501","0,82118","0,572177","0,00756198","0,572177","0,286261","0,0124105","0,286261","0,439",0,"0,439","0,0002495","6,15E-05","0,0002495","0,0006085","0,0001455","0,0006085","0,001113","0,000159","0,001113","0,001637",0,"0,001637","0,002071","0,00023","0,002071","0,0023105","0,0002625","0,0023105","0,002345","1,00E-06","0,002345","0,0024335","0,0002785","0,0024335","0,003047","0,000318","0,003047","0,005023","1,50E-05","0,005023","0,0090985","0,0005985","0,0090985","0,013405","0,000159","0,013405","0,016951","0,000917","0,016951","0,0227145","0,0001775","0,0227145","0,0304605","0,0025705","0,0304605","0,0378025","0,0030145","0,0378025","0,0409385","0,0007545","0,0409385","0,0311685","0,0045415","0,0311685","0,0121475","0,0026815","0,0121475","0,001935","0,000392","0,001935","0,000118","9,00E-06","0,000118"
20,12,2005,2,"0,048516","0,006918","0,048516","0,04615","0,00595","0,04615","0,04105","0,00485","0,04105","0,0051","0,0011","0,0051","0,0072105","0,0015585","0,0072105","0,84555","0,01375","0,84555","1,42045","0,02485","1,42045","0,0099365","0,0015825","0,0099365","0,777511","0,0084185","0,777511","0,807992","0,0082925","0,807992","0,538882","0,019931","0,538882","0,336985","0,035206","0,336985","0,439",0,"0,439","0,000278","2,40E-05","0,000278","0,0008425","4,15E-05","0,0008425","0,001699","1,00E-05","0,001699","0,0023285","8,25E-05","0,0023285","0,002304","0,000105","0,002304","0,0019175","4,05E-05","0,0019175","0,001761","0,000288","0,001761","0,0022445","0,0006195","0,0022445","0,003748","0,000884","0,003748","0,0061675","0,0004565","0,0061675","0,0077025","4,55E-05","0,0077025","0,00833","0,000819","0,00833","0,0118235","0,0029945","0,0118235","0,0185045","0,0046905","0,0185045","0,024945","0,002973","0,024945","0,031878","1,90E-05","0,031878","0,035432","4,60E-05","0,035432","0,025761","0,002133","0,025761","0,0094115","0,0017335","0,0094115","0,001478","0,000379","0,001478","9,40E-05","2,70E-05","9,40E-05"
16,1,2006,3,"0,0948963","0,00189058","0,093566","0,0945","0,00177951","0,0935","0,0861667","0,00156276","0,0856","0,00836667","0,000286744","0,0084","0,00831867","0,000995041","0,008435","0,911767","0,0118054","0,9093","1,38317","0,00294091","1,3815","0,00513033","0,000730254","0,00533","0,775712","0,000340504","0,775787","0,799342","0,000630297","0,799457","0,533787","0,0126157","0,541835","0,350706","0,00505953","0,351737","0,439",0,"0,439","0,000911","0,00040144","0,00095","0,00272933","0,00123667","0,00268","0,004628","0,00151123","0,004444","0,00517133","0,000486688","0,00489","0,00456867","0,000633707","0,004293","0,003732","0,00069993","0,003691","0,00349867","0,000383828","0,00371","0,00458967","0,000178259","0,004553","0,00793567","0,000129064","0,00791","0,0132763","0,000625458","0,013269","0,0185037","0,000456667","0,018407","0,024151","0,00110263","0,023568","0,0315037","0,00106356","0,031287","0,04197","0,00184552","0,042609","0,0471947","0,00319053","0,047301","0,0469417","0,00362603","0,045058","0,0462163","0,0019213","0,045637","0,0384997","0,00221495","0,038573","0,018862","0,00265641","0,020317","0,004065","0,000738893","0,004497","0,000344667","6,16E-05","0,000354"
23,1,2006,2,"0,0892225","0,0010805","0,0892225","0,0895","0,0018","0,0895","0,08345","0,00175","0,08345","0,00595","5,00E-05","0,00595","0,005478","0,004441","0,005478","0,93775","0,05085","0,93775","1,4377","0,0188","1,4377","0,00366","0,00316","0,00366","0,755538","0,02216","0,755538","0,767895","0,0234535","0,767895","0,587382","0,0115755","0,587382","0,0849895","0,0022965","0,0849895","0,439",0,"0,439","0,0003475","0,0001005","0,0003475","0,000817","0,000288","0,000817","0,0013495","0,0004075","0,0013495","0,0016755","0,0002655","0,0016755","0,001775","3,40E-05","0,001775","0,001861","0,000243","0,001861","0,002262","0,00027","0,002262","0,00363","0,000104","0,00363","0,0073115","0,0003165","0,0073115","0,0137805","0,0008605","0,0137805","0,018679","0,00092","0,018679","0,0203755","0,0003375","0,0203755","0,0256295","0,0001365","0,0256295","0,0355245","0,0022655","0,0355245","0,047265","0,002878","0,047265","0,0570345","0,000280499","0,0570345","0,0575965","0,0035355","0,0575965","0,037973","0,002449","0,037973","0,013015","0,000323","0,013015","0,002048","6,90E-05","0,002048","0,000142","1,40E-05","0,000142"
