dd,mm,yyyy,nobs,AOT_440_avg,AOT_440_std,AOT_440_med,AOTExt440-T_avg,AOTExt440-T_std,AOTExt440-T_med,AOTExt440-C_avg,AOTExt440-C_std,AOTExt440-C_med,AOTExt440-F_avg,AOTExt440-F_std,AOTExt440-F_med,AOTAbsp440-T_avg,AOTAbsp440-T_std,AOTAbsp440-T_med,SSA440-T_avg,SSA440-T_std,SSA440-T_med,REFR(440)_avg,REFR(440)_std,REFR(440)_med,REFI(440)_avg,REFI(440)_std,REFI(440)_med,ASYM440-T_avg,ASYM440-T_std,ASYM440-T_med,ASYM440-C_avg,ASYM440-C_std,ASYM440-C_med,ASYM440-F_avg,ASYM440-F_std,ASYM440-F_med,"870-440AngstromParam,[AOTExt]-Total_avg","870-440AngstromParam,[AOTExt]-Total_std","870-440AngstromParam,[AOTExt]-Total_med",Inflection_Point[um]_avg,Inflection_Point[um]_std,Inflection_Point[um]_med,"0,065604_avg","0,065604_std","0,065604_med","0,086077_avg","0,086077_std","0,086077_med","0,112939_avg","0,112939_std","0,112939_med","0,148184_avg","0,148184_std","0,148184_med","0,194429_avg","0,194429_std","0,194429_med","0,255105_avg","0,255105_std","0,255105_med","0,334716_avg","0,334716_std","0,334716_med","0,439173_avg","0,439173_std","0,439173_med","0,576227_avg","0,576227_std","0,576227_med","0,756052_avg","0,756052_std","0,756052_med","0,991996_avg","0,991996_std","0,991996_med","1,301571_avg","1,301571_std","1,301571_med","1,707757_avg","1,707757_std","1,707757_med","2,240702_avg","2,240702_std","2,240702_med","2,939966_avg","2,939966_std","2,939966_med","3,857452_avg","3,857452_std","3,857452_med","5,061260_avg","5,061260_std","5,061260_med","6,640745_avg","6,640745_std","6,640745_med","8,713145_avg","8,713145_std","8,713145_med","11,432287_avg","11,432287_std","11,432287_med","15,000000_avg","15,000000_std","15,000000_med"
11,3,1997,2,"0,50866","0,007029","0,50866","0,51305","0,00705001","0,51305","0,3762","0,00470001","0,3762","0,13685","0,00235","0,13685","0,019977","0,003035","0,019977","0,96095","0,00645","0,96095","1,43635","5,00E-05","1,43635","0,0016375","0,0003035","0,0016375","0,77266","2,55E-05","0,77266","0,788148","0,00270551","0,788148","0,730082","0,00728598","0,730082","0,081335","0,002542","0,081335","0,439",0,"0,439","0,003431","0,000579","0,003431","0,0067705","0,0011245","0,0067705","0,00818","0,000872","0,00818","0,0073875","0,0001415","0,0073875","0,006773","0,000364","0,006773","0,008409","0,000672","0,008409","0,0155095","0,0008495","0,0155095","0,0341685","0,0001725","0,0341685","0,059701","0,001168","0,059701","0,0693705","0,000614502","0,0693705","0,075313","0,003907","0,075313","0,11163","0,005959","0,11163","0,200196","0,004689","0,200196","0,22433","0,0022205","0,22433","0,131508","0,0051185","0,131508","0,0496565","0,0028925","0,0496565","0,015641","0,001054","0,015641","0,004984","0,000326","0,004984","0,001806","9,30E-05","0,001806","0,000788","2,00E-05","0,000788","0,000423","6,00E-06","0,000423"
10,5,1999,2,"0,272283","0,0122765","0,272283","0,2748","0,013","0,2748","0,16555","0,00404999","0,16555","0,1093","0,0089","0,1093","0,0277955","0,0027305","0,0277955","0,8991","0,0052","0,8991","1,47105","0,00164998","1,47105","0,0056965","0,0003995","0,0056965","0,756618","0,005658","0,756618","0,811693","0,00253701","0,811693","0,679211","0,0124875","0,679211","0,294657","0,0257855","0,294657","0,439",0,"0,439","0,0035755","0,0008055","0,0035755","0,008788","0,002146","0,008788","0,010598","0,00217","0,010598","0,008123","0,001063","0,008123","0,005907","0,000338","0,005907","0,0058025","3,75E-05","0,0058025","0,008495","0,000134","0,008495","0,0150065","0,0001525","0,0150065","0,022849","0,000424","0,022849","0,0275265","0,0016175","0,0275265","0,034803","0,002802","0,034803","0,0562425","0,0022535","0,0562425","0,0915095","0,0043385","0,0915095","0,095642","0,00484","0,095642","0,0634255","0,0041925","0,0634255","0,031181","0,007649","0,031181","0,0131375","0,0052665","0,0131375","0,005082","0,002454","0,005082","0,001859","0,000886","0,001859","0,0006625","0,0002405","0,0006625","0,000244","2,60E-05","0,000244"
17,5,1999,2,"0,124782","0,005888","0,124782","0,12585","0,00615","0,12585","0,06385","0,000550002","0,06385","0,06205","0,00565","0,06205","0,0129665","0,0004845","0,0129665","0,8969","0,00120002","0,8969","1,4164","0,0626","1,4164","0,0060835","5,15E-05","0,0060835","0,73768","0,014865","0,73768","0,828588","0,0240085","0,828587","0,648623","0,00297499","0,648623","0,512013","0,023924","0,512013","0,439",0,"0,439","0,0030225","0,0009045","0,0030225","0,0094795","0,0034935","0,0094795","0,011586","0,00385","0,011586","0,007518","0,001651","0,007518","0,00419","0,000315","0,00419","0,0030635","0,0001575","0,0030635","0,003478","0,000451","0,003478","0,0054255","0,0008455","0,0054255","0,0088015","0,0012595","0,0088015","0,0123195","0,0012835","0,0123195","0,0159045","0,0005475","0,0159045","0,0217635","0,0016295","0,0217635","0,0294185","0,0053585","0,0294185","0,0319695","0,0041105","0,0319695","0,0271405","0,0036465","0,0271405","0,020266","0,009478","0,020266","0,0130255","0,0089225","0,0130255","0,0063605","0,0048815","0,0063605","0,0022055","0,0016525","0,0022055","0,000551","0,000327","0,000551","0,0001165","1,55E-05","0,0001165"
11,7,1999,2,"0,155638","0,0019295","0,155639","0,1572","0,00189999","0,1572","0,1039","0,0002","0,1039","0,0533","0,0021","0,0533","0,006346","0,000494","0,006346","0,9596","0,0036","0,9596","1,4162","0,0118","1,4162","0,001695","0,00015","0,001695","0,75425","0,007759","0,75425","0,796422","0,0045535","0,796422","0,672132","0,0109065","0,672131","0,243592","0,02149","0,243592","0,439",0,"0,439","0,002842","0,000463","0,002842","0,0069915","0,0007365","0,0069915","0,0075895","0,0002235","0,0075895","0,004923","0,000132","0,004923","0,0030415","0,0001185","0,0030415","0,0027265","5,25E-05","0,0027265","0,004045","3,00E-06","0,004045","0,0078625","8,50E-06","0,0078625","0,0135775","0,0003065","0,0135775","0,018443","0,000585","0,018443","0,0249555","0,0003195","0,0249555","0,03868","8,80E-05","0,03868","0,055865","0,000148","0,055865","0,0585495","1,75E-05","0,0585495","0,043825","0,000673","0,043825","0,0242315","0,0010225","0,0242315","0,010619","0,000748","0,010619","0,0039925","0,0003505","0,0039925","0,0013695","0,0001165","0,0013695","0,0004435","2,55E-05","0,0004435","0,0001375","5,00E-07","0,0001375"
14,7,1999,3,"0,299424","0,0614195","0,259614","0,302433","0,0618455","0,2623","0,2019","0,0456606","0,1738","0,1005","0,0162686","0,0895","0,025739","0,00151324","0,025834","0,911767","0,0162161","0,9066","1,4485","0,0199464","1,435","0,00431833","0,00108897","0,004808","0,765966","0,00738432","0,765864","0,808941","0,0156431","0,818486","0,685925","0,00891378","0,689762","0,224024","0,0337047","0,233564","0,439",0,"0,439","0,00388733","0,000502092","0,003708","0,00856433","0,00162753","0,008422","0,00946967","0,00138758","0,009345","0,00705967","0,000282853","0,006983","0,005442","0,000734823","0,00494","0,00589433","0,00140893","0,005065","0,00902133","0,00236989","0,007787","0,0155027","0,00357488","0,013732","0,0241203","0,00534185","0,020731","0,03416","0,00893808","0,028288","0,0501973","0,0138761","0,040439","0,0783187","0,0186114","0,068685","0,109169","0,0218916","0,10047","0,112643","0,0250418","0,099065","0,085357","0,0238554","0,069727","0,048556","0,0160764","0,037846","0,0218263","0,00778954","0,016894","0,0083","0,00294596","0,006563","0,00282767","0,000925751","0,002317","0,000893","0,000246294","0,000762","0,000265333","5,32E-05","0,000236"
19,7,1999,2,"0,17048","0,002053","0,17048","0,1724","0,0019","0,1724","0,10905","0,00485","0,10905","0,0633","0,0029","0,0633","0,0085545","0,0023165","0,0085545","0,9502","0,014","0,9502","1,4368","0,0171","1,4368","0,002299","0,000777","0,002299","0,749331","0,00244099","0,749331","0,793992","0,000555515","0,793992","0,673377","0,00266698","0,673377","0,280921","0,020346","0,280921","0,439",0,"0,439","0,0025925","0,0004515","0,0025925","0,006621","0,001062","0,006621","0,007909","0,000785","0,007909","0,0057855","0,0001025","0,0057855","0,003889","0,000188","0,003889","0,0034345","0,0002585","0,0034345","0,0045515","0,0002475","0,0045515","0,0078905","2,55E-05","0,0078905","0,013572","0,000755","0,013572","0,01994","0,001088","0,01994","0,028311","9,99E-07","0,028311","0,0430625","0,0010935","0,0430625","0,058409","0,002","0,058409","0,0572775","0,0047275","0,0572775","0,0414895","0,0034975","0,0414895","0,0233465","0,0013185","0,0233465","0,010785","0,000226","0,010785","0,0043105","3,65E-05","0,0043105","0,00155","3,80E-05","0,00155","0,0005125","1,15E-05","0,0005125","0,000157",0,"0,000157"
8,8,1999,3,"0,46803","0,0405111","0,441698","0,4724","0,0411277","0,4457","0,3433","0,0382315","0,3219","0,129067","0,0040549","0,13","0,035455","0,00493181","0,037352","0,923567","0,0159686","0,9153","1,42793","0,0331933","1,4506","0,00305033","0,000699505","0,003419","0,768684","0,00465445","0,766013","0,806906","0,0078915","0,802595","0,66926","0,0151746","0,675254","0,139936","0,0153832","0,135087","0,439",0,"0,439","0,00907367","0,00464475","0,006439","0,0178613","0,00942026","0,01201","0,016151","0,00661082","0,011687","0,00990567","0,00214678","0,008634","0,00669767","0,000362558","0,006904","0,006868","0,000641477","0,006801","0,0107847","0,000971236","0,010854","0,0207643","0,000438764","0,020643","0,0385037","0,00511627","0,036268","0,060804","0,00713222","0,058391","0,088044","0,00183764","0,088073","0,131173","0,00177439","0,131629","0,187943","0,0244171","0,172007","0,210639","0,0403823","0,184043","0,167152","0,0193334","0,15695","0,0953627","0,00295897","0,095926","0,0418853","0,00634497","0,046176","0,015252","0,00330488","0,017197","0,00488167","0,00104731","0,005443","0,00143233","0,000190727","0,001523","0,000401","2,21E-05","0,000389"
13,8,1999,2,"0,292049","0,006833","0,292049","0,2944","0,00669999","0,2944","0,2056","0,0072","0,2056","0,08885","0,000550002","0,08885","0,0210095","0,0027325","0,0210095","0,9284","0,0109","0,9284","1,4243","0,00589997","1,4243","0,0031205","0,0005705","0,0031205","0,766526","2,15E-05","0,766526","0,813471","0,00745401","0,813471","0,661213","0,011543","0,661213","0,198656","0,0224125","0,198656","0,439",0,"0,439","0,006772","0,001281","0,006772","0,0138475","0,0025625","0,0138475","0,0122785","0,0013635","0,0122785","0,007035","5,70E-05","0,007035","0,004394","0,000282","0,004394","0,0043125","0,0003135","0,0043125","0,0068635","0,0002375","0,0068635","0,01343","6,60E-05","0,01343","0,0228935","0,0006595","0,0228935","0,0313985","0,0022775","0,0313985","0,0432495","0,0025875","0,0432495","0,0723615","0,0009645","0,0723615","0,123886","0,0025645","0,123887","0,138214","0,0078795","0,138214","0,090812","0,004864","0,090812","0,0396695","0,0004685","0,0396695","0,013906","0,000596","0,013906","0,0045755","0,0003895","0,0045755","0,0015625","0,0001535","0,0015625","0,000583","4,30E-05","0,000583","0,000243","2,00E-06","0,000243"
21,8,1999,3,"0,0616477","0,00423575","0,059421","0,0610333","0,00375618","0,059","0,026","0,000141421","0,0261","0,0351","0,00372111","0,0332","0,00881267","0,000243796","0,008951","0,855233","0,00775986","0,8564","1,4196","0,00764376","1,4176","0,0111163","0,00131582","0,011002","0,730278","0,0331811","0,741971","0,839649","0,00412023","0,837332","0,661649","0,0459344","0,679119","0,76867","0,0758207","0,743258","0,439",0,"0,439","0,00168333","0,00126184","0,001037","0,004691","0,00321391","0,003234","0,00529367","0,00233609","0,004609","0,00372033","0,000469001","0,00383","0,00246933","0,000315073","0,002644","0,00193033","0,000414099","0,002035","0,00189867","0,000334091","0,001966","0,002306","0,000203147","0,002365","0,003229","0,000151065","0,0033","0,00491633","0,000262204","0,004927","0,00790833","0,000208314","0,00781","0,012027","0,000578003","0,012101","0,014627","0,000969496","0,014925","0,0132607","0,000535385","0,013061","0,00937233","0,000968491","0,009987","0,005403","0,00115211","0,006101","0,002641","0,00077217","0,003104","0,00113633","0,000369116","0,001374","0,000444333","0,000136016","0,000538","0,000161667","3,70E-05","0,00018","5,67E-05","5,25E-06","5,40E-05"
26,11,1999,2,"0,0481235","0,000293499","0,0481235","0,04755","5,00E-05","0,04755","0,0089","0,0005","0,0089","0,03865","0,00045","0,03865","0,0032125","0,0005145","0,0032125","0,9324","0,0109","0,9324","1,44095","0,02355","1,44095","0,0065345","0,0017455","0,0065345","0,642567","0,00281999","0,642567","0,79163","0,00122502","0,79163","0,611331","0,00661501","0,611331","1,58333","0,011504","1,58333","0,439",0,"0,439","0,002055","0,000366","0,002055","0,0064685","0,0012685","0,0064685","0,007298","0,001151","0,007298","0,0043435","0,0003845","0,0043435","0,0022285","2,45E-05","0,0022285","0,0014055","8,35E-05","0,0014055","0,0012015","0,0001095","0,0012015","0,001283","7,20E-05","0,001283","0,0015605","3,35E-05","0,0015605","0,002088","0,000106","0,002088","0,0028695","3,05E-05","0,0028695","0,0034075","8,55E-05","0,0034075","0,003604","0,000337","0,003604","0,003725","0,000481","0,003725","0,0033175","0,0004505","0,0033175","0,0024905","0,0003395","0,0024905","0,001571","0,000219","0,001571","0,0008395","0,0001165","0,0008395","0,0003805","4,75E-05","0,0003805","0,0001465","1,35E-05","0,0001465","4,80E-05","1,00E-06","4,80E-05"
