dd,mm,yyyy,nobs,AOT_440_avg,AOT_440_std,AOT_440_med,AOTExt440-T_avg,AOTExt440-T_std,AOTExt440-T_med,AOTExt440-C_avg,AOTExt440-C_std,AOTExt440-C_med,AOTExt440-F_avg,AOTExt440-F_std,AOTExt440-F_med,AOTAbsp440-T_avg,AOTAbsp440-T_std,AOTAbsp440-T_med,SSA440-T_avg,SSA440-T_std,SSA440-T_med,REFR(440)_avg,REFR(440)_std,REFR(440)_med,REFI(440)_avg,REFI(440)_std,REFI(440)_med,ASYM440-T_avg,ASYM440-T_std,ASYM440-T_med,ASYM440-C_avg,ASYM440-C_std,ASYM440-C_med,ASYM440-F_avg,ASYM440-F_std,ASYM440-F_med,"870-440AngstromParam,[AOTExt]-Total_avg","870-440AngstromParam,[AOTExt]-Total_std","870-440AngstromParam,[AOTExt]-Total_med",Inflection_Point[um]_avg,Inflection_Point[um]_std,Inflection_Point[um]_med,"0,065604_avg","0,065604_std","0,065604_med","0,086077_avg","0,086077_std","0,086077_med","0,112939_avg","0,112939_std","0,112939_med","0,148184_avg","0,148184_std","0,148184_med","0,194429_avg","0,194429_std","0,194429_med","0,255105_avg","0,255105_std","0,255105_med","0,334716_avg","0,334716_std","0,334716_med","0,439173_avg","0,439173_std","0,439173_med","0,576227_avg","0,576227_std","0,576227_med","0,756052_avg","0,756052_std","0,756052_med","0,991996_avg","0,991996_std","0,991996_med","1,301571_avg","1,301571_std","1,301571_med","1,707757_avg","1,707757_std","1,707757_med","2,240702_avg","2,240702_std","2,240702_med","2,939966_avg","2,939966_std","2,939966_med","3,857452_avg","3,857452_std","3,857452_med","5,061260_avg","5,061260_std","5,061260_med","6,640745_avg","6,640745_std","6,640745_med","8,713145_avg","8,713145_std","8,713145_med","11,432287_avg","11,432287_std","11,432287_med","15,000000_avg","15,000000_std","15,000000_med"
20,6,1998,2,"0,411366","0,000715494","0,411366","0,41635","0,000650004","0,41635","0,3208","0,0028","0,3208","0,09555","0,00345","0,09555","0,006647","0,000217","0,006647","0,98405","0,000550002","0,98405","1,39645","0,03145","1,39645","0,0005",0,"0,0005","0,772573","0,00470001","0,772573","0,799421","0,0113665","0,799421","0,67812","0,022651","0,67812","0,092228","0,001984","0,092228","0,439",0,"0,439","0,008703","0,003615","0,008703","0,0154345","0,0066855","0,0154345","0,013598","0,004485","0,013598","0,008222","0,001189","0,008222","0,005307","0,000206","0,005307","0,005159","0,000739","0,005159","0,0082445","0,0012105","0,0082445","0,0175305","0,0012355","0,0175305","0,0341235","0,0007315","0,0341235","0,049972","0,00227","0,049972","0,06707","0,000189997","0,06707","0,108042","0,0014925","0,108042","0,187802","0,00557949","0,187802","0,226352","0,014198","0,226352","0,17511","0,0133385","0,17511","0,0949145","0,0083515","0,0949145","0,040462","0,003913","0,040462","0,0150745","0,0014505","0,0150745","0,0053265","0,0004365","0,0053265","0,001876","9,70E-05","0,001876","0,000672","3,00E-06","0,000672"
22,4,1999,2,"0,0860165","0,0109225","0,0860165","0,08885","0,01125","0,08885","0,0488","0,0061","0,0488","0,04","0,0051","0,04","0,005917","0,004257","0,005917","0,93845","0,04015","0,93845","1,3678","0,00979996","1,3678","0,0028275","0,0020195","0,0028275","0,741768","0,006282","0,741768","0,814821","0,0086785","0,814821","0,655065","0,00786299","0,655065","0,452291","0,02136","0,452291","0,439",0,"0,439","0,0021005","0,0001125","0,0021005","0,006642","2,10E-05","0,006642","0,0091545","0,0001685","0,0091545","0,0064335","9,35E-05","0,0064335","0,0032635","0,0003135","0,0032635","0,001928","0,000361","0,001928","0,0019035","0,0004355","0,0019035","0,0031905","0,0006145","0,0031905","0,006427","0,000811","0,006427","0,010138","0,001281","0,010138","0,012511","0,002222","0,012511","0,017501","0,002931","0,017501","0,0252745","0,0024035","0,0252745","0,0288235","0,0012805","0,0288235","0,0274525","0,0025615","0,0274525","0,0210395","0,0049105","0,0210395","0,0131405","0,0047425","0,0131405","0,0065915","0,0027885","0,0065915","0,002572","0,001065","0,002572","0,00077","0,000251","0,00077","0,00018","2,60E-05","0,00018"
29,4,1999,2,"0,122085","0,0023685","0,122085","0,1232","0,0022","0,1232","0,06625","0,00145","0,06625","0,05695","0,00075","0,05695","0,0076425","6,50E-06","0,0076425","0,93795","0,00115001","0,93795","1,41495","0,01125","1,41495","0,002708","0,000179","0,002708","0,73548","0,00534201","0,73548","0,804918","0,00981051","0,804918","0,657042","0,000732988","0,657042","0,45232","0,0277735","0,45232","0,439",0,"0,439","0,002709","0,000372","0,002709","0,007033","0,000322","0,007033","0,009063","0,00134","0,009063","0,006689","0,000831","0,006689","0,0039435","9,50E-06","0,0039435","0,002826","0,000265","0,002826","0,0031005","0,0002135","0,0031005","0,004931","6,70E-05","0,004931","0,0084255","0,0001075","0,0084255","0,012297","0,001556","0,012297","0,0164925","0,0023485","0,0164925","0,0240885","0,0008265","0,0240885","0,0329345","0,000580499","0,0329345","0,0368185","0,0024355","0,0368185","0,037615","0,003506","0,037615","0,0327445","0,0023195","0,0327445","0,0222635","0,0009465","0,0222635","0,0113415","0,0002475","0,0113415","0,004274","3,90E-05","0,004274","0,0011875","7,50E-06","0,0011875","0,0002435","3,50E-06","0,0002435"
6,5,1999,2,"0,09512","0,005352","0,09512","0,0992","0,0076","0,0992","0,05555","0,00355","0,05555","0,04365","0,00405","0,04365","0,0097905","0,0035605","0,0097905","0,9035","0,0285","0,9035","1,43735","0,01315","1,43735","0,005286","0,001951","0,005286","0,746807","0,0126625","0,746808","0,802483","0,00518948","0,802483","0,680596","0,026312","0,680596","0,34236","0,0232845","0,34236","0,439",0,"0,439","0,0011965","0,0004135","0,0011965","0,003293","0,001503","0,003293","0,0047045","0,0018045","0,0047045","0,0040545","0,0005335","0,0040545","0,0030055","0,0005795","0,0030055","0,0026225","0,0009655","0,0026225","0,003093","0,001","0,003093","0,0049435","0,0006605","0,0049435","0,0084905","6,95E-05","0,0084905","0,0122145","0,0007185","0,0122145","0,015892","0,002369","0,015892","0,021307","0,00282","0,021307","0,0265595","0,0025985","0,0265595","0,02725","0,003298","0,02725","0,0234765","0,0027585","0,0234765","0,016756","0,001216","0,016756","0,009807","0,000105","0,009807","0,0047455","0,0002025","0,0047455","0,0019195","0,0001285","0,0019195","0,0006525","3,15E-05","0,0006525","0,0001875","3,50E-06","0,0001875"
7,5,1999,2,"0,202991","0,0103575","0,202991","0,20665","0,01035","0,20665","0,12545","0,01215","0,12545","0,08125","0,00185","0,08125","0,0057405","0,0014245","0,0057405","0,9725","0,00549999","0,9725","1,5512","0,0361","1,5512","0,0009395","0,0001795","0,0009395","0,713573","0,0162095","0,713574","0,754395","0,0140845","0,754395","0,648676","0,011979","0,648676","0,257219","0,0356715","0,257219","0,439",0,"0,439","0,001592","0,000236","0,001592","0,0039355","0,0005135","0,0039355","0,006067","0,000543","0,006067","0,0060375","0,0002695","0,0060375","0,004558","9,60E-05","0,004558","0,003704","9,70E-05","0,003704","0,0045675","0,0001615","0,0045675","0,0087845","0,0002735","0,0087845","0,018198","0,000933","0,018198","0,0262405","0,0032215","0,0262405","0,0272555","0,0035885","0,0272555","0,0294945","0,0017855","0,0294945","0,0395225","0,0005295","0,0395225","0,056512","0,002231","0,056512","0,0713595","0,0068595","0,0713595","0,073597","0,011121","0,073597","0,0591295","0,0116575","0,0591295","0,0342495","0,0076965","0,0342495","0,013161","0,002889","0,013161","0,0031905","0,0005495","0,0031905","0,0004825","3,75E-05","0,0004825"
14,5,1999,2,"0,275306","0,00104101","0,275306","0,2783","0,00120001","0,2783","0,1765","0,00170001","0,1765","0,1018","0,000500001","0,1018","0,0211765","0,0007275","0,0211765","0,9239","0,00229999","0,9239","1,41305","0,00264996","1,41305","0,003658","0,000106","0,003658","0,750705","0,0014095","0,750705","0,810413","0,00304502","0,810413","0,650678","0,010433","0,650678","0,256862","8,00E-05","0,256862","0,439",0,"0,439","0,0086665","0,0011875","0,0086665","0,0173555","0,0022085","0,0173555","0,0158265","0,0011255","0,0158265","0,009034","5,40E-05","0,009034","0,0051955","0,0003375","0,0051955","0,0045675","0,0003665","0,0045675","0,0069675","0,0003845","0,0069675","0,014392","0,000252","0,014392","0,0257635","4,45E-05","0,0257635","0,033003","0,000277","0,033003","0,0411615","0,0008485","0,0411615","0,065102","0,000527997","0,065102","0,098655","0,003217","0,098655","0,093882","0,00292","0,093882","0,0616955","0,0021875","0,0616955","0,032255","0,004944","0,032255","0,0149185","0,0041265","0,0149185","0,0064795","0,0023185","0,0064795","0,0027205","0,0010025","0,0027205","0,001128","0,000327","0,001128","0,0004795","4,85E-05","0,0004795"
14,6,1999,2,"0,314804","0,00258151","0,314804","0,31805","0,00285","0,31805","0,2199","0,0032","0,2199","0,09815","0,000349998","0,09815","0,0148725","0,0021355","0,0148725","0,95315","0,00715002","0,95315","1,42885","0,00755","1,42885","0,001963","0,000353","0,001963","0,751988","0,00070399","0,751988","0,790615","2,35E-05","0,790615","0,666166","1,15E-05","0,666166","0,15462","0,00463749","0,15462","0,439",0,"0,439","0,0077805","5,45E-05","0,0077805","0,013021","0,000554","0,013021","0,011362","0,000829","0,011362","0,00704","0,000519","0,00704","0,0047595","0,0002005","0,0047595","0,0049125","2,65E-05","0,0049125","0,008109","0,000289","0,008109","0,016576","0,00042","0,016576","0,0299295","0,000293501","0,0299295","0,0424755","0,0012695","0,0424755","0,056647","0,000984","0,056647","0,08485","0,000434","0,08485","0,120275","0,000904001","0,120275","0,116856","0,0019135","0,116856","0,0779425","0,0058385","0,0779425","0,0392125","0,0062155","0,0392125","0,016757","0,003968","0,016757","0,0067275","0,0018865","0,0067275","0,0027175","0,0007365","0,0027175","0,001154","0,000227","0,001154","0,0005305","2,55E-05","0,0005305"
30,6,1999,2,"0,286402","0,000496998","0,286402","0,2899","0,000599995","0,2899","0,202","0,0023","0,202","0,0879","0,0016","0,0879","0,0147915","0,0002995","0,0147915","0,94895","0,00115001","0,94895","1,3786","0,0245","1,3786","0,002113","0,000138","0,002113","0,76134","0,0034","0,76134","0,816877","0,006993","0,816877","0,633606","0,00901201","0,633606","0,183352","0,00177401","0,183352","0,439",0,"0,439","0,013024","0,001645","0,013024","0,023455","0,004497","0,023455","0,017778","0,00341","0,017778","0,0084415","0,0011425","0,0084415","0,004372","0,000196","0,004372","0,0037955","0,0001615","0,0037955","0,0059825","0,0005115","0,0059825","0,012884","0,000792","0,012884","0,0249335","0,000117499","0,0249335","0,036363","0,001462","0,036363","0,0491745","0,0012045","0,0491745","0,0753555","0,000595503","0,0753555","0,111346","0,001442","0,111346","0,114293","0,004261","0,114293","0,079042","0,008273","0,079042","0,0408845","0,0081265","0,0408845","0,0178875","0,0050045","0,0178875","0,0072455","0,0023025","0,0072455","0,00288","0,000854","0,00288","0,0011675","0,0002385","0,0011675","0,0005","1,50E-05","0,0005"
6,7,1999,2,"0,25721","0,00139651","0,25721","0,2598","0,00129999","0,2598","0,1847","0,0011","0,1847","0,07515","0,000149999","0,07515","0,0158535","0,0013745","0,0158535","0,939","0,005","0,939","1,4056","0,00169998","1,4056","0,002734","0,000274","0,002734","0,766068","0,000103503","0,766068","0,802294","0,00300199","0,802294","0,679035","0,00753599","0,679035","0,12733","0,0045385","0,12733","0,439",0,"0,439","0,0058675","0,0010825","0,0058675","0,0103575","0,0013025","0,0103575","0,009507","0,000381","0,009507","0,00605","0,000196","0,00605","0,004014","0,000231","0,004014","0,003957","0,000153","0,003957","0,0063835","4,35E-05","0,0063835","0,0133755","0,0001175","0,0133755","0,0253315","6,45E-05","0,0253315","0,0374575","0,000139501","0,0374575","0,0511875","9,05E-05","0,0511875","0,076744","0,00017","0,076744","0,104627","0,0012545","0,104627","0,0904485","0,0022385","0,0904485","0,051481","0,000224","0,051481","0,0224","0,001328","0,0224","0,0087685","0,0012295","0,0087685","0,003494","0,000704","0,003494","0,001524","0,00033","0,001524","0,0007565","0,0001285","0,0007565","0,0004375","2,35E-05","0,0004375"
18,9,1999,2,"0,0875635","0,0020215","0,0875635","0,0891","0,0016","0,0891","0,04735","0,000149999","0,04735","0,04175","0,00145","0,04175","0,0069575","0,0003765","0,0069575","0,92195","0,00285","0,92195","1,4099","0,0279","1,4099","0,003457","0,000204","0,003457","0,74914","0,00348249","0,749139","0,802723","0,00880098","0,802723","0,691038","0,0045675","0,691038","0,43043","0,003212","0,43043","0,439",0,"0,439","0,001133","0,000271","0,001133","0,0031545","0,0009685","0,0031545","0,004925","0,00138","0,004925","0,004757","0,000848","0,004757","0,003537","0,000137","0,003537","0,0027225","0,0002205","0,0027225","0,002786","0,00038","0,002786","0,0041025","0,0005205","0,0041025","0,007231","0,00054","0,007231","0,010963","0,000189","0,010963","0,0137495","0,0009975","0,0137495","0,0158985","0,0006615","0,0158985","0,0173795","0,0011995","0,0173795","0,0191215","0,0017585","0,0191215","0,0209955","0,0009845","0,0209955","0,023638","0,000564001","0,023638","0,0252675","0,0017335","0,0252675","0,020747","0,001308","0,020747","0,010196","0,000111","0,010196","0,002553","0,000174","0,002553","0,000308","5,00E-05","0,000308"
20,9,1999,4,"0,087713","0,00833516","0,0849345","0,08805","0,0083188","0,08525","0,02525","0,00123592","0,0253","0,0628","0,00854547","0,06065","0,0076725","0,00136206","0,007127","0,912025","0,0170077","0,9119","1,46323","0,0127054","1,45865","0,007757","0,00217444","0,007163","0,717744","0,00566174","0,715707","0,801611","0,00805042","0,798211","0,688213","0,00618302","0,68746","0,997099","0,129817","0,996725","0,439",0,"0,439","0,0006775","7,99E-05","0,000699","0,00220525","0,000422525","0,002189","0,00479225","0,00112633","0,0047725","0,006622","0,00157212","0,0065015","0,00591125","0,00118161","0,0055755","0,0041015","0,00051734","0,0038275","0,0030065","0,00018166","0,003011","0,0029535","5,93E-05","0,0029385","0,00386125","0,000249705","0,003885","0,00556725","0,000310116","0,0054765","0,00810625","0,000523799","0,0081605","0,0105653","0,000644553","0,0105895","0,0118257","0,00120492","0,0122","0,0114237","0,00110196","0,0117285","0,010132","0,000786466","0,0103435","0,008069","0,00068262","0,007835","0,005389","0,00056054","0,0052895","0,00294375","0,000303387","0,0029605","0,00133625","0,000123809","0,001357","0,00051175","3,64E-05","0,0005145","0,0001665","8,41E-06","0,000162"
25,9,1999,2,"0,2712","0,000411987","0,2712","0,27385","0,000550002","0,27385","0,19345","0,00195","0,19345","0,08045","0,00135","0,08045","0,012157","0,000599","0,012157","0,9556","0,00229999","0,9556","1,42645","0,01445","1,42645","0,001805","0,000127","0,001805","0,767821","0,00487548","0,767821","0,797361","0,00430152","0,79736","0,696963","0,00411001","0,696963","0,152183","0,0070215","0,152183","0,439",0,"0,439","0,003403","7,10E-05","0,003403","0,0068215","0,0001315","0,0068215","0,00813","0,000459","0,00813","0,0068","0,000528","0,0068","0,0052685","0,0003595","0,0052685","0,00504","0,000131","0,00504","0,0068215","0,0001805","0,0068215","0,011838","0,000567","0,011838","0,0208365","0,0003825","0,0208365","0,032601","0,000632999","0,032601","0,0488105","0,0007785","0,0488105","0,0770495","3,45E-05","0,0770495","0,113469","0,001383","0,113469","0,112511","0,0049605","0,112511","0,075394","0,004924","0,075394","0,0372435","0,0024845","0,0372435","0,0153395","0,000854501","0,0153395","0,005924","0,000239","0,005924","0,002335","5,80E-05","0,002335","0,000985","1,10E-05","0,000985","0,0004515","5,00E-07","0,0004515"
