nbdates	date	aot_440_daily	angstrom440_870
23	2006-09-14	0.0669897391	0.4126412609
18	2006-09-15	0.3686441111	0.1067477222
38	2006-09-18	0.0986827105	0.5119494737
31	2006-09-19	0.1092899355	0.5006129032
16	2006-09-20	0.1253341250	0.7988840000
36	2006-09-21	0.1409820000	1.2060269444
40	2006-09-22	0.0862501250	0.4254455250
27	2006-09-23	0.0599207407	0.1963055556
33	2006-09-27	0.0804375152	0.5536073030
29	2006-09-29	0.1821583103	0.2567582759
22	2006-09-30	0.1178005909	0.2940325455
20	2007-01-10	0.0640051500	0.3857279500
16	2007-01-11	0.1181853750	0.1133872500
12	2007-03-27	0.0607832500	0.4511193333
14	2007-03-28	0.0584129286	0.5152745714
12	2007-04-04	0.1029749167	1.0130505833
33	2007-04-09	0.0561926061	0.7961602727
19	2007-04-10	0.0693192105	0.5980872632
31	2007-04-12	0.0643805806	0.5481125161
25	2007-04-13	0.0382408400	0.6810404400
17	2007-04-15	0.0879122941	0.3526451765
22	2007-04-16	0.1240582273	0.4716678636
23	2007-04-17	0.1524329565	0.5976597826
29	2007-04-18	0.1821826897	0.4977400000
28	2007-04-19	0.1438564643	0.3925524643
20	2007-04-20	0.3292825000	0.3160507000
26	2007-04-21	0.2084515769	0.2573208462
21	2007-04-22	0.0982428571	0.3797799524
24	2007-04-23	0.1428067500	0.3710538750
15	2007-04-24	0.1382905333	0.3820039333
16	2007-04-25	0.0410981250	0.4107600000
18	2007-04-27	0.0842100556	0.2881051111
22	2007-05-13	0.1899596364	0.1806875909
12	2007-05-14	0.4605271667	0.1327671667
12	2007-05-16	0.3428793333	0.1382576667
17	2007-05-17	0.3977695294	0.1392473529
12	2007-05-23	0.0762232500	0.1168359167
17	2007-06-21	0.4692321176	0.0394258235
31	2007-06-23	0.2348974839	0.1213985484
21	2007-06-24	0.2321268571	0.0813939048
15	2007-06-28	0.1135849333	0.2934268000
14	2007-07-01	0.4726410714	0.0720860000
30	2007-07-02	0.3824577333	0.0838030000
36	2007-07-03	0.0523881667	0.7944679167
29	2007-07-11	0.2273364483	0.1508132759
28	2007-07-12	0.4710045714	0.0868984643
13	2007-07-13	0.5692946923	0.1000841538
16	2007-07-14	0.0699559375	0.1658487500
21	2008-01-14	0.1417306190	0.1033201905
38	2008-02-11	0.0918616316	0.2158177105
16	2008-02-15	0.0774223125	0.0389743750
15	2008-02-16	0.0438427333	0.2526056667
17	2008-02-17	0.0827806471	0.2851061176
16	2008-02-19	0.0934686875	0.1530068125
17	2008-02-20	0.0778580588	-0.0210985882
49	2008-02-22	0.0559001837	0.1432424898
22	2008-02-23	0.0588260000	0.0793265000
34	2008-02-24	0.0484172353	0.0924289118
15	2008-02-25	0.0653948000	0.1322218667
17	2008-03-04	0.0642632941	0.2808634706
37	2008-03-08	0.1029080270	0.4736686757
