Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
01:06:2020,12:00:00,153,0.074632,0.087599,0.092277,-999.,-999.,0.110516,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.111800,-999.,-999.,0.117902,-999.,-999.,0.117984,0.141638,3.707515,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.321680,0.186852,0.135787,0.344437,0.680379,-999.,31,31,31,0,0,31,0,0,0,0,0,0,0,0,31,0,0,31,0,0,31,31,31,0,0,0,0,0,0,0,31,31,31,31,31,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
02:06:2020,12:00:00,154,0.057015,0.066145,0.070452,-999.,-999.,0.091177,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.091199,-999.,-999.,0.097885,-999.,-999.,0.096039,0.122586,3.979474,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.423971,0.176992,0.144789,0.461136,0.822942,-999.,14,14,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14,0,0,14,14,14,0,0,0,0,0,0,0,14,14,14,14,14,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
03:06:2020,12:00:00,155,0.076471,0.085287,0.086994,-999.,-999.,0.098199,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.106188,-999.,-999.,0.109231,-999.,-999.,0.112216,0.123720,3.575805,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.328898,0.194618,0.254856,0.360786,0.496149,-999.,10,10,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,9,10,0,0,0,0,0,0,0,10,10,10,10,10,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
07:06:2020,12:00:00,159,0.074134,0.077534,0.082270,-999.,-999.,0.101491,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.106124,-999.,-999.,0.111557,-999.,-999.,0.109925,0.133750,4.629109,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.424079,0.134688,0.239421,0.467781,0.658547,-999.,13,13,13,0,0,13,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,13,13,0,0,0,0,0,0,0,13,13,13,13,13,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
08:06:2020,12:00:00,160,0.031206,0.037082,0.042353,-999.,-999.,0.063124,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.069498,-999.,-999.,0.077671,-999.,-999.,0.079945,0.105880,4.245963,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.831222,0.481722,0.482812,0.895260,1.159760,-999.,33,33,33,0,0,33,0,0,0,0,0,0,0,0,33,0,0,33,0,0,33,33,33,0,0,0,0,0,0,0,33,33,33,33,33,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
09:06:2020,12:00:00,161,0.035320,0.043340,0.049306,-999.,-999.,0.073283,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.074568,-999.,-999.,0.082937,-999.,-999.,0.080194,0.110038,4.531085,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.686308,0.241809,0.252314,0.749856,1.033253,-999.,20,20,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,0,20,20,20,20,20,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
11:06:2020,12:00:00,163,0.049589,0.055609,0.061724,-999.,-999.,0.086755,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.081018,-999.,-999.,0.088712,-999.,-999.,0.080166,0.112323,4.812778,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.456604,-0.042200,0.011599,0.503874,0.848384,-999.,7,7,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,7,7,7,7,7,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
12:06:2020,12:00:00,164,0.080768,0.090663,0.094941,-999.,-999.,0.112555,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.113835,-999.,-999.,0.119015,-999.,-999.,0.118442,0.142098,4.320167,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.307570,0.136511,0.116643,0.336809,0.664488,-999.,25,25,25,0,0,25,0,0,0,0,0,0,0,0,25,0,0,25,0,0,25,25,25,0,0,0,0,0,0,0,25,25,25,25,25,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
13:06:2020,12:00:00,165,0.046672,0.053647,0.056532,-999.,-999.,0.072095,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.074487,-999.,-999.,0.078415,-999.,-999.,0.077515,0.096844,3.785889,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.446194,0.135157,0.189715,0.502965,0.763929,-999.,34,34,34,0,0,34,0,0,0,0,0,0,0,0,34,0,0,34,0,0,34,33,34,0,0,0,0,0,0,0,34,34,34,34,34,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
14:06:2020,12:00:00,166,0.061872,0.067486,0.070658,-999.,-999.,0.085542,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.086995,-999.,-999.,0.091387,-999.,-999.,0.091378,0.109843,3.516881,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.341900,0.166495,0.144449,0.375457,0.692029,-999.,15,15,15,0,0,15,0,0,0,0,0,0,0,0,15,0,0,15,0,0,15,14,15,0,0,0,0,0,0,0,15,15,15,15,15,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
