date;pm10
01/01/2017;17.6
02/01/2017;18.4
03/01/2017;18.9
04/01/2017;19.5
05/01/2017;18.5
06/01/2017;24
07/01/2017;17.8
08/01/2017;22.4
09/01/2017;18.6
10/01/2017;16.9
11/01/2017;24.7
12/01/2017;18.9
13/01/2017;17
14/01/2017;18.3
15/01/2017;20
16/01/2017;17
17/01/2017;19
18/01/2017;21.9
19/01/2017;19.1
20/01/2017;16.8
21/01/2017;16.8
22/01/2017;11.1
23/01/2017;15.2
24/01/2017;14.6
25/01/2017;23.3
26/01/2017;21
27/01/2017;18.6
28/01/2017;18
29/01/2017;16.6
30/01/2017;17.5
31/01/2017;13.4
01/02/2017;17.2
02/02/2017;29.4
03/02/2017;25.8
04/02/2017;16.6
05/02/2017;14.7
06/02/2017;16.1
07/02/2017;20.3
08/02/2017;36.4
09/02/2017;36.5
10/02/2017;19.6
11/02/2017;13.6
12/02/2017;13.9
13/02/2017;17.3
14/02/2017;12.8
15/02/2017;14.5
16/02/2017;17
17/02/2017;17.2
18/02/2017;17.8
19/02/2017;14.9
20/02/2017;14.7
21/02/2017;14.1
22/02/2017;17.7
23/02/2017;17.8
24/02/2017;15.6
25/02/2017;15.9
26/02/2017;15.2
27/02/2017;13.9
28/02/2017;14.3
01/03/2017;17.3
02/03/2017;25.3
03/03/2017;30.8
04/03/2017;21.4
05/03/2017;18.4
06/03/2017;18.4
07/03/2017;17.1
08/03/2017;17.1
09/03/2017;16.6
10/03/2017;28.1
11/03/2017;23.2
12/03/2017;18.2
13/03/2017;15.2
14/03/2017;18.7
15/03/2017;28.6
16/03/2017;44.7
17/03/2017;27
18/03/2017;19.1
19/03/2017;16.6
20/03/2017;19.9
21/03/2017;22.8
22/03/2017;18.8
23/03/2017;23.6
24/03/2017;20.4
25/03/2017;19.2
26/03/2017;14.3
27/03/2017;14.5
28/03/2017;14.4
29/03/2017;14.8
30/03/2017;17
31/03/2017;17.2
01/04/2017;17.2
02/04/2017;58.2
03/04/2017;77.7
04/04/2017;45.1
05/04/2017;23.5
06/04/2017;23.6
07/04/2017;18.3
08/04/2017;20.7
09/04/2017;18.2
10/04/2017;21.4
11/04/2017;18.2
12/04/2017;20
13/04/2017;18.9
14/04/2017;24.5
15/04/2017;27.2
16/04/2017;28.5
17/04/2017;19.4
18/04/2017;27
19/04/2017;20.9
20/04/2017;-999.999 
21/04/2017;-999.999 
25/04/2017;-999.999 
26/04/2017;14.8
27/04/2017;24.8
28/04/2017;17
29/04/2017;14.2
30/04/2017;15.9
01/05/2017;14.7
02/05/2017;11.5
03/05/2017;13.8
04/05/2017;17.6
05/05/2017;15.2
06/05/2017;16.9
07/05/2017;14.3
08/05/2017;14.3
09/05/2017;22.1
10/05/2017;19.4
11/05/2017;20.1
12/05/2017;11.5
13/05/2017;50.6
14/05/2017;51.4
