Date On;Bar Dust 
03/05/2002;6,95
04/05/2002;3,62
06/05/2002;0,26
11/05/2002;2,02
12/05/2002;0,59
13/05/2002;2,49
14/05/2002;7,14
15/05/2002;6,38
16/05/2002;7,35
17/05/2002;7,09
18/05/2002;3,86
19/05/2002;8,62
20/05/2002;25,12
21/05/2002;21,29
22/05/2002;20,39
23/05/2002;13,52
24/05/2002;10,48
25/05/2002;5,92
26/05/2002;34,31
27/05/2002;36,15
28/05/2002;31,94
29/05/2002;27,12
30/05/2002;9,43
31/05/2002;39,78
01/06/2002;27,42
02/06/2002;18,75
03/06/2002;26,35
04/06/2002;24,14
05/06/2002;13,47
06/06/2002;32,22
07/06/2002;32,01
08/06/2002;45,56
09/06/2002;40,63
10/06/2002;42,40
11/06/2002;8,44
12/06/2002;16,90
13/06/2002;19,68
14/06/2002;22,54
15/06/2002;10,35
16/06/2002;8,88
17/06/2002;11,67
18/06/2002;8,11
19/06/2002;8,83
20/06/2002;23,53
21/06/2002;23,33
22/06/2002;27,44
23/06/2002;64,06
24/06/2002;24,69
25/06/2002;33,52
26/06/2002;28,02
27/06/2002;33,17
28/06/2002;78,95
29/06/2002;37,35
30/06/2002;27,59
01/07/2002;10,68
02/07/2002;26,91
03/07/2002;37,30
04/07/2002;40,30
05/07/2002;14,21
06/07/2002;4,28
07/07/2002;22,57
08/07/2002;41,58
09/07/2002;21,42
10/07/2002;6,22
11/07/2002;18,13
12/07/2002;10,65
13/07/2002;4,38
14/07/2002;15,00
15/07/2002;8,10
16/07/2002;8,62
17/07/2002;11,52
18/07/2002;24,77
19/07/2002;17,44
20/07/2002;2,23
21/07/2002;1,68
22/07/2002;11,81
23/07/2002;18,85
24/07/2002;13,72
25/07/2002;21,35
28/07/2002;3,39
29/07/2002;26,26
30/07/2002;47,46
31/07/2002;39,36
01/08/2002;45,19
04/08/2002;9,78
05/08/2002;15,02
06/08/2002;23,62
07/08/2002;27,77
08/08/2002;55,60
09/08/2002;45,23
10/08/2002;20,63
11/08/2002;13,60
12/08/2002;44,87
13/08/2002;14,13
14/08/2002;4,11
15/08/2002;21,24
16/08/2002;11,26
17/08/2002;11,62
18/08/2002;2,18
19/08/2002;6,53
20/08/2002;9,95
21/08/2002;15,76
22/08/2002;14,02
23/08/2002;9,88
24/08/2002;6,39
25/08/2002;4,09
26/08/2002;3,99
27/08/2002;10,50
28/08/2002;9,92
29/08/2002;8,06
30/08/2002;1,59
31/08/2002;21,67
01/09/2002;9,87
02/09/2002;23,34
03/09/2002;16,42
04/09/2002;21,68
05/09/2002;34,92
06/09/2002;11,82
07/09/2002;12,46
08/09/2002;32,02
09/09/2002;33,78
10/09/2002;13,99
11/09/2002;2,93
12/09/2002;3,39
13/09/2002;4,14
14/09/2002;10,44
15/09/2002;31,69
16/09/2002;21,39
17/09/2002;51,56
19/09/2002;1,87
20/09/2002;2,30
21/09/2002;6,69
23/09/2002;6,28
24/09/2002;55,47
25/09/2002;27,72
27/09/2002;14,29
28/09/2002;3,63
29/09/2002;50,31
30/09/2002;45,09
01/10/2002;5,49
02/10/2002;95,97
03/10/2002;5,62
04/10/2002;12,11
05/10/2002;21,82
06/10/2002;17,98
07/10/2002;10,77
08/10/2002;9,71
09/10/2002;32,72
10/10/2002;20,75
11/10/2002;16,01
12/10/2002;3,08
13/10/2002;14,09
14/10/2002;19,39
15/10/2002;6,93
16/10/2002;7,06
17/10/2002;2,12
18/10/2002;2,07
19/10/2002;2,01
20/10/2002;1,07
21/10/2002;1,12
22/10/2002;20,58
23/10/2002;0,09
24/10/2002;12,80
25/10/2002;1,21
26/10/2002;1,70
27/10/2002;29,09
28/10/2002;35,95
29/10/2002;24,44
30/10/2002;24,49
31/10/2002;17,47
01/11/2002;2,94
02/11/2002;35,86
03/11/2002;35,18
04/11/2002;19,69
05/11/2002;33,71
06/11/2002;25,44
07/11/2002;17,86
08/11/2002;80,17
09/11/2002;15,46
10/11/2002;26,44
11/11/2002;13,83
12/11/2002;11,15
13/11/2002;17,42
15/11/2002;22,21
16/11/2002;6,58
17/11/2002;4,85
18/11/2002;5,51
19/11/2002;2,77
20/11/2002;2,93
21/11/2002;3,54
22/11/2002;1,20
23/11/2002;1,64
24/11/2002;6,25
25/11/2002;15,31
26/11/2002;1,39
27/11/2002;2,34
28/11/2002;3,97
29/11/2002;2,34
30/11/2002;6,57
01/12/2002;3,43
02/12/2002;3,61
03/12/2002;15,64
04/12/2002;24,40
05/12/2002;13,10
06/12/2002;1,40
07/12/2002;1,90
