year	month	count(*)
2006	1	7
2006	3	12
2006	4	5
2006	5	9
2006	6	24
2006	7	25
2006	8	15
2006	9	15
2006	10	4
2006	11	1
2006	12	6
2007	1	6
2007	2	2
2007	3	14
2007	4	7
2007	5	13
2007	6	17
2007	7	23
2007	8	11
2007	9	6
2007	10	8
2007	11	10
2007	12	2
2008	1	3
2008	2	1
2008	3	1
2008	4	9
2008	5	9
2008	6	23
2008	7	18
2008	8	19
2008	9	1
2008	10	6
2008	11	3
2008	12	1
2009	2	2
2009	3	3
2009	5	10
2009	6	12
2009	7	22
2009	8	18
2009	9	5
2009	10	8
2009	11	6
2009	12	4
2010	1	3
2010	2	4
2010	3	21
2010	4	6
2010	5	10
2010	6	16
2010	7	22
2010	8	10
2010	9	6
2010	10	1
2010	11	2
2011	1	2
2011	3	1
2011	4	2
2011	5	15
2011	6	24
2011	7	12
2011	8	15
2011	10	14
2011	11	5
2011	12	1
2012	2	2
2012	3	14
2012	5	14
2012	6	25
2012	7	21
2012	8	25
2012	9	11
2012	10	2
2012	11	9
2012	12	3
2013	3	3
2013	5	10
2013	6	21
2013	7	14
2013	8	13
2013	9	8
2013	10	11
2013	11	4
2013	12	15
2014	1	9
2014	12	1
2015	1	2
2015	2	4
2015	3	16
2015	4	16
2015	5	23
2015	6	25
2015	7	29
2015	8	12
2015	9	18
2015	10	2
2015	11	7
2015	12	3
2016	1	10
2016	2	24
2016	3	6
2016	4	20
2016	5	28
2016	6	26
2016	7	26
2016	8	18
2016	9	16
2016	10	6
2016	12	4
2017	2	3
2017	3	5
2017	4	6
2017	5	15
2017	6	7
2017	7	10
2017	8	11
2017	9	9
2017	10	11
2017	12	3
