year	month	count(*)
2006	1	2
2006	3	12
2006	4	5
2006	5	10
2006	6	22
2006	7	21
2006	8	10
2006	9	13
2006	10	7
2006	11	1
2006	12	3
2007	1	5
2007	2	3
2007	3	11
2007	4	8
2007	5	16
2007	6	16
2007	7	20
2007	8	10
2007	9	7
2007	10	8
2007	11	8
2007	12	3
2008	1	2
2008	2	3
2008	3	1
2008	4	7
2008	5	7
2008	6	21
2008	7	12
2008	8	18
2008	9	3
2008	10	7
2008	11	3
2008	12	1
2009	1	1
2009	2	1
2009	3	2
2009	5	18
2009	6	13
2009	7	21
2009	8	9
2009	9	7
2009	10	12
2009	11	5
2009	12	1
2010	1	2
2010	2	7
2010	3	23
2010	4	9
2010	5	11
2010	6	18
2010	7	18
2010	8	9
2010	9	5
2010	10	5
2010	11	1
2010	12	1
2011	1	8
2011	2	9
2011	3	5
2011	4	8
2011	5	20
2011	6	24
2011	7	22
2011	8	13
2011	9	4
2011	10	8
2011	11	4
2012	3	13
2012	5	18
2012	6	25
2012	7	22
2012	8	19
2012	9	12
2012	10	2
2012	11	1
2012	12	1
2013	1	4
2013	2	8
2013	3	6
2013	4	3
2013	5	21
2013	6	24
2013	7	17
2013	8	24
2013	9	11
2013	10	7
2013	11	1
2013	12	4
2014	1	5
2014	2	5
2014	3	7
2014	4	9
2014	5	12
2014	6	25
2014	7	27
2014	8	17
2014	9	17
2014	10	12
2014	11	3
2014	12	4
2015	1	10
2015	2	4
2015	3	13
2015	4	14
2015	5	28
2015	6	22
2015	7	25
2015	8	23
2015	9	16
2015	10	12
2015	11	8
2015	12	7
2016	1	5
2016	2	10
2016	3	2
2016	4	12
2016	5	7
2016	6	17
2016	7	16
2016	8	19
2016	9	6
2016	10	5
2016	11	1
2016	12	3
