date	avg(pm10)
2002-03-11	33.0000000
2002-03-12	30.7083333
2002-03-13	14.5000000
2002-03-14	18.2916667
2002-03-15	29.0000000
2002-03-16	31.3750000
2002-03-17	19.3333333
2002-03-18	16.2916667
2002-03-19	22.1666667
2002-03-20	16.6666667
2002-03-27	37.7142857
2002-03-28	23.0000000
2002-03-29	24.0000000
2002-03-30	28.9166667
2002-03-31	30.3333333
2002-04-01	20.9583333
2002-04-02	19.5416667
2002-04-03	25.5416667
2002-04-04	17.3750000
2002-04-05	42.4166667
2002-04-06	44.0000000
2002-04-07	53.1666667
2002-04-08	53.5000000
2002-04-09	42.5416667
2002-04-10	17.7500000
2002-04-11	21.2083333
2002-04-12	27.8333333
2002-04-13	19.0833333
2002-04-14	20.4166667
2002-04-15	26.2083333
2002-04-16	12.7083333
2002-04-17	13.3333333
2002-04-18	16.2916667
2002-04-19	13.5416667
2002-04-20	16.5416667
2002-04-21	27.5833333
2002-04-22	52.9583333
2002-04-23	45.4166667
2002-04-24	37.9583333
2002-04-25	37.2916667
2002-04-26	28.5000000
2002-04-27	8.9565217
2002-04-28	17.1250000
2002-04-29	131.7083333
2002-04-30	99.7272727
2002-05-01	81.2916667
2002-05-02	157.5000000
2002-05-03	180.4583333
2002-05-04	131.2916667
2002-05-05	66.2500000
2002-05-06	61.8750000
2002-05-07	53.5416667
2002-05-08	61.9583333
2002-05-09	39.6250000
2002-05-10	27.9130435
2002-05-11	11.7272727
2002-05-12	12.4545455
2002-05-13	40.8750000
2002-05-14	33.0833333
2002-05-15	41.4583333
2002-05-16	44.7083333
2002-05-17	57.3333333
2002-05-18	45.9166667
2002-05-19	16.0909091
2002-05-20	24.3913043
2002-05-21	15.7391304
2002-05-22	14.9047619
2002-05-23	17.4285714
2002-05-26	27.8260870
2002-05-27	30.1666667
2002-05-28	28.8947368
2002-05-29	21.5625000
2002-05-30	21.3888889
2002-05-31	20.2000000
2002-06-01	25.5000000
2002-06-02	22.5909091
2002-06-03	20.5416667
2002-06-04	9.7727273
2002-06-05	13.2916667
2002-06-06	13.3478261
2002-06-07	17.8750000
2002-06-08	25.5833333
2002-06-09	18.0000000
2002-06-10	16.9090909
2002-06-11	16.8695652
2002-06-12	14.0909091
2002-06-13	13.4166667
2002-06-14	12.1250000
2002-06-15	14.9583333
2002-06-16	18.3333333
2002-06-17	15.7619048
2002-06-18	15.1666667
2002-06-19	13.2083333
2002-06-20	15.4166667
2002-06-21	14.3750000
2002-06-22	17.9166667
2002-06-23	17.1250000
2002-06-24	24.7500000
2002-06-25	18.9583333
2002-06-26	15.0416667
2002-06-27	11.0833333
2002-06-28	14.2916667
2002-06-29	15.4166667
2002-06-30	17.5416667
2002-07-01	16.9583333
2002-07-02	20.5000000
2002-07-03	21.0000000
2002-07-04	16.8750000
2002-07-05	22.5416667
2002-07-06	18.7916667
2002-07-07	15.0000000
2002-07-08	17.6666667
2002-07-09	13.7500000
2002-07-10	21.4166667
2002-07-11	23.2500000
2002-07-12	19.7500000
2002-07-13	22.3333333
2002-07-14	16.2500000
2002-07-15	16.5000000
2002-07-16	18.5000000
2002-07-17	19.0833333
2002-07-18	17.8333333
2002-07-19	15.6250000
2002-07-20	19.4347826
2002-07-21	15.9166667
2002-07-22	16.3333333
2002-07-23	15.3478261
2002-07-24	18.6250000
2002-07-25	18.5000000
2002-07-26	18.7916667
2002-07-27	18.4761905
2002-07-28	19.3333333
2002-07-29	18.4166667
2002-07-30	18.6956522
2002-07-31	28.3333333
2002-08-01	26.3333333
2002-08-02	18.3750000
2002-08-03	24.3333333
2002-08-04	18.7500000
2002-08-05	21.4166667
2002-08-06	23.2916667
2002-08-07	26.5416667
2002-08-08	19.4583333
2002-08-09	23.9583333
2002-08-10	23.4166667
2002-08-11	13.9583333
2002-08-12	27.7500000
2002-08-13	26.0833333
2002-08-14	26.3750000
2002-08-15	19.4166667
2002-08-16	22.1666667
2002-08-17	23.2083333
2002-08-18	18.9090909
2002-08-19	17.1250000
2002-08-20	20.7916667
2002-08-21	25.5000000
2002-08-22	24.3333333
