Martinique;PM10
2006-01-01;22.1
2006-01-02;14.4
2006-01-03;13.9
2006-01-04;14.8
2006-01-05;10.3
2006-01-06;13.7
2006-01-07;11
2006-01-08;16.6
2006-01-09;7.4
2006-01-10;25.4
2006-01-11;25.9
2006-01-12;20.6
2006-01-13;20.7
2006-01-14;15.6
2006-01-15;12.3
2006-01-16;16
2006-01-17;12.8
2006-01-18;16.5
2006-01-19;14.6
2006-01-20;12.8
2006-01-21;26.7
2006-01-22;27.6
2006-01-23;24.3
2006-01-24;25.8
2006-01-25;27.8
2006-01-26;20.6
2006-01-27;13.9
2006-01-28;9.5
2006-01-29;8.1
2006-01-30;18
2006-01-31;16
2006-02-01;15.1
2006-02-02;13
2006-02-03;14.1
2006-02-04;13.9
2006-02-05;14.4
2006-02-06;18
2006-02-07;10.6
2006-02-08;18.2
2006-02-09;15.6
2006-02-10;13
2006-02-11;17.4
2006-02-12;15.4
2006-02-13;21
2006-02-14;14.2
2006-02-15;17
2006-02-16;14.5
2006-02-17;13
2006-02-18;12.5
2006-02-19;10.1
2006-02-20;16.8
2006-02-21;19.2
2006-02-22;16.5
2006-02-23;14
2006-02-24;12.8
2006-02-25;10.7
2006-02-26;10
2006-02-27;12.4
2006-02-28;17.2
2006-03-01;19.4
2006-03-02;14.1
2006-03-03;20.7
2006-03-04;27.8
2006-03-05;15.7
2006-03-06;14.7
2006-03-07;15.5
2006-03-08;18.4
2006-03-09;12
2006-03-10;12.3
2006-03-11;15.3
2006-03-12;10.4
2006-03-13;19.7
2006-03-14;56.2
2006-03-15;47.6
2006-03-16;15.6
2006-03-17;22.1
2006-03-18;22
2006-03-19;44.8
2006-03-20;95.6
2006-03-21;130
2006-03-22;92
2006-03-23;20.4
2006-03-24;10.4
2006-03-25;32.7
2006-03-26;52.1
2006-03-27;63.5
2006-03-28;18.8
2006-03-29;19.5
2006-03-30;57.7
2006-03-31;45.1
2006-04-01;39.4
2006-04-02;11.8
2006-04-03;13.7
2006-04-04;17.3
2006-04-05;17.6
2006-04-06;33.9
2006-04-07;35.5
2006-04-08;11.9
2006-04-09;8.8
2006-04-10;12.9
2006-04-11;14.2
2006-04-12;21.3
2006-04-13;22.3
2006-04-14;18
2006-04-15;17.6
2006-04-16;15.1
2006-04-17;10.6
2006-04-18;12.8
2006-04-19;25.5
2006-04-20;79.2
2006-04-21;52.9
2006-04-22;18.1
2006-04-23;13
2006-04-24;17.4
2006-04-25;18.7
2006-04-26;14.8
2006-04-27;17.3
2006-04-28;14.6
2006-04-29;16.4
2006-04-30;18.3
2006-05-01;13.3
2006-05-02;18
2006-05-03;16.3
2006-05-04;15.4
2006-05-05;
2006-05-06;17
2006-05-07;12.6
2006-05-08;13
2006-05-09;13
2006-05-10;14.3
2006-05-11;18.1
2006-05-12;20.5
2006-05-13;30.9
2006-05-14;44.8
2006-05-15;31.7
2006-05-16;33.7
2006-05-17;44.3
2006-05-18;42.5
2006-05-19;22.9
2006-05-20;16.3
2006-05-21;31
2006-05-22;36.3
2006-05-23;30
2006-05-24;21.6
2006-05-25;16
2006-05-26;26
2006-05-27;18.2
2006-05-28;16.2
2006-05-29;17.6
2006-05-30;31.4
2006-05-31;26.4
2006-06-01;27.4
2006-06-02;26.1
2006-06-03;55.6
2006-06-04;86.4
2006-06-05;81.9
2006-06-06;54.7
2006-06-07;39.2
2006-06-08;47.5
2006-06-09;54.5
2006-06-10;71.6
2006-06-11;79.2
2006-06-12;39
2006-06-13;69.6
2006-06-14;28.4
2006-06-15;24.5
2006-06-16;11.7
2006-06-17;19.6
2006-06-18;17.5
2006-06-19;50
2006-06-20;88.7
2006-06-21;71
2006-06-22;32
2006-06-23;93.8
2006-06-24;47.9
2006-06-25;17.9
2006-06-26;41.2
2006-06-27;31.5
2006-06-28;16
2006-06-29;12
2006-06-30;32.1
2006-07-01;22.1
2006-07-02;14.2
2006-07-03;49.9
2006-07-04;66.9
2006-07-05;77
2006-07-06;21.7
2006-07-07;20.1
2006-07-08;15.2
2006-07-09;51.5
2006-07-10;72.7
2006-07-11;32
2006-07-12;30.4
2006-07-13;65.9
2006-07-14;89.9
2006-07-15;59.3
2006-07-16;33.5
2006-07-17;20.7
2006-07-18;55.4
2006-07-19;66.6
2006-07-20;16.7
2006-07-21;14.9
2006-07-22;28.5
2006-07-23;72.7
2006-07-24;48.8
2006-07-25;43.1
2006-07-26;12
2006-07-27;78.9
2006-07-28;37.8
2006-07-29;73.4
2006-07-30;53.4
2006-07-31;25.2
2006-08-01;14.8
2006-08-02;13.3
2006-08-03;25.1
2006-08-04;11.2
2006-08-05;18.6
2006-08-06;10.9
2006-08-07;25.2
2006-08-08;15.2
2006-08-09;21
2006-08-10;17.4
2006-08-11;60.2
2006-08-12;31.1
2006-08-13;
2006-08-14;9.4
2006-08-15;42.5
2006-08-16;110.4
2006-08-17;21
2006-08-18;32.6
2006-08-19;18.8
2006-08-20;50
2006-08-21;31.6
2006-08-22;69
2006-08-23;96.2
2006-08-24;5
2006-08-25;38.4
2006-08-26;14.5
2006-08-27;11.3
2006-08-28;13.4
2006-08-29;22.2
2006-08-30;24.9
2006-08-31;15
2006-09-01;21.1
2006-09-02;13.1
2006-09-03;14.5
2006-09-04;59.3
2006-09-05;33.8
2006-09-06;46.9
2006-09-07;36.7
2006-09-08;13.9
2006-09-09;15
2006-09-10;9.7
2006-09-11;16.4
2006-09-12;43
2006-09-13;16.9
2006-09-14;51.5
2006-09-15;69.2
2006-09-16;75
2006-09-17;55
2006-09-18;43.5
2006-09-19;36.1
2006-09-20;28.6
2006-09-21;27
2006-09-22;11.1
2006-09-23;11.8
2006-09-24;7.6
2006-09-25;20.9
2006-09-26;12.5
2006-09-27;18.9
2006-09-28;14.7
2006-09-29;25.9
2006-09-30;8.5
2006-10-01;12.6
2006-10-02;7.2
2006-10-03;12.5
2006-10-04;15.6
2006-10-05;28.2
2006-10-06;10.4
2006-10-07;50.9
2006-10-08;32.6
2006-10-09;18.9
2006-10-10;51.8
2006-10-11;12.4
2006-10-12;37.9
2006-10-13;39.5
2006-10-14;8.5
2006-10-15;12.7
2006-10-16;10
2006-10-17;14.7
2006-10-18;15.7
2006-10-19;13.8
2006-10-20;4
2006-10-21;15.5
2006-10-22;21.5
2006-10-23;17.7
2006-10-24;11
2006-10-25;14.2
2006-10-26;8.2
2006-10-27;21.2
