Martinique;PM10
01/01/2006;22,1
02/01/2006;14,4
03/01/2006;13,9
04/01/2006;14,8
05/01/2006;10,3
06/01/2006;13,7
07/01/2006;11
08/01/2006;16,6
09/01/2006;7,4
10/01/2006;25,4
11/01/2006;25,9
12/01/2006;20,6
13/01/2006;20,7
14/01/2006;15,6
15/01/2006;12,3
16/01/2006;16
17/01/2006;12,8
18/01/2006;16,5
19/01/2006;14,6
20/01/2006;12,8
21/01/2006;26,7
22/01/2006;27,6
23/01/2006;24,3
24/01/2006;25,8
25/01/2006;27,8
26/01/2006;20,6
27/01/2006;13,9
28/01/2006;9,5
29/01/2006;8,1
30/01/2006;18
31/01/2006;16
01/02/2006;15,1
02/02/2006;13
03/02/2006;14,1
04/02/2006;13,9
05/02/2006;14,4
06/02/2006;18
07/02/2006;10,6
08/02/2006;18,2
09/02/2006;15,6
10/02/2006;13
11/02/2006;17,4
12/02/2006;15,4
13/02/2006;21
14/02/2006;14,2
15/02/2006;17
16/02/2006;14,5
17/02/2006;13
18/02/2006;12,5
19/02/2006;10,1
20/02/2006;16,8
21/02/2006;19,2
22/02/2006;16,5
23/02/2006;14
24/02/2006;12,8
25/02/2006;10,7
26/02/2006;10
27/02/2006;12,4
28/02/2006;17,2
01/03/2006;19,4
02/03/2006;14,1
03/03/2006;20,7
04/03/2006;27,8
05/03/2006;15,7
06/03/2006;14,7
07/03/2006;15,5
08/03/2006;18,4
09/03/2006;12
10/03/2006;12,3
11/03/2006;15,3
12/03/2006;10,4
13/03/2006;19,7
14/03/2006;56,2
15/03/2006;47,6
16/03/2006;15,6
17/03/2006;22,1
18/03/2006;22
19/03/2006;44,8
20/03/2006;95,6
21/03/2006;130
22/03/2006;92
23/03/2006;20,4
24/03/2006;10,4
25/03/2006;32,7
26/03/2006;52,1
27/03/2006;63,5
28/03/2006;18,8
29/03/2006;19,5
30/03/2006;57,7
31/03/2006;45,1
01/04/2006;39,4
02/04/2006;11,8
03/04/2006;13,7
04/04/2006;17,3
05/04/2006;17,6
06/04/2006;33,9
07/04/2006;35,5
08/04/2006;11,9
09/04/2006;8,8
10/04/2006;12,9
11/04/2006;14,2
12/04/2006;21,3
13/04/2006;22,3
14/04/2006;18
15/04/2006;17,6
16/04/2006;15,1
17/04/2006;10,6
18/04/2006;12,8
19/04/2006;25,5
20/04/2006;79,2
21/04/2006;52,9
22/04/2006;18,1
23/04/2006;13
24/04/2006;17,4
25/04/2006;18,7
26/04/2006;14,8
27/04/2006;17,3
28/04/2006;14,6
29/04/2006;16,4
30/04/2006;18,3
01/05/2006;13,3
02/05/2006;18
03/05/2006;16,3
04/05/2006;15,4
05/05/2006;
06/05/2006;17
07/05/2006;12,6
08/05/2006;13
09/05/2006;13
10/05/2006;14,3
11/05/2006;18,1
12/05/2006;20,5
13/05/2006;30,9
14/05/2006;44,8
15/05/2006;31,7
16/05/2006;33,7
17/05/2006;44,3
