date	pm10
2006-05-23	30.000
2007-06-21	30.000
2009-06-01	30.000
2011-01-15	30.000
2011-01-20	30.000
2011-02-07	30.000
2011-05-20	30.000
2011-06-19	30.000
2012-05-05	30.000
2012-07-21	30.000
2012-09-01	30.000
2012-09-02	30.000
2013-05-07	30.000
2013-06-20	30.000
2013-07-03	30.000
2013-07-06	30.000
2013-08-01	30.000
2013-08-08	30.000
2013-08-10	30.000
2013-08-17	30.000
2013-08-21	30.000
2013-09-29	30.000
2014-09-07	30.000
2015-03-09	30.000
2015-03-11	30.000
2015-05-27	30.000
2015-06-03	30.000
2015-12-30	30.000
2016-02-13	30.000
2016-03-07	30.000
2016-04-01	30.000
2016-05-21	30.000
2016-08-09	30.000
2016-08-28	30.000
2016-10-23	30.000
2006-05-21	31.000
2009-02-16	31.000
2009-09-16	31.000
2010-07-09	31.000
2010-08-20	31.000
2010-10-12	31.000
2011-02-08	31.000
2011-02-11	31.000
2011-02-12	31.000
2011-02-26	31.000
2011-04-05	31.000
2011-04-14	31.000
2011-06-17	31.000
2011-07-07	31.000
2011-07-12	31.000
2011-07-15	31.000
2011-07-24	31.000
2011-08-19	31.000
2011-10-21	31.000
2012-03-20	31.000
2012-07-11	31.000
2012-08-31	31.000
2013-02-19	31.000
2013-04-01	31.000
2013-05-08	31.000
2013-05-15	31.000
2013-09-07	31.000
2013-12-26	31.000
2014-02-12	31.000
2014-06-26	31.000
2014-07-16	31.000
2014-07-27	31.000
2014-08-06	31.000
2014-08-16	31.000
2014-08-19	31.000
2014-12-19	31.000
2015-02-02	31.000
2015-06-08	31.000
2015-08-07	31.000
2015-08-13	31.000
2015-09-18	31.000
2015-09-26	31.000
2016-06-12	31.000
2016-07-28	31.000
2016-08-10	31.000
2016-12-17	31.000
2006-06-22	32.000
2006-07-11	32.000
2010-07-04	32.000
2010-07-10	32.000
2011-01-09	32.000
2011-06-16	32.000
2011-07-11	32.000
2011-08-07	32.000
2011-08-08	32.000
2011-09-23	32.000
2012-05-30	32.000
2012-06-30	32.000
2012-07-30	32.000
2012-08-22	32.000
2013-02-20	32.000
2013-06-05	32.000
2013-06-12	32.000
2013-07-25	32.000
2013-08-16	32.000
2013-12-16	32.000
2014-01-19	32.000
2014-02-14	32.000
2014-07-12	32.000
2014-08-14	32.000
2015-01-05	32.000
2015-03-03	32.000
2015-05-26	32.000
2015-06-16	32.000
2015-07-02	32.000
2015-10-02	32.000
2016-04-29	32.000
2016-04-30	32.000
2016-05-06	32.000
2016-06-14	32.000
2016-07-04	32.000
2016-08-27	32.000
2010-07-13	33.000
2011-02-10	33.000
2011-05-15	33.000
2011-07-03	33.000
2012-03-19	33.000
2012-06-23	33.000
2012-06-29	33.000
2012-07-20	33.000
2012-08-09	33.000
2012-09-10	33.000
2013-05-16	33.000
2013-07-28	33.000
2014-01-04	33.000
2014-02-13	33.000
2014-02-15	33.000
2014-05-04	33.000
2014-06-18	33.000
2014-10-06	33.000
2015-01-08	33.000
2015-01-22	33.000
2015-07-12	33.000
2015-07-23	33.000
2015-07-31	33.000
2015-08-04	33.000
2015-09-06	33.000
2015-10-04	33.000
2015-12-19	33.000
2016-06-03	33.000
2016-06-20	33.000
2016-09-19	33.000
2009-05-14	34.000
2010-08-31	34.000
2010-09-01	34.000
2011-01-14	34.000
2011-06-11	34.000
2011-07-29	34.000
2012-03-18	34.000
2012-05-19	34.000
2012-05-21	34.000
2012-09-08	34.000
2013-02-07	34.000
2013-02-16	34.000
2013-03-28	34.000
2013-05-02	34.000
2013-05-12	34.000
2013-07-13	34.000
2014-03-06	34.000
2014-03-20	34.000
2014-09-05	34.000
2015-01-10	34.000
2015-02-04	34.000
2015-06-27	34.000
2015-07-28	34.000
2015-07-30	34.000
2015-08-06	34.000
2015-10-12	34.000
2015-10-18	34.000
2016-05-22	34.000
2016-06-11	34.000
2016-08-19	34.000
2016-08-20	34.000
2009-09-02	35.000
2011-04-03	35.000
2011-05-28	35.000
2011-07-04	35.000
2012-03-30	35.000
2012-06-07	35.000
2012-06-13	35.000
2012-06-22	35.000
2012-06-28	35.000
2012-08-01	35.000
2012-08-05	35.000
2013-03-21	35.000
2013-05-03	35.000
2014-01-05	35.000
2014-03-04	35.000
2014-05-05	35.000
2014-06-24	35.000
2014-07-14	35.000
2014-07-17	35.000
2014-07-24	35.000
2014-09-04	35.000
2014-09-10	35.000
2014-09-26	35.000
2014-11-09	35.000
2015-04-19	35.000
2015-06-14	35.000
2015-07-07	35.000
2015-07-18	35.000
2015-07-26	35.000
2015-10-11	35.000
2016-01-27	35.000
2016-06-17	35.000
2008-01-13	36.000
2010-03-13	36.000
2011-03-02	36.000
2011-05-09	36.000
2011-07-21	36.000
2011-08-14	36.000
2011-10-17	36.000
2012-05-13	36.000
2012-06-04	36.000
2012-07-06	36.000
2012-09-23	36.000
2013-01-23	36.000
2013-06-09	36.000
2013-06-18	36.000
2014-04-26	36.000
2014-04-29	36.000
2014-05-01	36.000
2014-05-03	36.000
2014-08-30	36.000
2014-10-11	36.000
2015-01-13	36.000
2015-04-16	36.000
2015-06-11	36.000
2015-10-03	36.000
2015-10-10	36.000
2015-11-24	36.000
2016-02-07	36.000
2016-02-14	36.000
2016-04-28	36.000
2016-06-29	36.000
2016-07-31	36.000
2007-03-13	37.000
2010-07-19	37.000
2010-07-26	37.000
2011-06-05	37.000
2011-07-02	37.000
2011-08-17	37.000
2012-05-27	37.000
2012-06-12	37.000
2012-07-19	37.000
2013-02-17	37.000
2013-03-29	37.000
2013-04-02	37.000
2013-06-02	37.000
2013-08-22	37.000
2013-08-27	37.000
2014-06-13	37.000
2014-08-12	37.000
2014-10-30	37.000
2014-12-31	37.000
2015-01-16	37.000
2015-06-25	37.000
2015-07-08	37.000
2015-08-02	37.000
2015-10-01	37.000
2016-05-07	37.000
2016-07-20	37.000
2016-07-29	37.000
2016-08-15	37.000
2007-04-16	38.000
2008-05-28	38.000
2010-10-13	38.000
2011-01-13	38.000
2011-04-02	38.000
2011-04-06	38.000
2011-10-12	38.000
2012-07-10	38.000
2013-01-22	38.000
2013-03-22	38.000
2013-05-21	38.000
2013-06-01	38.000
2013-06-08	38.000
2013-08-20	38.000
2013-09-20	38.000
2014-03-31	38.000
2014-06-09	38.000
2014-07-15	38.000
2014-08-03	38.000
2015-06-07	38.000
2015-06-28	38.000
2015-07-06	38.000
2015-07-21	38.000
2015-07-29	38.000
2015-08-31	38.000
2015-11-17	38.000
2016-02-15	38.000
2016-04-26	38.000
2016-05-23	38.000
2016-10-11	38.000
2016-11-07	38.000
2006-06-12	39.000
2007-07-30	39.000
2008-06-29	39.000
2008-07-11	39.000
2011-01-17	39.000
2011-06-02	39.000
2011-06-25	39.000
2011-07-31	39.000
2011-10-15	39.000
2012-09-06	39.000
2013-12-21	39.000
2014-06-21	39.000
2014-06-28	39.000
2014-07-18	39.000
2014-07-23	39.000
2015-05-03	39.000
2015-06-15	39.000
2015-08-03	39.000
2016-02-02	39.000
2016-06-25	39.000
2016-06-30	39.000
2007-05-19	40.000
2011-05-12	40.000
2011-07-18	40.000
2011-07-19	40.000
2012-08-08	40.000
2012-09-07	40.000
2012-10-16	40.000
2013-08-03	40.000
2013-09-19	40.000
2014-04-01	40.000
2014-06-10	40.000
2014-07-08	40.000
2014-09-23	40.000
2014-10-24	40.000
2015-02-03	40.000
2015-03-01	40.000
2015-04-23	40.000
2015-07-22	40.000
2015-08-29	40.000
2015-12-11	40.000
2007-08-24	41.000
2011-06-15	41.000
2011-11-07	41.000
2011-11-08	41.000
2012-03-16	41.000
2012-05-07	41.000
2012-07-26	41.000
2012-08-17	41.000
2013-02-18	41.000
2013-05-27	41.000
2013-05-30	41.000
2014-10-05	41.000
2015-05-18	41.000
2015-07-27	41.000
2015-08-28	41.000
2015-09-17	41.000
2015-11-16	41.000
2015-12-21	41.000
2016-01-21	41.000
2016-01-31	41.000
2016-12-08	41.000
2008-06-24	42.000
2011-07-28	42.000
2012-08-20	42.000
2013-05-18	42.000
2013-06-24	42.000
2014-09-19	42.000
2015-05-01	42.000
2015-06-05	42.000
2015-06-18	42.000
2016-06-24	42.000
2016-07-02	42.000
2016-08-17	42.000
2016-08-21	42.000
2006-09-12	43.000
2008-06-28	43.000
2011-03-05	43.000
2011-07-09	43.000
2011-09-14	43.000
2012-06-17	43.000
2013-05-06	43.000
2013-05-17	43.000
2013-05-31	43.000
2013-08-09	43.000
2013-08-12	43.000
2014-04-21	43.000
2014-04-30	43.000
2014-05-06	43.000
2014-06-30	43.000
2014-07-03	43.000
2014-08-08	43.000
2014-09-09	43.000
2016-04-25	43.000
2016-06-02	43.000
2016-08-02	43.000
2016-09-03	43.000
2010-08-29	44.000
2011-06-03	44.000
2011-09-22	44.000
2011-10-04	44.000
2012-09-05	44.000
2013-06-16	44.000
2013-08-04	44.000
2014-06-23	44.000
2014-06-29	44.000
2014-07-09	44.000
2014-08-21	44.000
2015-01-07	44.000
2015-03-18	44.000
2015-05-12	44.000
2015-06-13	44.000
2015-06-24	44.000
2016-02-05	44.000
2007-09-27	45.000
2008-07-21	45.000
2010-05-24	45.000
2011-08-25	45.000
2012-06-20	45.000
2012-07-15	45.000
2012-08-27	45.000
2013-02-12	45.000
2013-05-19	45.000
2014-07-07	45.000
2014-08-23	45.000
2015-08-22	45.000
2016-02-06	45.000
2007-06-13	46.000
2011-03-04	46.000
2011-04-15	46.000
2011-05-23	46.000
2012-07-22	46.000
2012-08-25	46.000
2012-09-04	46.000
2013-05-28	46.000
2013-09-23	46.000
2014-03-05	46.000
2014-06-27	46.000
2015-05-11	46.000
2015-08-21	46.000
2016-02-12	46.000
2016-06-23	46.000
2011-05-14	47.000
2011-05-22	47.000
2011-06-10	47.000
2011-09-08	47.000
2012-05-23	47.000
2012-08-07	47.000
2012-08-16	47.000
2013-10-29	47.000
2014-04-24	47.000
2014-04-25	47.000
2014-05-18	47.000
2014-06-12	47.000
2014-07-30	47.000
2014-08-10	47.000
2015-03-15	47.000
2015-03-16	47.000
2015-05-09	47.000
2015-10-17	47.000
2016-01-30	47.000
2016-04-27	47.000
2016-07-15	47.000
2007-08-07	48.000
2008-06-27	48.000
2011-01-12	48.000
2012-05-18	48.000
2012-08-29	48.000
2013-06-25	48.000
2014-07-04	48.000
2014-08-18	48.000
2014-10-29	48.000
2015-05-17	48.000
2015-06-26	48.000
2016-02-01	48.000
2009-10-10	49.000
2010-09-03	49.000
2011-03-25	49.000
2012-03-17	49.000
2012-06-27	49.000
2012-07-04	49.000
2013-11-10	49.000
2014-07-11	49.000
2014-07-22	49.000
2015-07-03	49.000
2006-06-19	50.000
2006-08-20	50.000
2010-07-08	50.000
2011-06-24	50.000
2012-05-22	50.000
2012-06-06	50.000
2012-06-16	50.000
2012-07-16	50.000
2013-06-28	50.000
2013-09-21	50.000
2014-04-22	50.000
2014-06-11	50.000
2014-07-19	50.000
2014-09-01	50.000
2014-09-08	50.000
2015-09-04	50.000
2016-08-08	50.000
2016-09-30	50.000
2008-04-25	51.000
2008-08-31	51.000
2010-05-31	51.000
2011-05-29	51.000
2011-06-23	51.000
2012-03-06	51.000
2013-06-26	51.000
2015-03-02	51.000
2015-04-17	51.000
2015-07-11	51.000
2015-11-25	51.000
2007-06-18	52.000
2009-10-11	52.000
2010-07-23	52.000
2011-07-05	52.000
2011-10-14	52.000
2012-05-20	52.000
2012-07-25	52.000
2013-05-05	52.000
2013-10-13	52.000
2014-07-05	52.000
2015-05-10	52.000
2015-05-15	52.000
2015-06-06	52.000
2015-07-16	52.000
2015-07-25	52.000
2015-11-10	52.000
2010-07-02	53.000
2010-07-16	53.000
2011-05-10	53.000
2011-05-13	53.000
2011-07-01	53.000
2011-07-20	53.000
2013-06-23	53.000
2013-07-01	53.000
2014-06-07	53.000
2014-06-20	53.000
2015-04-29	53.000
2015-05-13	53.000
2015-09-09	53.000
2016-08-14	53.000
2010-07-15	54.000
2010-11-03	54.000
2011-06-01	54.000
2011-06-06	54.000
2011-06-07	54.000
2011-06-22	54.000
2012-03-07	54.000
2012-08-28	54.000
2013-05-04	54.000
2013-09-18	54.000
2013-10-21	54.000
2014-07-20	54.000
2014-08-31	54.000
2015-04-15	54.000
2015-05-04	54.000
2015-05-29	54.000
2015-09-12	54.000
2016-04-21	54.000
2016-04-24	54.000
2016-06-07	54.000
2016-07-27	54.000
2006-09-17	55.000
2010-07-03	55.000
2011-06-09	55.000
2011-07-14	55.000
2012-03-26	55.000
2013-06-14	55.000
2013-06-17	55.000
2014-09-02	55.000
2015-08-25	55.000
2016-07-21	55.000
2012-07-23	56.000
2013-08-14	56.000
2015-03-14	56.000
2015-04-30	56.000
2015-07-04	56.000
2008-04-26	57.000
2012-06-15	57.000
2013-08-13	57.000
2013-10-01	57.000
2014-08-17	57.000
2015-03-13	57.000
2010-07-01	58.000
2010-07-25	58.000
2011-07-08	58.000
2011-08-03	58.000
2012-06-19	58.000
2012-07-24	58.000
2012-08-24	58.000
2013-08-23	58.000
2015-04-25	58.000
2015-05-05	58.000
2015-07-14	58.000
2015-07-17	58.000
2015-08-30	58.000
2015-09-03	58.000
2015-09-16	58.000
2011-06-20	59.000
2011-07-13	59.000
2012-06-11	59.000
2012-09-22	59.000
2013-06-15	59.000
2013-07-16	59.000
2013-08-11	59.000
2014-01-18	59.000
2015-04-24	59.000
2015-09-13	59.000
2015-11-08	59.000
2011-10-13	60.000
2011-10-19	60.000
2013-07-08	60.000
2013-10-08	60.000
2014-04-23	60.000
2015-05-08	60.000
2015-06-12	60.000
2007-06-28	61.000
2011-06-21	61.000
2011-08-12	61.000
2013-06-22	61.000
2013-06-27	61.000
2015-06-22	61.000
2015-08-19	61.000
2015-08-24	61.000
2008-06-14	62.000
2010-06-28	62.000
2010-09-22	62.000
2011-06-28	62.000
2012-08-21	62.000
2013-08-02	62.000
2014-06-25	62.000
2014-10-03	62.000
2015-03-17	62.000
2015-05-16	62.000
2015-05-25	62.000
2015-09-07	62.000
2015-11-09	62.000
2016-08-01	62.000
2007-07-05	63.000
2009-06-30	63.000
2013-06-03	63.000
2013-06-10	63.000
2013-07-04	63.000
2014-06-03	63.000
2014-07-25	63.000
2015-05-14	63.000
2015-05-19	63.000
2016-04-23	63.000
2016-06-28	63.000
2011-06-04	64.000
2012-09-20	64.000
2013-06-11	64.000
2014-07-10	64.000
2015-06-23	64.000
2015-07-20	64.000
2015-08-20	64.000
2011-05-11	65.000
2011-05-31	65.000
2012-06-02	65.000
2013-08-30	65.000
2014-06-14	65.000
2016-09-27	65.000
2013-09-30	66.000
2015-05-24	66.000
2015-08-15	66.000
2015-09-02	66.000
2016-07-10	66.000
2013-07-23	67.000
2013-07-24	67.000
2016-09-02	67.000
2010-08-18	68.000
2011-05-26	68.000
2011-06-29	68.000
2012-05-28	68.000
2012-06-21	68.000
2012-07-31	68.000
2014-05-20	68.000
2006-08-22	69.000
2008-08-30	69.000
2012-03-27	69.000
2012-07-02	69.000
2012-07-14	69.000
2014-06-05	69.000
2007-08-02	70.000
2011-06-27	70.000
2012-03-29	70.000
2012-05-29	70.000
2013-06-19	70.000
2013-07-18	70.000
2013-09-08	70.000
2015-04-05	70.000
2006-06-21	71.000
2011-08-11	71.000
2012-06-03	71.000
2012-07-09	71.000
2013-05-29	71.000
2014-06-08	71.000
2014-07-01	71.000
2012-08-10	73.000
2014-06-15	73.000
2015-05-20	73.000
2010-07-06	74.000
2010-07-07	74.000
2011-08-04	74.000
2015-05-06	74.000
2015-05-07	74.000
2015-06-17	74.000
2016-04-22	74.000
2006-09-16	75.000
2012-07-01	75.000
2015-04-28	75.000
2015-05-23	75.000
2006-07-05	77.000
2012-07-05	77.000
2013-07-10	77.000
2014-07-31	77.000
2014-08-02	77.000
2014-08-26	77.000
2016-08-29	77.000
2010-08-19	78.000
2012-05-31	78.000
2015-10-09	78.000
2014-10-04	79.000
2011-05-30	80.000
2012-06-26	81.000
2014-07-06	81.000
2009-07-02	82.000
2012-08-18	82.000
2014-06-16	82.000
2015-04-26	82.000
2011-11-03	84.000
2013-06-13	86.000
2014-07-26	86.000
2010-08-25	87.000
2011-08-13	87.000
2016-09-29	87.000
2011-11-02	89.000
2012-03-28	90.000
2015-09-15	90.000
2015-10-08	91.000
2006-03-22	92.000
2012-05-12	93.000
2015-05-22	93.000
2014-09-11	94.000
2015-04-27	95.000
2010-08-24	98.000
2010-08-26	99.000
2015-03-12	99.000
2012-05-11	100.000
2016-07-26	102.000
2015-05-21	103.000
2014-06-06	106.000
2011-05-27	107.000
2012-06-01	108.000
2012-03-24	110.000
2014-10-02	112.000
2011-05-25	117.000
2006-03-21	130.000
2010-03-31	102.900
2008-05-08	104.400
2007-05-15	104.800
2010-06-03	105.700
2008-05-07	107.700
2006-08-16	110.400
2010-04-29	110.700
2010-06-02	112.600
2010-06-01	114.200
2010-06-04	116.500
2010-04-28	116.600
2010-04-03	119.900
2009-06-25	120.400
2009-06-26	120.500
2007-05-14	149.400
2007-03-16	200.200
2007-02-25	30.100
2010-03-23	30.100
2008-09-10	30.200
2009-07-28	30.200
2009-10-30	30.300
2006-07-12	30.400
2007-07-14	30.500
2010-06-07	30.600
2007-07-27	30.700
2010-01-06	30.700
2006-05-13	30.900
2006-08-12	31.100
2008-08-09	31.100
2007-06-29	31.200
2009-12-07	31.200
2008-10-21	31.300
2009-08-10	31.300
2006-05-30	31.400
2009-03-08	31.400
2006-06-27	31.500
2006-08-21	31.600
2007-05-11	31.600
2007-12-11	31.600
2006-05-15	31.700
2007-07-09	31.700
2009-03-13	31.700
2008-01-12	31.800
2008-10-03	31.900
2006-06-30	32.100
2007-05-25	32.100
2008-06-10	32.300
2007-09-28	32.400
2010-02-21	32.400
2006-08-18	32.600
2006-10-08	32.600
2006-03-25	32.700
2009-01-05	32.700
2007-05-07	32.800
2007-05-23	32.800
2009-08-01	32.800
2007-10-12	32.900
2007-05-24	33.100
2008-07-09	33.100
2009-06-13	33.100
2010-02-12	33.200
2009-07-25	33.400
2010-03-09	33.400
2006-07-16	33.500
2009-08-17	33.500
2007-11-26	33.600
2009-10-14	33.600
2006-05-16	33.700
2007-08-26	33.700
2008-11-14	33.700
2006-09-05	33.800
2008-08-08	33.800
2006-04-06	33.900
2007-01-01	33.900
2010-06-17	33.900
2009-11-27	34.100
2007-01-10	34.300
2007-02-26	34.300
2009-07-29	34.400
2007-02-24	34.500
2008-11-15	34.500
2010-03-22	34.700
2007-10-15	34.800
2008-05-26	34.800
2008-07-20	34.800
2010-02-26	34.800
2007-08-30	35.100
2007-03-11	35.200
2008-07-01	35.300
2007-10-13	35.400
2009-05-19	35.400
2006-04-07	35.500
2007-01-08	35.500
2008-08-29	35.600
