Date Local;Arithmetic Mean Fajardo
2005-01-02;2.20
2005-01-04;3.30
2005-01-05;3.00
2005-01-06;2.70
2005-01-07;4.00
2005-01-08;3.60
2005-01-09;2.80
2005-01-10;2.20
2005-01-11;3.50
2005-01-12;3.80
2005-01-13;5.10
2005-01-14;5.40
2005-01-15;5.40
2005-01-16;3.60
2005-01-17;3.60
2005-01-18;2.40
2005-01-19;1.50
2005-01-20;3.10
2005-01-21;2.30
2005-01-22;2.40
2005-01-23;1.80
2005-01-24;4.60
2005-01-25;5.50
2005-01-26;4.80
2005-01-27;4.00
2005-01-28;2.80
2005-01-29;3.50
2005-01-30;3.30
2005-01-31;4.90
2005-02-01;2.50
2005-02-02;3.30
2005-02-03;3.90
2005-02-04;5.10
2005-02-05;4.90
2005-02-06;5.50
2005-02-07;2.70
2005-02-08;2.20
2005-02-09;0.80
2005-02-10;2.40
2005-02-11;2.40
2005-02-12;2.50
2005-02-13;4.90
2005-02-14;4.80
2005-02-15;3.30
2005-02-16;3.10
2005-02-17;2.80
2005-02-18;3.40
2005-02-19;2.50
2005-02-20;4.50
2005-02-21;5.00
2005-02-22;3.20
2005-02-23;2.90
2005-02-24;2.30
2005-02-25;2.70
2005-02-26;2.40
2005-02-27;2.20
2005-02-28;1.10
2005-03-01;3.70
2005-03-02;5.40
2005-03-03;7.00
2005-03-04;6.10
2005-03-05;8.70
2005-03-06;9.00
2005-03-07;3.60
2005-03-08;4.40
2005-03-09;4.40
2005-03-11;6.60
2005-03-12;5.00
2005-03-13;3.40
2005-03-14;3.80
2005-03-15;6.20
2005-03-16;5.10
2005-03-17;4.10
2005-03-18;8.20
2005-03-19;8.50
2005-03-20;4.90
2005-03-21;3.70
2005-03-22;4.20
2005-03-23;3.50
2005-03-24;4.20
2005-03-25;4.00
2005-03-26;4.10
2005-03-27;3.70
2005-03-28;3.90
2005-03-29;3.10
2005-03-30;2.30
2005-03-31;2.40
2005-04-01;3.50
2005-04-02;9.10
2005-04-03;10.00
2005-04-04;8.50
2005-04-05;8.50
2005-04-06;4.80
2005-04-07;3.40
2005-04-10;7.80
2005-04-11;6.80
2005-04-12;7.50
2005-04-13;8.60
2005-04-14;8.30
2005-04-15;9.80
2005-04-16;9.70
2005-04-17;5.40
2005-04-18;2.60
2005-04-19;2.50
2005-04-20;4.40
2005-04-21;5.40
2005-04-22;5.20
2005-04-23;2.60
2005-04-24;4.10
2005-04-25;4.60
2005-04-26;5.30
2005-04-27;2.60
2005-04-28;1.90
2005-04-29;2.50
2005-04-30;3.00
2005-05-01;3.40
2005-05-02;2.70
2005-05-03;2.40
2005-05-04;2.80
2005-05-05;1.30
2005-05-06;2.50
2005-05-07;2.70
2005-05-08;2.50
2005-05-09;5.30
2005-05-11;4.10
2005-05-12;3.20
2005-05-13;2.60
2005-05-14;3.60
2005-05-15;3.10
2005-05-16;4.90
2005-05-17;2.00
2005-05-18;2.30
2005-05-19;4.10
2005-05-20;4.70
2005-05-21;4.50
2005-05-22;5.00
2005-05-23;2.00
2005-05-24;2.30
2005-05-25;4.10
2005-05-26;7.30
2005-05-27;9.10
2005-05-28;9.40
2005-05-29;13.80
2005-05-30;12.40
2005-06-01;13.20
2005-06-02;9.20
2005-06-03;8.50
2005-06-04;5.70
2005-06-05;7.40
2005-06-06;4.10
2005-06-07;2.90
2005-06-08;3.00
2005-06-09;2.80
2005-06-10;1.50
2005-06-11;6.60
2005-06-12;3.00
2005-06-13;2.40
2005-06-14;1.90
2005-06-15;15.10
2005-06-17;10.10
2005-06-18;21.40
2005-06-19;9.30
2005-06-20;14.80
2005-06-21;14.90
2005-06-22;3.70
2005-06-23;12.40
2005-06-24;12.60
2005-07-02;10.00
2005-07-03;5.00
2005-07-04;8.00
2005-07-09;1.80
2005-07-10;2.30
2005-07-11;1.40
2005-07-12;2.10
2005-07-13;2.50
2005-07-14;3.70
2005-07-15;6.60
2005-07-16;3.50
2005-07-17;2.60
2005-07-18;3.10
2005-07-19;3.80
2005-07-20;5.60
2005-07-23;3.00
2005-07-24;4.90
2005-07-25;5.30
2005-07-26;12.30
2005-07-27;17.50
2005-07-28;11.70
2005-07-29;5.30
2005-07-30;6.60
2005-08-02;4.10
2005-08-03;4.60
2005-08-04;6.60
2005-08-07;4.30
2005-08-09;2.20
2005-08-10;4.10
2005-08-11;4.10
2005-08-12;3.80
2005-08-13;3.70
2005-08-14;6.40
2005-08-15;5.70
2005-08-16;4.90
2005-08-17;5.30
2005-08-18;6.10
2005-08-19;6.10
2005-08-20;4.40
2005-08-21;4.40
2005-08-23;2.10
2005-08-24;2.30
2005-08-25;2.90
2005-08-27;4.70
2005-08-28;2.80
2005-08-29;2.70
2005-08-30;13.70
2005-08-31;10.10
2005-09-01;3.00
2005-09-02;7.30
2005-09-03;8.70
2005-09-04;10.50
2005-09-05;3.10
2005-09-06;3.00
2005-09-07;3.20
2005-09-08;5.60
2005-09-09;22.30
2005-09-10;12.70
2005-09-11;5.20
2005-09-12;3.80
2005-09-13;5.30
2005-09-14;3.00
2005-09-15;5.10
2005-09-16;4.40
2005-09-17;11.00
2005-09-18;6.10
2005-09-19;2.20
2005-09-20;1.60
2005-09-21;2.00
2005-09-22;3.40
2005-09-23;3.50
2005-09-24;6.30
2005-09-25;6.90
2005-09-26;13.20
2005-09-27;15.10
2005-09-28;14.30
2005-09-29;11.50
2005-09-30;8.00
2005-10-01;2.10
2005-10-02;2.20
2005-10-03;1.10
2005-10-04;1.00
2005-10-05;0.60
2005-10-06;3.00
2005-10-08;3.50
2005-10-09;2.10
2005-10-10;0.70
2005-10-11;1.30
2005-10-12;2.30
2005-10-13;2.50
2005-10-14;1.60
2005-10-15;4.20
2005-10-16;3.40
2005-10-18;3.30
2005-10-19;2.40
2005-10-20;2.70
2005-10-21;5.60
2005-10-22;4.00
2005-10-25;4.10
2005-10-26;3.20
2005-10-27;3.30
2005-10-28;6.00
2005-10-29;2.50
2005-10-30;2.90
2005-10-31;4.30
2005-11-01;3.10
2005-11-02;5.40
2005-11-03;5.20
2005-11-04;2.70
2005-11-05;2.10
2005-11-06;4.60
2005-11-07;3.30
2005-11-08;4.10
2005-11-09;2.50
2005-11-15;5.50
2005-11-22;2.00
2005-11-23;3.40
2005-11-24;5.00
2005-11-25;2.10
2005-11-26;1.90
2005-11-27;3.20
2005-11-28;3.20
2005-11-29;3.00
2005-11-30;3.90
2005-12-01;3.40
2005-12-02;3.20
2005-12-03;1.80
2005-12-04;2.20
2005-12-05;3.30
2005-12-06;2.30
2005-12-07;3.40
2005-12-08;3.90
2005-12-09;3.50
2005-12-10;2.40
2005-12-11;2.50
2005-12-12;3.40
2005-12-13;2.70
2005-12-14;2.20
2005-12-15;2.50
2005-12-16;2.50
2005-12-17;2.60
2005-12-18;2.60
2005-12-19;2.70
2005-12-20;1.80
2005-12-21;1.50
2005-12-22;2.50
2005-12-23;2.30
2005-12-28;1.80
2005-12-29;2.10
2005-12-31;2.60
2006-01-01;3.10
2006-01-02;3.70
2006-01-03;4.40
2006-01-04;3.40
2006-01-05;3.20
2006-01-06;2.50
2006-01-07;1.70
2006-01-08;2.10
2006-01-09;3.00
2006-01-10;4.20
2006-01-11;3.80
2006-01-12;3.80
2006-01-13;2.90
2006-01-14;3.60
2006-01-15;3.60
2006-01-18;3.70
2006-01-19;3.40
2006-01-20;5.00
2006-01-21;5.50
2006-01-22;5.30
2006-01-23;4.40
2006-01-24;4.00
2006-01-25;3.50
2006-01-26;4.10
2006-01-27;2.80
2006-01-28;5.10
2006-01-30;3.60
2006-01-31;3.60
2006-02-01;3.10
2006-02-02;2.10
2006-02-03;2.40
2006-02-04;2.60
2006-02-05;1.70
2006-02-06;2.90
2006-02-07;2.30
2006-02-08;2.20
2006-02-09;2.70
2006-02-10;2.80
2006-02-11;2.30
2006-02-12;3.60
2006-02-13;4.50
2006-02-14;2.10
2006-02-15;2.60
2006-02-16;3.00
2006-02-17;2.10
2006-02-18;2.30
2006-02-19;2.30
2006-02-20;1.10
2006-02-21;2.30
2006-02-22;2.60
