Date On;Bar Dust 
2002-05-03;6.95
2002-05-04;3.62
2002-05-06;0.26
2002-05-11;2.02
2002-05-12;0.59
2002-05-13;2.49
2002-05-14;7.14
2002-05-15;6.38
2002-05-16;7.35
2002-05-17;7.09
2002-05-18;3.86
2002-05-19;8.62
2002-05-20;25.12
2002-05-21;21.29
2002-05-22;20.39
2002-05-23;13.52
2002-05-24;10.48
2002-05-25;5.92
2002-05-26;34.31
2002-05-27;36.15
2002-05-28;31.94
2002-05-29;27.12
2002-05-30;9.43
2002-05-31;39.78
2002-06-01;27.42
2002-06-02;18.75
2002-06-03;26.35
2002-06-04;24.14
2002-06-05;13.47
2002-06-06;32.22
2002-06-07;32.01
2002-06-08;45.56
2002-06-09;40.63
2002-06-10;42.40
2002-06-11;8.44
2002-06-12;16.90
2002-06-13;19.68
2002-06-14;22.54
2002-06-15;10.35
2002-06-16;8.88
2002-06-17;11.67
2002-06-18;8.11
2002-06-19;8.83
2002-06-20;23.53
2002-06-21;23.33
2002-06-22;27.44
2002-06-23;64.06
2002-06-24;24.69
2002-06-25;33.52
2002-06-26;28.02
2002-06-27;33.17
2002-06-28;78.95
2002-06-29;37.35
2002-06-30;27.59
2002-07-01;10.68
2002-07-02;26.91
2002-07-03;37.30
2002-07-04;40.30
2002-07-05;14.21
2002-07-06;4.28
2002-07-07;22.57
2002-07-08;41.58
2002-07-09;21.42
2002-07-10;6.22
2002-07-11;18.13
2002-07-12;10.65
2002-07-13;4.38
2002-07-14;15.00
2002-07-15;8.10
2002-07-16;8.62
2002-07-17;11.52
2002-07-18;24.77
2002-07-19;17.44
2002-07-20;2.23
2002-07-21;1.68
2002-07-22;11.81
2002-07-23;18.85
2002-07-24;13.72
2002-07-25;21.35
2002-07-28;3.39
2002-07-29;26.26
2002-07-30;47.46
2002-07-31;39.36
2002-08-01;45.19
2002-08-04;9.78
2002-08-05;15.02
2002-08-06;23.62
2002-08-07;27.77
2002-08-08;55.60
2002-08-09;45.23
2002-08-10;20.63
2002-08-11;13.60
2002-08-12;44.87
2002-08-13;14.13
2002-08-14;4.11
2002-08-15;21.24
2002-08-16;11.26
2002-08-17;11.62
2002-08-18;2.18
2002-08-19;6.53
2002-08-20;9.95
2002-08-21;15.76
2002-08-22;14.02
2002-08-23;9.88
2002-08-24;6.39
2002-08-25;4.09
2002-08-26;3.99
2002-08-27;10.50
2002-08-28;9.92
2002-08-29;8.06
2002-08-30;1.59
2002-08-31;21.67
2002-09-01;9.87
2002-09-02;23.34
2002-09-03;16.42
2002-09-04;21.68
2002-09-05;34.92
2002-09-06;11.82
2002-09-07;12.46
2002-09-08;32.02
2002-09-09;33.78
2002-09-10;13.99
2002-09-11;2.93
2002-09-12;3.39
2002-09-13;4.14
2002-09-14;10.44
2002-09-15;31.69
2002-09-16;21.39
2002-09-17;51.56
