;PM10;;;;;;;;;;;
;microg/m3;;;;;;;;;;;
01/01/2003 01:00;59    ;;;;;;;;;;;
01/01/2003 02:00;29    ;;;;;;;;;;;
01/01/2003 03:00;28    ;;;;;;;;;;;
01/01/2003 04:00;29    ;;;;;;;;;;;
01/01/2003 05:00;30    ;;;;;;;;;;;
01/01/2003 06:00;31    ;;;;;;;;;;;
01/01/2003 07:00;34    ;;;;;;;;;;;
01/01/2003 08:00;36    ;;;;;;;;;;;
01/01/2003 09:00;36    ;;;;;;;;;;;
01/01/2003 10:00;39    ;;;;;;;;;;;
01/01/2003 11:00;37    ;;;;;;;;;;;
01/01/2003 12:00;36    ;;;;;;;;;;;
01/01/2003 13:00;37    ;;;;;;;;;;;
01/01/2003 14:00;38    ;;;;;;;;;;;
01/01/2003 15:00;39    ;;;;;;;;;;;
01/01/2003 16:00;37    ;;;;;;;;;;;
01/01/2003 17:00;38    ;;;;;;;;;;;
01/01/2003 18:00;25    ;;;;;;;;;;;
01/01/2003 19:00;24    ;;;;;;;;;;;
01/01/2003 20:00;30    ;;;;;;;;;;;
01/01/2003 21:00;20    ;;;;;;;;;;;
01/01/2003 22:00;19    ;;;;;;;;;;;
01/01/2003 23:00;26    ;;;;;;;;;;;
02/01/2003 00:00;36    ;;;;;;;;;;;
02/01/2003 01:00;31    ;;;;;;;;;;;
02/01/2003 02:00;28    ;;;;;;;;;;;
02/01/2003 03:00;28    ;;;;;;;;;;;
02/01/2003 04:00;32    ;;;;;;;;;;;
02/01/2003 05:00;25    ;;;;;;;;;;;
02/01/2003 06:00;28    ;;;;;;;;;;;
02/01/2003 07:00;30    ;;;;;;;;;;;
02/01/2003 08:00;37    ;;;;;;;;;;;
02/01/2003 09:00;44    ;;;;;;;;;;;
02/01/2003 10:00;45    ;;;;;;;;;;;
02/01/2003 11:00;32    ;;;;;;;;;;;
02/01/2003 12:00;31    ;;;;;;;;;;;
02/01/2003 13:00;15    ;;;;;;;;;;;
02/01/2003 14:00;17    ;;;;;;;;;;;
02/01/2003 15:00;24    ;;;;;;;;;;;
02/01/2003 16:00;8    ;;;;;;;;;;;
02/01/2003 17:00;8    ;;;;;;;;;;;
02/01/2003 18:00;11    ;;;;;;;;;;;
02/01/2003 19:00;16    ;;;;;;;;;;;
02/01/2003 20:00;14    ;;;;;;;;;;;
02/01/2003 21:00;18    ;;;;;;;;;;;
02/01/2003 22:00;24    ;;;;;;;;;;;
02/01/2003 23:00;16    ;;;;;;;;;;;
03/01/2003 00:00;20    ;;;;;;;;;;;
03/01/2003 01:00;18    ;;;;;;;;;;;
03/01/2003 02:00;22    ;;;;;;;;;;;
03/01/2003 03:00;22    ;;;;;;;;;;;
03/01/2003 04:00;25    ;;;;;;;;;;;
03/01/2003 05:00;29    ;;;;;;;;;;;
03/01/2003 06:00;33    ;;;;;;;;;;;
03/01/2003 07:00;37    ;;;;;;;;;;;
03/01/2003 08:00;45    ;;;;;;;;;;;
03/01/2003 09:00;48    ;;;;;;;;;;;
03/01/2003 10:00;51    ;;;;;;;;;;;
03/01/2003 11:00;40    ;;;;;;;;;;;
03/01/2003 12:00;48    ;;;;;;;;;;;
03/01/2003 13:00;41    ;;;;;;;;;;;
03/01/2003 14:00;44    ;;;;;;;;;;;
03/01/2003 15:00;38    ;;;;;;;;;;;
03/01/2003 16:00;42    ;;;;;;;;;;;
03/01/2003 17:00;27    ;;;;;;;;;;;
03/01/2003 18:00;39    ;;;;;;;;;;;
03/01/2003 19:00;44    ;;;;;;;;;;;
03/01/2003 20:00;41    ;;;;;;;;;;;
03/01/2003 21:00;42    ;;;;;;;;;;;
03/01/2003 22:00;45    ;;;;;;;;;;;
