;PM10;;;;;;;;;
;microg/m3;;;;;;;;;
01/01/2004 01:00;39    ;;;;;;;;;
01/01/2004 02:00;14    ;;;;;;;;;
01/01/2004 03:00;8    ;;;;;;;;;
01/01/2004 04:00;11    ;;;;;;;;;
01/01/2004 05:00;16    ;;;;;;;;;
01/01/2004 06:00;12    ;;;;;;;;;
01/01/2004 07:00;11    ;;;;;;;;;
01/01/2004 08:00;26    ;;;;;;;;;
01/01/2004 09:00;29    ;;;;;;;;;
01/01/2004 10:00;35    ;;;;;;;;;
01/01/2004 11:00;33    ;;;;;;;;;
01/01/2004 12:00;31    ;;;;;;;;;
01/01/2004 13:00;40    ;;;;;;;;;
01/01/2004 14:00;38    ;;;;;;;;;
01/01/2004 15:00;37    ;;;;;;;;;
01/01/2004 16:00;42    ;;;;;;;;;
01/01/2004 17:00;48    ;;;;;;;;;
01/01/2004 18:00;50    ;;;;;;;;;
01/01/2004 19:00;59    ;;;;;;;;;
01/01/2004 20:00;62    ;;;;;;;;;
01/01/2004 21:00;63    ;;;;;;;;;
01/01/2004 22:00;47    ;;;;;;;;;
01/01/2004 23:00;48    ;;;;;;;;;
02/01/2004 00:00;50    ;;;;;;;;;
02/01/2004 01:00;49    ;;;;;;;;;
02/01/2004 02:00;47    ;;;;;;;;;
02/01/2004 03:00;56    ;;;;;;;;;
02/01/2004 04:00;59    ;;;;;;;;;
02/01/2004 05:00;64    ;;;;;;;;;
02/01/2004 06:00;63    ;;;;;;;;;
02/01/2004 07:00;63    ;;;;;;;;;
02/01/2004 08:00;62    ;;;;;;;;;
02/01/2004 09:00;52    ;;;;;;;;;
02/01/2004 10:00;72    ;;;;;;;;;
02/01/2004 11:00;48    ;;;;;;;;;
02/01/2004 12:00;43    ;;;;;;;;;
02/01/2004 13:00;41    ;;;;;;;;;
02/01/2004 14:00;41    ;;;;;;;;;
02/01/2004 15:00;39    ;;;;;;;;;
02/01/2004 16:00;42    ;;;;;;;;;
02/01/2004 17:00;32    ;;;;;;;;;
02/01/2004 18:00;35    ;;;;;;;;;
02/01/2004 19:00;36    ;;;;;;;;;
02/01/2004 20:00;35    ;;;;;;;;;
02/01/2004 21:00;36    ;;;;;;;;;
02/01/2004 22:00;42    ;;;;;;;;;
02/01/2004 23:00;35    ;;;;;;;;;
03/01/2004 00:00;36    ;;;;;;;;;
03/01/2004 01:00;38    ;;;;;;;;;
03/01/2004 02:00;22    ;;;;;;;;;
03/01/2004 03:00;33    ;;;;;;;;;
03/01/2004 04:00;40    ;;;;;;;;;
03/01/2004 05:00;40    ;;;;;;;;;
03/01/2004 06:00;35    ;;;;;;;;;
03/01/2004 07:00;26    ;;;;;;;;;
03/01/2004 08:00;34    ;;;;;;;;;
03/01/2004 09:00;36    ;;;;;;;;;
03/01/2004 10:00;36    ;;;;;;;;;
03/01/2004 11:00;32    ;;;;;;;;;
03/01/2004 12:00;36    ;;;;;;;;;
03/01/2004 13:00;24    ;;;;;;;;;
03/01/2004 14:00;27    ;;;;;;;;;
03/01/2004 15:00;14    ;;;;;;;;;
03/01/2004 16:00;8    ;;;;;;;;;
03/01/2004 17:00;20    ;;;;;;;;;
03/01/2004 18:00;22    ;;;;;;;;;
03/01/2004 19:00;13    ;;;;;;;;;
03/01/2004 20:00;27    ;;;;;;;;;
03/01/2004 21:00;24    ;;;;;;;;;
03/01/2004 22:00;17    ;;;;;;;;;
03/01/2004 23:00;27    ;;;;;;;;;
04/01/2004 00:00;14    ;;;;;;;;;
04/01/2004 01:00;8    ;;;;;;;;;
04/01/2004 02:00;6    ;;;;;;;;;
04/01/2004 03:00;4    ;;;;;;;;;
04/01/2004 04:00;7    ;;;;;;;;;
04/01/2004 05:00;8    ;;;;;;;;;
04/01/2004 06:00;17    ;;;;;;;;;
04/01/2004 07:00;17    ;;;;;;;;;
04/01/2004 08:00;12    ;;;;;;;;;
04/01/2004 09:00;22    ;;;;;;;;;
04/01/2004 10:00;20    ;;;;;;;;;
04/01/2004 11:00;27    ;;;;;;;;;
04/01/2004 12:00;31    ;;;;;;;;;
04/01/2004 13:00;28    ;;;;;;;;;
04/01/2004 14:00;21    ;;;;;;;;;
04/01/2004 15:00;32    ;;;;;;;;;
04/01/2004 16:00;34    ;;;;;;;;;
04/01/2004 17:00;30    ;;;;;;;;;
04/01/2004 18:00;30    ;;;;;;;;;
04/01/2004 19:00;34    ;;;;;;;;;
04/01/2004 20:00;24    ;;;;;;;;;
04/01/2004 21:00;25    ;;;;;;;;;
04/01/2004 22:00;18    ;;;;;;;;;
04/01/2004 23:00;28    ;;;;;;;;;
05/01/2004 00:00;15    ;;;;;;;;;
05/01/2004 01:00;6    ;;;;;;;;;
05/01/2004 02:00;10    ;;;;;;;;;
05/01/2004 03:00;2    ;;;;;;;;;
05/01/2004 04:00;10    ;;;;;;;;;
05/01/2004 05:00;3    ;;;;;;;;;
05/01/2004 06:00;6    ;;;;;;;;;
05/01/2004 07:00;14    ;;;;;;;;;
05/01/2004 08:00;33    ;;;;;;;;;
05/01/2004 09:00;22    ;;;;;;;;;
05/01/2004 10:00;33    ;;;;;;;;;
05/01/2004 11:00;20    ;;;;;;;;;
05/01/2004 12:00;27    ;;;;;;;;;
05/01/2004 13:00;10    ;;;;;;;;;
05/01/2004 14:00;22    ;;;;;;;;;
05/01/2004 15:00;34    ;;;;;;;;;
05/01/2004 16:00;38    ;;;;;;;;;
05/01/2004 17:00;23    ;;;;;;;;;
05/01/2004 18:00;10    ;;;;;;;;;
05/01/2004 19:00;28    ;;;;;;;;;
05/01/2004 20:00;20    ;;;;;;;;;
05/01/2004 21:00;1    ;;;;;;;;;
05/01/2004 22:00;6    ;;;;;;;;;
05/01/2004 23:00;8    ;;;;;;;;;
06/01/2004 00:00;19    ;;;;;;;;;
06/01/2004 01:00;18    ;;;;;;;;;
06/01/2004 02:00;-2    ;;;;;;;;;
06/01/2004 03:00;22    ;;;;;;;;;
06/01/2004 04:00;20    ;;;;;;;;;
06/01/2004 05:00;28    ;;;;;;;;;
06/01/2004 06:00;21    ;;;;;;;;;
06/01/2004 07:00;31    ;;;;;;;;;
06/01/2004 08:00;29    ;;;;;;;;;
06/01/2004 09:00;44    ;;;;;;;;;
06/01/2004 10:00;42    ;;;;;;;;;
06/01/2004 11:00;36    ;;;;;;;;;
06/01/2004 12:00;34    ;;;;;;;;;
06/01/2004 13:00;27    ;;;;;;;;;
06/01/2004 14:00;30    ;;;;;;;;;
06/01/2004 15:00;36    ;;;;;;;;;
06/01/2004 16:00;38    ;;;;;;;;;
06/01/2004 17:00;37    ;;;;;;;;;
06/01/2004 18:00;34    ;;;;;;;;;
06/01/2004 19:00;27    ;;;;;;;;;
06/01/2004 20:00;28    ;;;;;;;;;
06/01/2004 21:00;24    ;;;;;;;;;
06/01/2004 22:00;32    ;;;;;;;;;
06/01/2004 23:00;32    ;;;;;;;;;
07/01/2004 00:00;23    ;;;;;;;;;
07/01/2004 01:00;23    ;;;;;;;;;
07/01/2004 02:00;16    ;;;;;;;;;
07/01/2004 03:00;12    ;;;;;;;;;
07/01/2004 04:00;40    ;;;;;;;;;
07/01/2004 05:00;26    ;;;;;;;;;
