;PM10;;;;;;;;
;microg/m3;;;;;;;;
01/01/2006 01:00;136    ;;;;;;;;
01/01/2006 02:00;39    ;;;;;;;;
01/01/2006 03:00;13    ;;;;;;;;
01/01/2006 04:00;7    ;;;;;;;;
01/01/2006 05:00;14    ;;;;;;;;
01/01/2006 06:00;19    ;;;;;;;;
01/01/2006 07:00;25    ;;;;;;;;
01/01/2006 08:00;42    ;;;;;;;;
01/01/2006 09:00;19    ;;;;;;;;
01/01/2006 10:00;17    ;;;;;;;;
01/01/2006 11:00;88    ;;;;;;;;
01/01/2006 12:00;21    ;;;;;;;;
01/01/2006 13:00;16    ;;;;;;;;
01/01/2006 14:00;22    ;;;;;;;;
01/01/2006 15:00;12    ;;;;;;;;
01/01/2006 16:00;17    ;;;;;;;;
01/01/2006 17:00;10    ;;;;;;;;
01/01/2006 18:00;16    ;;;;;;;;
01/01/2006 19:00;22    ;;;;;;;;
01/01/2006 20:00;21    ;;;;;;;;
01/01/2006 21:00;21    ;;;;;;;;
01/01/2006 22:00;15    ;;;;;;;;
01/01/2006 23:00;17    ;;;;;;;;
02/01/2006 00:00;18    ;;;;;;;;
02/01/2006 01:00;12    ;;;;;;;;
02/01/2006 02:00;22    ;;;;;;;;
02/01/2006 03:00;11    ;;;;;;;;
02/01/2006 04:00;22    ;;;;;;;;
02/01/2006 05:00;13    ;;;;;;;;
02/01/2006 06:00;12    ;;;;;;;;
02/01/2006 07:00;16    ;;;;;;;;
02/01/2006 08:00;19    ;;;;;;;;
02/01/2006 09:00;17    ;;;;;;;;
02/01/2006 10:00;25    ;;;;;;;;
02/01/2006 11:00;11    ;;;;;;;;
02/01/2006 12:00;18    ;;;;;;;;
02/01/2006 13:00;16    ;;;;;;;;
02/01/2006 14:00;10    ;;;;;;;;
02/01/2006 15:00;11    ;;;;;;;;
02/01/2006 16:00;14    ;;;;;;;;
02/01/2006 17:00;14    ;;;;;;;;
02/01/2006 18:00;20    ;;;;;;;;
02/01/2006 19:00;18    ;;;;;;;;
02/01/2006 20:00;31    ;;;;;;;;
02/01/2006 21:00;24    ;;;;;;;;
02/01/2006 22:00;29    ;;;;;;;;
02/01/2006 23:00;15    ;;;;;;;;
03/01/2006 00:00;19    ;;;;;;;;
03/01/2006 01:00;26    ;;;;;;;;
03/01/2006 02:00;20    ;;;;;;;;
03/01/2006 03:00;20    ;;;;;;;;
03/01/2006 04:00;9    ;;;;;;;;
03/01/2006 05:00;12    ;;;;;;;;
03/01/2006 06:00;12    ;;;;;;;;
03/01/2006 07:00;18    ;;;;;;;;
03/01/2006 08:00;25    ;;;;;;;;
03/01/2006 09:00;8    ;;;;;;;;
03/01/2006 10:00;22    ;;;;;;;;
03/01/2006 11:00;;;;;;;;;
03/01/2006 12:00;26    ;;;;;;;;
03/01/2006 13:00;28    ;;;;;;;;
03/01/2006 14:00;22    ;;;;;;;;
03/01/2006 15:00;23    ;;;;;;;;
03/01/2006 16:00;24    ;;;;;;;;
03/01/2006 17:00;39    ;;;;;;;;
03/01/2006 18:00;42    ;;;;;;;;
03/01/2006 19:00;36    ;;;;;;;;
03/01/2006 20:00;42    ;;;;;;;;
03/01/2006 21:00;37    ;;;;;;;;
03/01/2006 22:00;25    ;;;;;;;;
03/01/2006 23:00;23    ;;;;;;;;
04/01/2006 00:00;30    ;;;;;;;;
04/01/2006 01:00;27    ;;;;;;;;
04/01/2006 02:00;18    ;;;;;;;;
04/01/2006 03:00;24    ;;;;;;;;
04/01/2006 04:00;31    ;;;;;;;;
04/01/2006 05:00;30    ;;;;;;;;
04/01/2006 06:00;22    ;;;;;;;;
04/01/2006 07:00;22    ;;;;;;;;
04/01/2006 08:00;28    ;;;;;;;;
04/01/2006 09:00;36    ;;;;;;;;
04/01/2006 10:00;29    ;;;;;;;;
04/01/2006 11:00;33    ;;;;;;;;
04/01/2006 12:00;28    ;;;;;;;;
04/01/2006 13:00;38    ;;;;;;;;
04/01/2006 14:00;18    ;;;;;;;;
04/01/2006 15:00;26    ;;;;;;;;
04/01/2006 16:00;38    ;;;;;;;;
04/01/2006 17:00;36    ;;;;;;;;
04/01/2006 18:00;29    ;;;;;;;;
04/01/2006 19:00;39    ;;;;;;;;
