;PM10FDMS;PM10;;;;;;;;
;microg/m3;microg/m3;;;;;;;;
01/01/2009 01:00;;135    ;;;;;;;;
01/01/2009 02:00;;52    ;;;;;;;;
01/01/2009 03:00;;31    ;;;;;;;;
01/01/2009 04:00;;40    ;;;;;;;;
01/01/2009 05:00;;33    ;;;;;;;;
01/01/2009 06:00;;31    ;;;;;;;;
01/01/2009 07:00;;35    ;;;;;;;;
01/01/2009 08:00;;35    ;;;;;;;;
01/01/2009 09:00;;24    ;;;;;;;;
01/01/2009 10:00;;21    ;;;;;;;;
01/01/2009 11:00;;22    ;;;;;;;;
01/01/2009 12:00;;23    ;;;;;;;;
01/01/2009 13:00;;19    ;;;;;;;;
01/01/2009 14:00;;22    ;;;;;;;;
01/01/2009 15:00;;37    ;;;;;;;;
01/01/2009 16:00;;10    ;;;;;;;;
01/01/2009 17:00;;16    ;;;;;;;;
01/01/2009 18:00;;19    ;;;;;;;;
01/01/2009 19:00;;20    ;;;;;;;;
01/01/2009 20:00;;19    ;;;;;;;;
01/01/2009 21:00;;13    ;;;;;;;;
01/01/2009 22:00;;12    ;;;;;;;;
01/01/2009 23:00;;19    ;;;;;;;;
02/01/2009 00:00;;6    ;;;;;;;;
02/01/2009 01:00;;18    ;;;;;;;;
02/01/2009 02:00;;7    ;;;;;;;;
02/01/2009 03:00;;12    ;;;;;;;;
02/01/2009 04:00;;25    ;;;;;;;;
02/01/2009 05:00;;28    ;;;;;;;;
02/01/2009 06:00;;22    ;;;;;;;;
02/01/2009 07:00;;11    ;;;;;;;;
02/01/2009 08:00;;9    ;;;;;;;;
02/01/2009 09:00;;22    ;;;;;;;;
02/01/2009 10:00;;15    ;;;;;;;;
02/01/2009 11:00;;26    ;;;;;;;;
02/01/2009 12:00;;26    ;;;;;;;;
02/01/2009 13:00;;25    ;;;;;;;;
02/01/2009 14:00;;20    ;;;;;;;;
02/01/2009 15:00;;19    ;;;;;;;;
02/01/2009 16:00;;6    ;;;;;;;;
02/01/2009 17:00;;12    ;;;;;;;;
02/01/2009 18:00;;20    ;;;;;;;;
02/01/2009 19:00;;13    ;;;;;;;;
02/01/2009 20:00;;16    ;;;;;;;;
02/01/2009 21:00;;19    ;;;;;;;;
02/01/2009 22:00;;;;;;;;;;
02/01/2009 23:00;;;;;;;;;;
03/01/2009 00:00;;;;;;;;;;
03/01/2009 01:00;;16    ;;;;;;;;
03/01/2009 02:00;;10    ;;;;;;;;
03/01/2009 03:00;;20    ;;;;;;;;
03/01/2009 04:00;;34    ;;;;;;;;
03/01/2009 05:00;;24    ;;;;;;;;
03/01/2009 06:00;;20    ;;;;;;;;
03/01/2009 07:00;;20    ;;;;;;;;
03/01/2009 08:00;;17    ;;;;;;;;
03/01/2009 09:00;;24    ;;;;;;;;
03/01/2009 10:00;;41    ;;;;;;;;
03/01/2009 11:00;;36    ;;;;;;;;
03/01/2009 12:00;;43    ;;;;;;;;
03/01/2009 13:00;;47    ;;;;;;;;
03/01/2009 14:00;;53    ;;;;;;;;
03/01/2009 15:00;;51    ;;;;;;;;
03/01/2009 16:00;;39    ;;;;;;;;
03/01/2009 17:00;;40    ;;;;;;;;
03/01/2009 18:00;;42    ;;;;;;;;
03/01/2009 19:00;;35    ;;;;;;;;
03/01/2009 20:00;;33    ;;;;;;;;
03/01/2009 21:00;;48    ;;;;;;;;
03/01/2009 22:00;;33    ;;;;;;;;
03/01/2009 23:00;;35    ;;;;;;;;
04/01/2009 00:00;;31    ;;;;;;;;
04/01/2009 01:00;;19    ;;;;;;;;
04/01/2009 02:00;;35    ;;;;;;;;
04/01/2009 03:00;;34    ;;;;;;;;
04/01/2009 04:00;;43    ;;;;;;;;
04/01/2009 05:00;;27    ;;;;;;;;
04/01/2009 06:00;;30    ;;;;;;;;
04/01/2009 07:00;;28    ;;;;;;;;
04/01/2009 08:00;;16    ;;;;;;;;
04/01/2009 09:00;;26    ;;;;;;;;
04/01/2009 10:00;;36    ;;;;;;;;
04/01/2009 11:00;;63    ;;;;;;;;
04/01/2009 12:00;;69    ;;;;;;;;
04/01/2009 13:00;;74    ;;;;;;;;
04/01/2009 14:00;;75    ;;;;;;;;
04/01/2009 15:00;;70    ;;;;;;;;
04/01/2009 16:00;;74    ;;;;;;;;
04/01/2009 17:00;;75    ;;;;;;;;
04/01/2009 18:00;;74    ;;;;;;;;
04/01/2009 19:00;;82    ;;;;;;;;
04/01/2009 20:00;;78    ;;;;;;;;
