month	hour	pm10
1	0	18.7557
1	1	16.3448
1	2	15.5862
1	3	15.4524
1	4	16.8064
1	5	18.8555
1	6	21.3382
1	7	27.4092
1	8	28.2911
1	9	23.5942
1	10	19.6127
1	11	19.6925
1	12	19.1994
1	13	19.0860
1	14	19.3017
1	15	19.8514
1	16	19.9829
1	17	19.9483
1	18	20.5862
1	19	20.3960
1	20	19.4829
1	21	19.4355
1	22	19.1433
1	23	18.1146
2	0	16.7039
2	1	15.7835
2	2	15.3152
2	3	16.2273
2	4	17.6159
2	5	20.6888
2	6	24.1000
2	7	30.5106
2	8	29.2630
2	9	23.7270
2	10	20.6514
2	11	21.0153
2	12	21.0122
2	13	21.9352
2	14	20.9756
2	15	21.1494
2	16	21.3485
2	17	21.6778
2	18	21.2152
2	19	21.2310
2	20	20.3191
2	21	19.4833
2	22	18.9788
2	23	18.1277
3	0	18.1308
3	1	17.2541
3	2	16.9676
3	3	17.5984
3	4	19.4717
3	5	21.9730
3	6	26.3560
3	7	30.6000
3	8	27.9054
3	9	22.8187
3	10	23.6339
3	11	23.5123
3	12	22.9891
3	13	22.5562
3	14	22.3352
3	15	22.4402
3	16	23.1658
3	17	23.1467
3	18	23.4851
3	19	22.7412
3	20	21.7507
3	21	20.4108
3	22	19.7275
3	23	18.7663
4	0	18.9490
4	1	18.2386
4	2	18.0114
4	3	19.4758
4	4	20.7829
4	5	23.3352
4	6	27.5931
4	7	28.2385
4	8	25.1914
4	9	23.0971
4	10	25.0906
4	11	24.4249
4	12	24.0948
4	13	23.7688
4	14	24.2270
4	15	24.4080
4	16	23.9251
4	17	23.9483
4	18	23.2730
4	19	23.1629
4	20	22.4302
4	21	21.9886
4	22	21.1477
4	23	19.7386
5	0	22.9153
5	1	22.3251
5	2	22.5442
5	3	22.7796
5	4	24.6419
5	5	26.9890
5	6	32.9807
5	7	31.3791
5	8	28.2361
5	9	28.0730
5	10	31.0028
5	11	31.2717
5	12	32.3972
5	13	29.0418
5	14	29.4479
5	15	29.0615
5	16	27.2293
5	17	27.7812
5	18	27.0548
5	19	28.0632
5	20	27.8705
5	21	26.5370
5	22	25.4696
5	23	23.9917
6	0	33.2097
6	1	32.5732
6	2	32.6061
6	3	32.8207
6	4	33.7523
6	5	35.7660
6	6	41.3121
6	7	41.2900
6	8	39.9200
6	9	40.1615
6	10	42.9938
6	11	44.5157
6	12	41.9844
6	13	41.7900
6	14	42.0092
6	15	41.8328
6	16	41.4863
6	17	40.9119
6	18	40.9210
6	19	40.0491
6	20	39.7606
6	21	37.7939
6	22	36.1155
6	23	34.5091
7	0	31.8339
7	1	31.0719
7	2	31.2744
7	3	31.1572
7	4	31.6563
7	5	33.8255
7	6	39.2284
7	7	40.6080
7	8	39.4543
7	9	40.2013
7	10	42.3793
7	11	42.0479
7	12	40.3344
7	13	39.4089
7	14	38.9209
7	15	37.6909
7	16	37.6341
7	17	37.9968
7	18	37.6164
7	19	37.2105
7	20	36.0280
7	21	35.4861
7	22	34.5851
7	23	32.8707
8	0	28.5091
8	1	27.7607
8	2	26.8349
8	3	27.9595
8	4	29.1852
8	5	30.9756
8	6	36.3486
8	7	37.1358
8	8	35.6972
8	9	33.6378
8	10	34.9236
8	11	34.0949
8	12	33.0984
8	13	33.4873
8	14	33.2889
8	15	33.2226
8	16	32.4119
8	17	31.9579
8	18	32.1401
8	19	31.6031
8	20	32.0334
8	21	31.4923
8	22	30.1402
8	23	29.1829
9	0	23.3343
9	1	22.9258
9	2	22.1647
9	3	23.0178
9	4	24.8720
9	5	27.3521
9	6	31.7440
9	7	33.7219
9	8	29.5905
9	9	26.3093
9	10	27.8258
9	11	28.3851
9	12	27.3634
9	13	27.5863
9	14	26.7470
9	15	26.8958
9	16	26.7738
9	17	26.5133
9	18	26.7699
9	19	26.8952
9	20	26.8269
9	21	26.4265
9	22	24.7649
9	23	24.0833
10	0	18.2922
10	1	17.3545
10	2	17.3193
10	3	18.6030
10	4	20.4622
10	5	23.3072
10	6	27.4350
10	7	29.7590
10	8	25.7447
10	9	21.9812
10	10	21.9554
10	11	22.5559
10	12	22.8549
10	13	21.5000
10	14	21.3780
10	15	20.6616
10	16	20.7234
10	17	20.9091
10	18	21.1848
10	19	20.8364
10	20	20.4909
10	21	20.4066
10	22	19.5736
10	23	19.1867
11	0	15.2975
11	1	14.9202
11	2	14.7720
11	3	15.5879
11	4	17.1945
11	5	19.9424
11	6	23.0272
11	7	26.2387
11	8	23.8754
11	9	19.6189
11	10	18.5354
11	11	18.8532
11	12	17.9692
11	13	17.0526
11	14	17.3877
11	15	16.9329
11	16	17.0760
11	17	17.5455
11	18	17.9006
11	19	17.7470
11	20	17.7139
11	21	17.4444
11	22	17.3494
11	23	16.1220
12	0	15.9972
12	1	14.8551
12	2	14.1278
12	3	15.0398
12	4	16.6410
12	5	18.6553
12	6	21.7500
12	7	27.7955
12	8	26.8889
12	9	22.9312
12	10	19.3420
12	11	18.9564
12	12	18.9712
12	13	19.0348
12	14	19.0946
12	15	19.2894
12	16	19.2754
12	17	18.5931
12	18	19.8143
12	19	19.4343
12	20	18.9263
12	21	19.0686
12	22	18.1396
12	23	16.8754
