month	hour	pm10
0	0	19.00000
0	2	19.00000
0	3	18.00000
0	4	18.00000
0	5	18.00000
0	6	18.00000
0	7	21.00000
0	8	21.00000
0	9	19.00000
0	10	17.00000
0	11	17.00000
0	12	19.00000
0	13	26.00000
0	14	28.00000
0	15	30.00000
0	16	27.00000
0	17	28.00000
0	18	28.00000
0	19	27.00000
0	20	26.00000
0	21	24.00000
0	22	23.00000
0	23	23.00000
1	0	16.44615
1	1	15.70388
1	2	15.18724
1	3	15.01577
1	4	15.00801
1	5	15.40449
1	6	15.95506
1	7	18.41190
1	8	21.75893
1	9	22.66012
1	10	21.52725
1	11	21.27922
1	12	21.56657
1	13	21.31084
1	14	20.28832
1	15	20.71161
1	16	20.17500
1	17	21.01168
1	18	21.02119
1	19	21.81361
1	20	20.76124
1	21	19.30237
1	22	18.04822
1	23	16.80030
2	0	16.90800
2	1	16.33742
2	2	15.91518
2	3	15.70698
2	4	15.88548
2	5	16.19934
2	6	16.69203
2	7	18.99402
2	8	22.02093
2	9	22.87483
2	10	21.96767
2	11	22.13377
2	12	21.73455
2	13	21.73046
2	14	21.61250
2	15	21.77243
2	16	21.77874
2	17	22.04983
2	18	22.73123
2	19	23.43033
2	20	22.48633
2	21	20.56700
2	22	18.79600
2	23	17.74367
3	0	23.40295
3	1	22.68912
3	2	21.93578
3	3	21.90853
3	4	22.04824
3	5	22.41026
3	6	23.28240
3	7	26.35279
3	8	29.63460
3	9	29.58260
3	10	28.79703
3	11	29.10537
3	12	29.48690
3	13	29.79320
3	14	29.95905
3	15	29.54077
3	16	29.89589
3	17	30.52765
3	18	30.94218
3	19	31.15664
3	20	30.30982
3	21	28.02811
3	22	26.17751
3	23	24.73787
4	0	21.65289
4	1	20.70030
4	2	20.65994
4	3	20.31037
4	4	20.16564
4	5	20.48471
4	6	21.27073
4	7	24.12800
4	8	26.58318
4	9	26.73405
4	10	26.63140
4	11	27.23676
4	12	27.42406
4	13	27.59350
4	14	27.12400
4	15	27.93221
4	16	27.84677
4	17	27.96758
4	18	28.12080
4	19	28.20485
4	20	28.22061
4	21	25.74303
4	22	23.86261
4	23	22.43537
5	0	30.13612
5	1	29.52619
5	2	29.28284
5	3	29.15710
5	4	29.17367
5	5	29.26036
5	6	29.63994
5	7	33.34053
