"Date","mean","std","nbValues"
1997-10-25,30,NA,1
1997-10-26,78,NA,1
1997-10-27,49,NA,1
1997-10-28,51,NA,1
1997-10-29,55,NA,1
1997-10-30,47,NA,1
1997-10-31,83,NA,1
1997-11-01,41,NA,1
1997-11-02,34,NA,1
1997-11-03,76,NA,1
1997-11-04,97,NA,1
1997-11-05,74,NA,1
1997-11-06,62,NA,1
1997-11-07,50,NA,1
1997-11-13,45,NA,1
1997-11-14,38,NA,1
1997-11-15,43,NA,1
1997-11-16,40,NA,1
1997-11-17,40,NA,1
1997-11-18,40,NA,1
1997-11-19,40,NA,1
1997-11-20,42,NA,1
1997-11-21,40,NA,1
1997-11-22,40,NA,1
1997-11-23,40,NA,1
1997-11-24,43,NA,1
1997-11-25,50,NA,1
1997-11-26,42,NA,1
1997-11-27,40,NA,1
1997-11-28,38,NA,1
1997-11-29,40,NA,1
1997-11-30,35,NA,1
1997-12-01,38,NA,1
1997-12-02,40,NA,1
1997-12-03,45,NA,1
1997-12-04,40,NA,1
1997-12-05,78,NA,1
1997-12-06,41,NA,1
1997-12-07,25,NA,1
1997-12-08,50,NA,1
1997-12-09,64,NA,1
1997-12-12,40,NA,1
1997-12-13,40,NA,1
1997-12-14,40,NA,1
1997-12-15,56,NA,1
1997-12-16,43,NA,1
1997-12-17,62,NA,1
1997-12-18,74,NA,1
1997-12-19,43,NA,1
1997-12-20,40,NA,1
1997-12-21,40,NA,1
1997-12-22,32,NA,1
1997-12-23,42,NA,1
1997-12-24,40,NA,1
1997-12-25,41,NA,1
1997-12-26,41,NA,1
1997-12-28,22,NA,1
1997-12-29,41,NA,1
1998-01-01,40,NA,1
1998-01-02,43,NA,1
1998-01-03,48,NA,1
1998-01-04,41,NA,1
1998-01-05,65,NA,1
1998-01-06,82,NA,1
1998-01-07,52,NA,1
1998-01-08,64,NA,1
1998-01-09,56,NA,1
1998-01-10,40,NA,1
1998-01-11,33,NA,1
1998-01-12,64,NA,1
1998-01-13,15,NA,1
1998-01-14,49,NA,1
1998-01-15,86,NA,1
1998-01-16,89,NA,1
1998-01-17,52,NA,1
1998-01-18,51,NA,1
1998-01-19,63,NA,1
1998-01-22,73,NA,1
1998-01-23,112,NA,1
1998-01-24,34,NA,1
1998-01-25,24,NA,1
1998-01-26,59,NA,1
1998-01-27,83,NA,1
1998-02-27,34,NA,1
1998-02-28,23,NA,1
1998-03-01,21,NA,1
1998-03-02,24,NA,1
1998-03-03,25,NA,1
1998-03-04,17,NA,1
1998-03-05,28,NA,1
1998-03-06,26,NA,1
1998-03-07,26,NA,1
1998-03-08,27,NA,1
1998-03-09,32,NA,1
1998-03-10,34,NA,1
1998-03-11,40,NA,1
1998-03-12,37,NA,1
1998-03-13,31,NA,1
1998-03-14,25,NA,1
1998-03-15,25,NA,1
1998-03-16,25,NA,1
1998-03-17,20,NA,1
1998-03-18,21,NA,1
1998-03-19,25,NA,1
1998-03-20,29,NA,1
1998-03-21,31,NA,1
1998-03-22,20,NA,1
1998-03-25,38,NA,1
1998-03-26,30,NA,1
1998-03-27,24,NA,1
1998-03-28,29,NA,1
1998-03-29,28,NA,1
1998-03-30,25,NA,1
1998-03-31,30,NA,1
1998-04-01,30,NA,1
1998-04-02,24,NA,1
1998-04-03,22,NA,1
1998-04-04,22,NA,1
1998-04-05,24,NA,1
1998-04-06,21,NA,1
1998-04-07,21,NA,1
1998-04-08,4,NA,1
1998-04-09,17,NA,1
1998-04-10,14,NA,1
1998-04-11,19,NA,1
1998-04-12,14,NA,1
1998-04-13,35,NA,1
1998-04-14,22,NA,1
1998-04-15,17,NA,1
1998-04-16,28,NA,1
1998-04-17,24,NA,1
1998-04-18,22,NA,1
1998-04-19,23,NA,1
1998-04-20,21,NA,1
1998-04-21,33,NA,1
1998-04-22,23,NA,1
1998-04-23,19,NA,1
1998-04-24,25,NA,1
1998-04-25,21,NA,1
1998-04-26,21,NA,1
1998-04-27,24,NA,1
1998-04-28,24,NA,1
1998-04-29,14,NA,1
1998-04-30,14,NA,1
1998-05-01,27,NA,1
1998-05-02,25,NA,1
1998-05-03,23,NA,1
1998-05-04,21,NA,1
1998-05-05,22,NA,1
1998-05-06,25,NA,1
