"Date","mean","std","nbValues"
1980-01-04,0.8,0.57,5
1980-01-16,0.81,0.6,5
1980-01-28,0.77,0.8,4
1980-02-09,0.49,0.65,3
1980-02-21,0.47,0.35,3
1980-03-04,0.25,0.24,2
1980-03-16,0.18,0.01,2
1980-03-28,0.24,0.13,4
1980-04-09,0.49,0.31,5
1980-04-21,0.24,0.23,5
1980-05-03,0.2,0.22,2
1980-05-15,0.56,0.41,5
1980-05-27,0.47,0.41,4
1980-06-08,0.26,0.11,5
1980-06-20,0.25,0.2,3
1980-07-02,0.25,0.16,4
1980-07-14,0.34,0.4,3
1980-07-26,0.28,0.2,4
1980-08-07,0.28,0.18,4
1980-08-19,0.28,0.16,4
1980-08-31,0.29,0.19,4
1980-09-12,0.48,0.36,4
1980-09-24,0.62,0.3,3
1980-10-06,0.43,0.16,3
1980-10-18,0.35,0.28,4
1980-10-30,0.27,0.2,3
1980-11-11,0.39,0.39,3
1980-11-23,0.12,0.1,4
1980-12-05,0.21,0.13,3
1980-12-17,0.32,0.37,4
1980-12-29,0.92,1.57,4
1981-01-10,0.41,0.44,5
1981-01-22,0.86,1.39,5
1981-02-03,0.37,0.22,3
1981-02-15,0.3,0.16,5
1981-02-27,0.27,0.16,3
1981-03-11,0.2,0.13,3
1981-03-23,0.16,0.12,5
1981-04-04,0.12,0.08,9
1981-04-10,0.06,0.05,5
1981-04-16,0.05,0.06,7
1981-04-22,0.1,0.08,4
1981-04-28,0.21,0.31,7
1981-05-04,0.48,0.33,6
1981-05-10,0.3,0.19,8
1981-05-16,0.39,0.28,7
1981-05-22,0.2,0.13,8
1981-05-28,0.3,0.28,4
1981-06-03,0.27,0.15,8
1981-06-09,0.15,0.1,4
1981-06-15,0.37,0.14,7
1981-06-21,0.42,0.23,5
1981-06-27,0.5,0.39,8
1981-07-03,0.09,0.07,7
1981-07-09,0.18,0.15,8
1981-07-15,0.15,0.13,4
1981-07-21,0.54,0.79,8
1981-07-27,0.2,0.19,6
1981-08-02,0.13,0.06,10
1981-08-08,0.42,0.34,4
1981-08-14,0.43,0.36,8
1981-08-20,0.47,0.39,6
1981-08-26,0.24,0.12,8
1981-09-01,0.25,0.14,6
1981-09-07,0.34,0.22,8
1981-09-13,0.33,0.24,7
1981-09-19,0.29,0.14,8
1981-09-25,0.27,0.17,7
1981-10-01,0.26,0.13,8
1981-10-07,0.25,0.12,6
1981-10-13,0.24,0.12,7
1981-10-19,0.3,0.2,7
1981-10-25,0.36,0.24,8
1981-10-31,0.3,0.2,5
1981-11-06,0.21,0.15,6
1981-11-12,0.38,0.2,5
1981-11-18,0.36,0.37,6
1981-11-24,0.32,0.36,4
1981-11-30,0.39,0.19,6
1981-12-06,0.14,0.14,7
1981-12-12,0.16,0.22,7
1981-12-18,0.48,0.29,6
1981-12-24,0.18,0.11,8
1981-12-30,0.5,0.34,7
1982-01-05,0.28,0.17,7
1982-01-11,0.4,0.38,6
1982-01-17,0.33,0.29,7
1982-01-23,0.23,0.14,7
1982-01-29,0.52,0.44,8
1982-02-04,0.1,0.14,2
1982-02-10,0.32,0.26,7
1982-02-16,0.13,0.06,3
1982-02-22,0.36,0.24,8
1982-02-28,0.14,0.09,5
1982-03-06,0.23,0.15,8
1982-03-12,0.2,0.13,6
1982-03-18,0.29,0.13,6
1982-03-24,0.4,0.3,7
1982-03-30,0.72,0.42,5
1982-04-05,0.23,0.13,7
1982-04-11,0.19,0.14,7
1982-04-17,0.26,0.18,6
1982-04-23,0.24,0.15,8
1982-04-29,0.37,0.29,7
1982-05-05,0.4,0.3,7
1982-05-11,0.42,0.36,6
1982-05-17,0.36,0.27,8
1982-05-23,0.27,0.21,4
1982-05-29,0.6,0.39,7
1982-06-04,0.49,0.32,5
1982-06-10,0.27,0.25,8
1982-06-22,0.13,0.09,7
1982-06-28,0.19,0.21,6
1982-07-04,0.22,0.02,3
1982-07-10,0.59,NA,1
1982-07-16,0.48,0.13,3
1982-07-22,0.58,NA,1
1982-07-28,0.19,0.1,2
1982-08-03,0.08,NA,1
1982-08-09,0.34,0.14,4
1982-08-15,0.31,0.24,2
1982-08-21,0.21,0.11,4
1982-08-27,0.53,0.55,2
1982-09-02,0.53,0.2,3
1982-09-08,0.68,0.37,2
1982-09-14,0.45,0.27,4
1982-09-20,0.33,NA,1
1982-09-26,0.24,0.14,3
1982-10-02,0.59,0.33,4
1982-10-08,0.62,0.27,6
1982-10-14,0.82,0.26,4
1982-10-20,0.69,0.37,6
1982-10-26,0.74,0.41,4
