"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/13/2001","AQS","720170001","1","16","ug/m3 SC","15","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"01/19/2001","AQS","720170001","1","13","ug/m3 SC","12","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"01/31/2001","AQS","720170001","1","23","ug/m3 SC","21","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"02/06/2001","AQS","720170001","1","22","ug/m3 SC","20","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"02/18/2001","AQS","720170001","1","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"02/24/2001","AQS","720170001","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"03/02/2001","AQS","720170001","1","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"03/08/2001","AQS","720170001","1","25","ug/m3 SC","23","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"03/14/2001","AQS","720170001","1","17","ug/m3 SC","16","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"03/20/2001","AQS","720170001","1","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"03/26/2001","AQS","720170001","1","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"04/01/2001","AQS","720170001","1","13","ug/m3 SC","12","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"04/07/2001","AQS","720170001","1","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"04/13/2001","AQS","720170001","1","17","ug/m3 SC","16","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"04/19/2001","AQS","720170001","1","58","ug/m3 SC","52","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"04/25/2001","AQS","720170001","1","17","ug/m3 SC","16","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"05/01/2001","AQS","720170001","1","13","ug/m3 SC","12","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"05/07/2001","AQS","720170001","1","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"05/13/2001","AQS","720170001","1","28","ug/m3 SC","26","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"05/19/2001","AQS","720170001","1","26","ug/m3 SC","24","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"05/25/2001","AQS","720170001","1","23","ug/m3 SC","21","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"05/31/2001","AQS","720170001","1","18","ug/m3 SC","17","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"06/12/2001","AQS","720170001","1","30","ug/m3 SC","28","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"06/18/2001","AQS","720170001","1","45","ug/m3 SC","42","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"06/24/2001","AQS","720170001","1","25","ug/m3 SC","23","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"06/30/2001","AQS","720170001","1","14","ug/m3 SC","13","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"07/06/2001","AQS","720170001","1","42","ug/m3 SC","39","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
"07/18/2001","AQS","720170001","1","26","ug/m3 SC","24","","1","100.0000","81102","PM10 Total 0-10um STP","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","017","Barceloneta","18.4334305361434","-66.5814101093408"
