Date;PM10 mean;std;nbValues
01/01/1988;34;NA;1
04/01/1988;47;NA;1
06/01/1988;27;NA;1
08/01/1988;28;NA;1
10/01/1988;46;NA;1
16/01/1988;23,5;4,95;2
22/01/1988;23;NA;1
09/02/1988;18;NA;1
15/02/1988;27,5;17,68;2
21/02/1988;27,67;13,32;3
27/02/1988;31,6;8,56;5
04/03/1988;34;7,81;3
06/03/1988;32;NA;1
10/03/1988;31;9,46;5
16/03/1988;35;8,91;4
18/03/1988;32;NA;1
20/03/1988;26;NA;1
22/03/1988;37,2;12,76;5
28/03/1988;32;9,7;4
30/03/1988;25;NA;1
01/04/1988;29;NA;1
03/04/1988;43,4;6,07;5
05/04/1988;35;NA;1
07/04/1988;34;NA;1
09/04/1988;50,2;3,27;5
15/04/1988;25,67;7,57;3
21/04/1988;39,2;5,12;5
23/04/1988;22;NA;1
25/04/1988;27;NA;1
27/04/1988;41,4;6,88;5
29/04/1988;32;NA;1
01/05/1988;13;NA;1
03/05/1988;45,5;27,77;4
05/05/1988;17;NA;1
07/05/1988;20;NA;1
09/05/1988;25,25;1,71;4
11/05/1988;38;NA;1
13/05/1988;30;NA;1
15/05/1988;23,25;7,14;4
17/05/1988;34;NA;1
19/05/1988;35;NA;1
21/05/1988;26,5;8,81;4
23/05/1988;49;NA;1
25/05/1988;47;NA;1
27/05/1988;40,4;17,01;5
02/06/1988;50,2;37,03;5
04/06/1988;37;NA;1
08/06/1988;64;14,38;6
12/06/1988;17;NA;1
14/06/1988;22,75;8,85;4
17/06/1988;38;NA;1
20/06/1988;34;6,56;5
22/06/1988;63;NA;1
24/06/1988;56;NA;1
26/06/1988;28,8;15,4;5
28/06/1988;40;NA;1
30/06/1988;44;NA;1
02/07/1988;79;16,64;5
04/07/1988;63;NA;1
06/07/1988;28;NA;1
08/07/1988;56,2;9,42;5
10/07/1988;37;NA;1
12/07/1988;63;NA;1
14/07/1988;35,5;9,09;6
16/07/1988;49;NA;1
18/07/1988;22;NA;1
20/07/1988;81;15,38;4
22/07/1988;91;NA;1
24/07/1988;35;NA;1
26/07/1988;57;5,66;2
30/07/1988;80;NA;1
01/08/1988;55;22,63;2
05/08/1988;45;NA;1
07/08/1988;41,2;8,01;5
11/08/1988;42;NA;1
13/08/1988;45,25;5,68;4
15/08/1988;59;NA;1
17/08/1988;42;NA;1
19/08/1988;31,6;10,9;5
21/08/1988;38;NA;1
23/08/1988;38;NA;1
25/08/1988;70,25;9,95;4
27/08/1988;31;NA;1
29/08/1988;31;NA;1
31/08/1988;32;7,07;4
02/09/1988;60;NA;1
04/09/1988;101;NA;1
06/09/1988;40;11,58;4
08/09/1988;51;NA;1
10/09/1988;38;NA;1
12/09/1988;23,67;5,69;3
14/09/1988;34;NA;1
16/09/1988;35;NA;1
18/09/1988;50;7,84;5
22/09/1988;66;NA;1
24/09/1988;33,4;8,5;5
26/09/1988;25;NA;1
30/09/1988;130,2;15,39;5
06/10/1988;36;8,56;6
08/10/1988;27;NA;1
10/10/1988;32;NA;1
12/10/1988;40,17;6,62;6
14/10/1988;70;NA;1
16/10/1988;32;NA;1
18/10/1988;40,6;10,57;5
20/10/1988;24;NA;1
22/10/1988;20;NA;1
24/10/1988;20,17;5,42;6
26/10/1988;31;NA;1
28/10/1988;26;NA;1
30/10/1988;24,6;10,06;5
01/11/1988;25;NA;1
03/11/1988;30;NA;1
05/11/1988;21,17;7,44;6
07/11/1988;31;NA;1
09/11/1988;26;NA;1
11/11/1988;25,2;9,36;5
13/11/1988;18;NA;1
15/11/1988;28;NA;1
17/11/1988;23;8,46;5
19/11/1988;31;NA;1
21/11/1988;28;NA;1
23/11/1988;28,8;1,79;5
25/11/1988;27;NA;1
29/11/1988;31,75;10,44;4
01/12/1988;33;NA;1
03/12/1988;25;NA;1
05/12/1988;42,57;33,42;7
07/12/1988;32;NA;1
09/12/1988;31;NA;1
11/12/1988;20,67;7,55;6
13/12/1988;36;NA;1
15/12/1988;24;NA;1
17/12/1988;26;6,16;5
19/12/1988;37;NA;1
21/12/1988;36;NA;1
23/12/1988;27,5;6,56;4
25/12/1988;20;NA;1
29/12/1988;29,5;6,86;4
31/12/1988;28;NA;1
02/01/1989;26;NA;1
04/01/1989;29;6,63;4
06/01/1989;29;NA;1
08/01/1989;53;NA;1
10/01/1989;28,25;7,59;4
12/01/1989;26;NA;1
14/01/1989;31;NA;1
16/01/1989;23,33;5,35;6
18/01/1989;35;NA;1
20/01/1989;33;NA;1
22/01/1989;29,8;5,72;5
24/01/1989;38;NA;1
26/01/1989;30;NA;1
28/01/1989;20,5;4,42;6
30/01/1989;31;NA;1
01/02/1989;32;NA;1
03/02/1989;30,83;9,39;6
05/02/1989;20;NA;1
07/02/1989;39;NA;1
09/02/1989;30,67;12,96;6
11/02/1989;28;NA;1
13/02/1989;30;NA;1
15/02/1989;32,2;5,67;5
17/02/1989;34;NA;1
19/02/1989;22;NA;1
21/02/1989;24,67;7,37;3
23/02/1989;40;NA;1
25/02/1989;78;NA;1
27/02/1989;31,6;9,53;5
01/03/1989;29;NA;1
03/03/1989;28;NA;1
05/03/1989;20,86;5,7;7
07/03/1989;26;NA;1
09/03/1989;33;NA;1
11/03/1989;33,83;6,77;6
13/03/1989;26;NA;1
15/03/1989;26;NA;1
17/03/1989;24,17;8,04;6
19/03/1989;38;NA;1
23/03/1989;21,67;5,75;6
29/03/1989;28;9,08;6
31/03/1989;31;NA;1
02/04/1989;33;NA;1
04/04/1989;29,29;10,5;7
06/04/1989;30;NA;1
10/04/1989;30,25;13,12;4
12/04/1989;43;NA;1
14/04/1989;38;NA;1
16/04/1989;26;5,94;7
20/04/1989;45;NA;1
22/04/1989;69,86;6,23;7
24/04/1989;52;NA;1
26/04/1989;29;NA;1
28/04/1989;29,71;11,94;7
30/04/1989;33;NA;1
02/05/1989;32;NA;1
04/05/1989;30,43;12,14;7
06/05/1989;26;NA;1
08/05/1989;28;NA;1
10/05/1989;27,8;8,64;5
12/05/1989;33;NA;1
14/05/1989;28;NA;1
16/05/1989;87,4;6,73;5
18/05/1989;87;NA;1
22/05/1989;76,5;9,61;6
26/05/1989;28;NA;1
28/05/1989;20,43;6,37;7
01/06/1989;27;NA;1
03/06/1989;19,43;12,74;7
05/06/1989;67;NA;1
07/06/1989;39;NA;1
09/06/1989;32,71;15,92;7
11/06/1989;37;NA;1
13/06/1989;88;NA;1
15/06/1989;27,29;8,83;7
17/06/1989;25;NA;1
19/06/1989;50;NA;1
21/06/1989;22,71;11,29;7
