"Date","mean","std","nbValues"
1999-01-21,6.4,NA,1
1999-01-23,8.2,NA,1
1999-01-24,6.25,1.56,6
1999-01-25,9.5,NA,1
1999-01-26,10,NA,1
1999-01-27,4.93,1.6,6
1999-01-28,7,NA,1
1999-01-29,11.8,NA,1
1999-01-30,6.03,4.37,3
1999-01-31,8,NA,1
1999-02-01,8.6,NA,1
1999-02-02,6.43,1.95,6
1999-02-06,5.5,NA,1
1999-02-07,6,NA,1
1999-02-08,9.2,NA,1
1999-02-09,11.5,NA,1
1999-02-10,11.3,NA,1
1999-02-11,8.54,2.58,7
1999-02-12,11.1,NA,1
1999-02-13,11.4,NA,1
1999-02-14,5.99,1.37,7
1999-02-15,7.2,NA,1
1999-02-16,6.9,NA,1
1999-02-17,6.98,1.97,6
1999-02-19,10.2,NA,1
1999-02-20,7.99,4.71,7
1999-02-21,6.5,NA,1
1999-02-22,10.3,NA,1
1999-02-23,9.49,2.43,7
1999-02-24,8.6,NA,1
1999-02-25,11,NA,1
1999-02-26,10.42,2.61,5
1999-02-27,7.9,NA,1
1999-02-28,7,NA,1
1999-03-01,5.43,2.62,6
1999-03-02,10.5,NA,1
1999-03-03,9.9,NA,1
1999-03-04,7.97,2.48,7
1999-03-05,11.6,NA,1
1999-03-06,7.8,NA,1
1999-03-07,7.87,2.19,7
1999-03-08,8.3,NA,1
1999-03-09,9.5,NA,1
1999-03-10,6.99,1.85,7
1999-03-11,10.1,NA,1
1999-03-12,15,NA,1
1999-03-13,9.8,0.57,2
1999-03-14,6.95,2.33,2
1999-03-15,15.7,NA,1
1999-03-16,12.79,8.18,7
1999-03-17,11.7,NA,1
1999-03-18,9.2,NA,1
1999-03-19,9.08,1.61,5
1999-03-20,8.8,NA,1
1999-03-21,10.55,0.64,2
1999-03-22,8.55,2.18,8
1999-03-23,9.55,0.92,2
1999-03-24,8.75,0.49,2
1999-03-25,8.7,1.82,7
1999-03-26,9.45,1.77,2
1999-03-27,9.75,0.64,2
1999-03-28,6.79,1.27,8
1999-03-29,9.75,0.64,2
1999-03-30,7.8,NA,1
1999-04-01,8.5,NA,1
1999-04-02,7.25,0.92,2
1999-04-03,7.6,1.92,7
1999-04-04,7.25,0.92,2
1999-04-05,9.15,3.18,2
1999-04-06,10.57,2.12,4
1999-04-07,13,NA,1
1999-04-08,10.45,0.49,2
1999-04-09,8.97,1.78,8
1999-04-10,14.3,NA,1
1999-04-11,14,0.99,2
1999-04-12,12.19,2.36,7
1999-04-13,19.7,1.41,2
1999-04-14,18,NA,1
1999-04-15,14.6,3.12,6
1999-04-16,14.95,4.31,2
1999-04-17,13.15,2.19,2
1999-04-18,9.7,1.93,8
1999-04-19,11.75,1.2,2
1999-04-20,10.75,1.2,2
1999-04-21,7.52,2.31,8
1999-04-22,7,3.06,3
1999-04-23,6.93,3.52,3
1999-04-24,6.29,1.55,8
1999-04-25,4.77,1.16,3
1999-04-26,6.5,2.21,3
1999-04-27,7.16,2.49,8
1999-04-28,9,2.97,2
1999-04-29,9.27,3.35,3
1999-04-30,9.58,1.52,5
1999-05-01,8.4,0.71,2
1999-05-02,15.4,0.71,2
1999-05-03,13.71,1.14,8
1999-05-04,10.45,0.78,2
1999-05-05,9.8,NA,1
1999-05-06,8.32,2.35,4
1999-05-07,14.6,1.84,2
1999-05-08,10.43,4.26,3
1999-05-09,10.4,2.72,7
1999-05-10,8.87,3.05,3
1999-05-11,9.37,3.27,3
1999-05-12,12.28,1.81,9
1999-05-13,17.13,2.25,3
1999-05-14,18.9,1.83,3
1999-05-15,19.08,1.91,5
1999-05-16,16,3.54,2
1999-05-17,13.3,4.38,2
1999-05-18,10.84,2.16,7
1999-05-19,11.7,2.12,2
1999-05-20,12.8,3.68,2
1999-05-21,13.21,2.32,7
1999-05-22,7.43,2.64,3
1999-05-23,5.33,1.89,3
1999-05-24,6.24,3.01,7
1999-05-25,6.5,4.01,3
1999-05-26,8.6,3.54,2
1999-05-27,13.55,2.33,6
1999-05-28,16.33,3,3
1999-05-29,13.15,3.46,2
1999-05-30,17.14,3.68,5
1999-05-31,15.07,2.63,3
1999-06-01,21.67,2.92,3
1999-06-02,16.33,3.19,7
1999-06-03,12.73,4.1,3
1999-06-04,6.9,4.67,2
1999-06-05,7.5,1.78,6
1999-06-06,10.23,3.07,3
1999-06-07,15.37,0.95,3
1999-06-08,16.7,5.42,6
1999-06-09,13.5,NA,1
1999-06-10,8.1,NA,1
1999-06-11,18.43,2.28,6
1999-06-12,16.13,5.66,3
1999-06-13,17.57,1.36,3
1999-06-14,18.17,2.32,6
1999-06-15,10.3,4.67,2
1999-06-16,7.83,3.54,3
1999-06-17,10.57,4.94,7
1999-06-18,17.03,3.23,3
1999-06-19,13.3,1.98,2
1999-06-20,14.8,2.89,8
1999-06-21,20.45,4.45,2
1999-06-22,16.3,4.81,2
1999-06-23,14.74,1.83,7
1999-06-24,25.4,NA,1
1999-06-25,22.2,3.39,2
1999-06-26,12.97,1.85,6
1999-06-29,13.72,0.75,5
1999-07-03,13.2,NA,1
1999-07-04,5.85,1.34,2
1999-07-05,7.2,3.08,3
1999-07-06,10.13,2.11,3
1999-07-07,13.77,2.44,3
1999-07-08,11.97,2.1,8
1999-07-09,15.57,3.26,3
1999-07-10,15.43,2.04,3
1999-07-11,7.99,1.37,8
1999-07-12,11.9,0.44,3
1999-07-13,8.57,5.6,3
1999-07-14,5.96,4.24,8
1999-07-15,10.8,NA,1
1999-07-16,7.45,3.61,2
1999-07-17,7.46,2.37,9
1999-07-18,16.4,1.7,2
1999-07-19,15.4,3.96,2
1999-07-20,8.05,2.17,6
1999-07-21,7.85,4.88,2
1999-07-22,6.7,4.01,3
1999-07-23,7.61,3.45,7
1999-07-24,5.95,2.9,2
1999-07-25,6.55,1.48,2
1999-07-26,9.71,1.71,7
1999-07-27,13.25,3.61,2
1999-07-28,10.6,2.95,3
1999-07-29,8.3,3.56,4
1999-07-30,8.57,3.13,3
1999-07-31,15.15,4.03,2
1999-08-01,16,1.92,5
1999-08-02,8.3,NA,1
1999-08-03,10,NA,1
1999-08-04,7.3,3.12,8
1999-08-05,9.1,3.24,3
1999-08-06,8.15,5.3,2
1999-08-07,5.09,1.24,7
1999-08-08,6.75,1.91,2
1999-08-09,13.5,NA,1
1999-08-10,10.91,2.21,8
1999-08-11,6.65,4.88,2
1999-08-12,6.45,5.02,2
1999-08-13,7.57,1.85,7
1999-08-14,5.6,2.26,3
1999-08-15,4.7,1.13,2
1999-08-16,5.81,1.87,7
1999-08-17,7.13,3.84,3
1999-08-18,8.87,3.61,3
1999-08-19,11.45,1.63,2
1999-08-20,7.03,3.19,3
1999-08-21,7.33,2.34,3
1999-08-22,7.9,3.66,6
1999-08-23,8.43,4.08,3
1999-08-24,10.73,4.19,3
1999-08-25,7.74,2.7,7
1999-08-26,7.97,4.61,3
1999-08-27,7.93,4.1,3
1999-08-28,4.88,1.02,8
1999-08-29,6.17,2.89,3
1999-08-30,10.67,5.4,3
1999-08-31,7.97,4.82,6
1999-09-01,7.73,5.01,3
1999-09-02,10.15,9.26,2
1999-09-03,6.18,2.86,6
1999-09-04,7.53,3.58,3
1999-09-05,6.7,2.46,3
1999-09-06,6.3,2.24,6
1999-09-07,8.5,4.72,3
1999-09-08,9.1,5.06,3
1999-09-09,8.51,5.26,8
1999-09-10,7.27,6.23,3
1999-09-11,5.93,3.86,3
1999-09-12,4.87,1.68,7
1999-09-13,3.95,1.48,2
1999-09-14,5.9,1.21,3
1999-09-15,7.04,3.42,7
1999-09-16,10.93,3.51,3
1999-09-17,9.47,3.87,3
1999-09-18,6.57,1.67,4
1999-09-19,8.3,NA,1
1999-09-20,12.2,NA,1
1999-09-21,11.4,NA,1
1999-09-22,6.3,2.69,2
1999-09-23,8.35,2.9,2
1999-09-24,6.06,2.94,8
1999-09-25,14.85,2.19,2
1999-09-26,8.45,1.48,2
1999-09-27,6,2.38,7
1999-09-28,4.83,2.57,3
1999-09-29,8.2,5.22,3
1999-09-30,6.35,4.68,8
1999-10-01,4.87,2.44,3
1999-10-02,11.9,2.69,2
1999-10-03,10.82,2.02,5
1999-10-04,7.7,3.39,2
1999-10-06,5.05,1.34,2
1999-10-07,8.9,7.92,2
1999-10-08,8.73,4.8,3
1999-10-09,5.84,1.49,7
1999-10-10,4.43,1.17,3
1999-10-11,7.47,4.14,3
1999-10-12,5.6,2.89,8
1999-10-13,12.3,NA,1
1999-10-14,13.2,0.99,2
1999-10-15,9.68,3.98,5
1999-10-16,5.93,3.68,3
1999-10-17,5.37,2.9,3
1999-10-18,6.84,2.6,8
1999-10-19,7.4,3.1,3
1999-10-21,3.43,0.83,3
1999-10-24,4.5,1.57,3
1999-10-26,8.2,0.14,2
1999-10-27,15.34,2.33,5
1999-10-28,11,0.28,2
1999-10-29,8.9,0.42,2
1999-10-30,5.97,1.01,6
1999-10-31,7.55,0.07,2
1999-11-01,7.7,1.13,2
1999-11-02,5.53,4.48,3
1999-11-03,10.43,0.32,3
1999-11-04,9.3,NA,1
1999-11-05,4.67,1.75,7
1999-11-06,15.9,NA,1
1999-11-07,12.1,0.42,2
1999-11-08,12.9,7.42,7
1999-11-09,14.9,NA,1
1999-11-10,13.6,1.56,2
1999-11-11,7.38,3.11,5
1999-11-12,10.85,3.04,2
1999-11-13,7.4,2.12,2
1999-11-14,3.05,0.75,4
1999-11-15,8.5,NA,1
1999-11-25,8.2,0,2
1999-11-26,6.44,2.79,7
1999-11-27,10.63,1.88,3
1999-11-28,7.7,NA,1
1999-11-29,7.43,1.69,6
1999-11-30,8.67,2.41,3
1999-12-01,10.65,2.9,2
1999-12-02,4.09,2.55,8
1999-12-03,6.5,3.39,2
1999-12-04,5.4,1.98,2
1999-12-05,3.16,1.52,7
1999-12-06,7.8,1.84,2
1999-12-07,7.1,1.98,2
1999-12-08,4.63,2.43,7
1999-12-09,4,NA,1
1999-12-10,10,NA,1
1999-12-11,4.86,2.79,8
1999-12-12,5.6,1.41,2
1999-12-13,7.2,0.85,2
1999-12-14,5.58,2.53,6
1999-12-15,7.95,3.61,2
1999-12-16,7.1,2.69,2
1999-12-17,5.38,2.12,5
1999-12-18,7.95,3.32,2
1999-12-19,6.35,1.2,2
1999-12-20,5.15,2.55,6
1999-12-21,4.7,NA,1
1999-12-22,8.55,1.48,2
1999-12-23,6.53,1.24,6
1999-12-24,7.9,2.26,2
1999-12-25,5.5,1.98,2
1999-12-26,4,1.38,7
1999-12-27,8.5,NA,1
1999-12-29,6.94,2.34,5
1999-12-30,8.6,1.13,2
1999-12-31,9.7,NA,1
2000-01-01,6.83,1.39,4
2000-01-04,5.94,2.64,5
2000-01-05,9,NA,1
2000-01-06,6.05,0.07,2
2000-01-07,9.72,10.79,5
2000-01-08,6.35,2.62,2
2000-01-09,6.05,0.92,2
2000-01-10,6.05,1.89,6
2000-01-11,8.55,0.07,2
2000-01-12,4.2,NA,1
2000-01-13,4.59,1.39,7
2000-01-14,7.8,0.42,2
2000-01-15,4.8,1.56,2
2000-01-16,4.3,1.17,5
2000-01-17,6.25,1.34,2
2000-01-18,7.65,0.21,2
2000-01-19,6.8,2.03,6
2000-01-20,9.9,2.12,2
2000-01-21,21.5,NA,1
2000-01-22,11.02,3.85,5
2000-01-23,5.73,1.39,3
2000-01-24,9.25,7.28,2
2000-01-25,5.4,1.77,6
2000-01-26,6.4,2.61,3
2000-01-27,7.7,5.37,2
2000-01-28,7.33,2.15,6
2000-01-29,2.5,NA,1
2000-01-30,2.7,0.71,2
2000-01-31,6.08,1.62,8
2000-02-01,4.8,3.39,2
2000-02-02,6.97,3.98,3
2000-02-03,5.53,2.44,6
2000-02-04,7.33,3.87,3
2000-02-05,8.4,2.19,3
2000-02-06,8.79,2.42,7
2000-02-07,5.9,3.52,3
2000-02-08,5.37,2.67,3
2000-02-09,8.27,3.51,9
2000-02-10,11.4,NA,1
2000-02-11,9.7,3.82,2
2000-02-12,6.8,1.63,9
2000-02-13,4.5,1.98,2
