"Date","mean","std","nbValues"
1980-01-01,26.67,16.17,3
1980-01-02,14,10.44,3
1980-01-03,42.33,40.43,3
1980-01-04,27,18.25,3
1980-01-05,28,32.92,3
1980-01-06,20.33,20.26,3
1980-01-07,57,43.71,3
1980-01-08,57,61.02,3
1980-01-09,58.5,51.62,2
1980-01-10,64,NA,1
1980-01-11,84,NA,1
1980-01-12,119,NA,1
1980-01-13,7,NA,1
1980-01-14,18,NA,1
1980-01-15,47,NA,1
1980-01-16,15,NA,1
1980-01-17,13,NA,1
1980-01-18,10,NA,1
1980-01-19,9,7.07,2
1980-01-20,6,4.24,2
1980-01-21,41,14.14,2
1980-01-22,35.67,17.47,3
1980-01-23,20.67,9.07,3
1980-01-24,19.5,4.95,2
1980-01-25,36.5,33.23,2
1980-01-26,17,1.41,2
1980-01-27,13.5,6.36,2
1980-01-28,8,NA,1
1980-01-29,13,NA,1
1980-01-30,28.67,6.43,3
1980-01-31,15.33,5.77,3
1980-02-01,13.67,9.87,3
1980-02-02,15,9.54,3
1980-02-03,20.67,18.5,3
1980-02-04,19.33,12.5,3
1980-02-05,10.67,15.04,3
1980-02-06,27,16.52,3
1980-02-07,26.67,22.81,3
1980-02-08,14,13,3
1980-02-09,23.67,25.7,3
1980-02-10,9.33,3.51,3
1980-02-11,18.67,15.04,3
1980-02-12,53.67,62.58,3
1980-02-13,31.67,29.94,3
1980-02-14,53.33,61.72,3
1980-02-15,52,62.23,2
1980-02-16,17,21.21,2
1980-02-17,22.5,27.58,2
1980-02-18,15,15.56,2
1980-02-19,18,16.97,2
1980-02-20,19,18.38,2
1980-02-21,15.5,16.26,2
1980-02-22,27.5,30.41,2
1980-02-23,60.5,74.25,2
1980-02-24,10,NA,1
1980-02-25,11,NA,1
1980-02-26,16.5,14.85,2
1980-02-27,54.5,67.18,2
1980-02-28,78,84.85,2
1980-02-29,40.33,31.13,3
1980-03-01,51.67,47.27,3
1980-03-02,16.67,6.03,3
1980-03-03,14,8.89,3
1980-03-04,34.33,6.51,3
1980-03-05,65,65.6,3
1980-03-06,102.5,122.33,2
1980-03-07,78,89.15,3
1980-03-08,79.67,60.58,3
1980-03-09,101,116.66,3
1980-03-10,87.33,82.11,3
1980-03-11,18,15.13,3
1980-03-12,52.33,31.01,3
1980-03-13,85,107.62,3
1980-03-14,76.75,90.87,4
1980-03-15,58,38.94,3
1980-03-16,55,51.1,4
1980-03-17,53.75,42.87,4
1980-03-18,54.75,42.59,4
1980-03-19,34.75,26.04,4
1980-03-20,24,8.76,4
1980-03-21,44.33,20.74,3
1980-03-22,38.75,44.92,4
1980-03-23,36,20.61,4
1980-03-24,23.75,18.12,4
1980-03-25,17.67,10.5,3
1980-03-26,11.67,5.51,3
1980-03-27,0,NA,1
1980-03-28,31,NA,1
1980-03-29,31,NA,1
1980-03-30,20,NA,1
1980-03-31,12,NA,1
1980-04-01,13,NA,1
1980-04-02,31,12.73,2
1980-04-03,30.33,29.69,3
1980-04-04,16,8.19,3
1980-04-05,40.67,36.02,3
1980-04-06,45.33,46.74,3
1980-04-07,28,15.52,3
1980-04-08,34.33,25.58,3
1980-04-09,34.33,29.37,3
1980-04-10,17.5,7.78,2
1980-04-11,27.67,23.46,3
1980-04-12,19,9.9,2
1980-04-13,35.25,22.46,4
1980-04-14,43.5,59.16,4
1980-04-15,15,10.61,4
1980-04-16,18.5,12.79,4
1980-04-17,19.33,5.51,3
1980-04-18,11.33,7.37,3
1980-04-19,27.33,25.77,3
1980-04-20,13.33,9.02,3
1980-04-21,8,1,3
1980-04-22,12.5,9.11,4
1980-04-23,9.5,7.33,4
1980-04-24,20,16.87,4
1980-04-25,12,6.08,3
1980-04-26,38.67,7.77,3
1980-04-27,22,8.19,3
1980-04-28,16.67,19.4,3
1980-04-29,6,8.49,2
1980-04-30,3,0,2
1980-05-01,3,2,3
1980-05-02,3,2.65,3
1980-05-03,1.67,2.08,3
1980-05-04,1.33,0.58,3
