nbdates	date	aot_440_daily	pm10	angstrom440_870	angstrom440_675
23	2006-09-14	0.0669897391	16.60000	0.4126412609	-9.9999990000
18	2006-09-15	0.3686441111	84.00000	0.1067477222	-9.9999990000
38	2006-09-18	0.0986827105	31.20000	0.5119494737	-9.9999990000
31	2006-09-19	0.1092899355	50.80000	0.5006129032	-9.9999990000
16	2006-09-20	0.1253341250	21.60000	0.7988840000	-9.9999990000
36	2006-09-21	0.1409820000	21.30000	1.2060269444	-9.9999990000
40	2006-09-22	0.0862501250	20.00000	0.4254455250	-9.9999990000
27	2006-09-23	0.0599207407	20.70000	0.1963055556	-9.9999990000
33	2006-09-27	0.0804375152	23.10000	0.5536073030	-9.9999990000
29	2006-09-29	0.1821583103	43.80000	0.2567582759	-9.9999990000
22	2006-09-30	0.1178005909	30.80000	0.2940325455	-9.9999990000
20	2007-01-10	0.0640051500	33.20000	0.3857279500	-9.9999990000
16	2007-01-11	0.1181853750	31.70000	0.1133872500	-9.9999990000
12	2007-03-27	0.0607832500	17.50000	0.4511193333	-9.9999990000
14	2007-03-28	0.0584129286	15.20000	0.5152745714	-9.9999990000
12	2007-04-04	0.1029749167	12.00000	1.0130505833	-9.9999990000
33	2007-04-09	0.0561926061	13.00000	0.7961602727	-9.9999990000
19	2007-04-10	0.0693192105	12.40000	0.5980872632	-9.9999990000
31	2007-04-12	0.0643805806	19.70000	0.5481125161	-9.9999990000
25	2007-04-13	0.0382408400	14.10000	0.6810404400	-9.9999990000
17	2007-04-15	0.0879122941	13.30000	0.3526451765	-9.9999990000
22	2007-04-16	0.1240582273	18.40000	0.4716678636	-9.9999990000
23	2007-04-17	0.1524329565	33.30000	0.5976597826	-9.9999990000
29	2007-04-18	0.1821826897	39.90000	0.4977400000	-9.9999990000
28	2007-04-19	0.1438564643	53.70000	0.3925524643	-9.9999990000
20	2007-04-20	0.3292825000	42.00000	0.3160507000	-9.9999990000
26	2007-04-21	0.2084515769	48.40000	0.2573208462	-9.9999990000
21	2007-04-22	0.0982428571	42.60000	0.3797799524	-9.9999990000
