nbdates	date	aot_440_daily	pm10	angstrom440_870	angstrom440_675
31	2006-09-19	0.1092899355	102.00000	0.5006129032	-9.9999990000
12	2007-05-16	0.3428793333	118.66667	0.1382576667	-9.9999990000
17	2007-05-17	0.3977695294	123.62500	0.1392473529	-9.9999990000
30	2007-07-02	0.3824577333	105.50000	0.0838030000	-9.9999990000
16	2008-05-07	0.3763748125	116.94737	0.0778081250	-9.9999990000
12	2008-05-08	0.5796454167	119.94444	0.1110532500	-9.9999990000
32	2008-05-13	0.1082954375	181.00000	0.2510264063	-9.9999990000
33	2008-08-06	0.6926456667	103.00000	0.0389573636	-9.9999990000
14	2008-08-11	0.3054706429	110.00000	0.1255243571	-9.9999990000
18	2009-06-26	0.6973175000	115.04545	0.0682815000	0.0370612778
33	2009-06-27	0.4486172424	111.50000	0.1036424848	0.0804943030
35	2010-04-28	0.5325299429	112.69231	0.1124373143	0.0907462286
26	2010-04-29	0.1851645000	104.00000	0.4648103846	0.5161639231
33	2010-05-31	0.6289675758	117.42857	0.1022346667	0.0781819394
12	2010-06-01	0.8173007500	115.71429	0.1210299167	0.0833150833
39	2010-06-02	0.8827860513	105.75000	0.1514933333	0.1071037949
35	2010-06-03	0.7722583429	131.00000	0.1322472286	0.0951001429
36	2010-07-07	0.5182489722	107.00000	0.1398263889	0.1275389722
14	2010-07-15	0.2642594286	114.00000	0.3040342143	0.3541187143
30	2010-08-18	0.5289409667	101.60000	0.1442649333	0.1445323000
33	2010-09-02	0.3250937273	164.00000	0.3103530909	0.3310418182
31	2010-09-03	0.5415392258	116.00000	0.2942128387	0.2941785161
16	2010-09-21	0.5969241875	114.00000	0.0802286250	0.0638113125
15	2010-12-24	0.1371493333	175.00000	1.0849386000	1.1749709333
12	2011-11-03	0.4011381667	131.77778	0.1688145000	0.1395690833
44	2011-11-21	0.0634677273	101.00000	1.3615332500	1.3567548864
17	2012-03-07	0.1729202941	113.00000	0.1552698824	0.1608913529
20	2012-06-02	0.4130533500	100.00000	0.1123802500	0.0769233500
21	2012-11-30	0.1078066190	113.00000	0.1546540476	0.2120270000
29	2012-12-14	0.0889005517	118.00000	-0.0081646552	-0.0140058966
25	2015-05-21	0.4531258800	111.64444	0.1433971200	0.1373086000
28	2015-05-22	0.4317800357	108.52500	0.0979111786	0.0966471786
20	2015-05-23	0.3718589000	102.40000	0.1385858500	0.1351237000
13	2015-06-18	1.0949248462	112.40000	0.0566541538	0.0363232308
38	2015-06-24	0.5286207368	101.56000	0.1134566316	0.0952932895
16	2015-09-09	0.2918418125	101.00000	0.1025969375	0.1372504375
