nbdates	date	aot_440_daily	pm10	angstrom440_870	angstrom440_675
23	2006-09-14	0.0669897391	22.458	0.4126412609	-9.9999990000
18	2006-09-15	0.3686441111	76.042	0.1067477222	-9.9999990000
38	2006-09-18	0.0986827105	32.958	0.5119494737	-9.9999990000
31	2006-09-19	0.1092899355	47.833	0.5006129032	-9.9999990000
16	2006-09-20	0.1253341250	21.917	0.7988840000	-9.9999990000
36	2006-09-21	0.1409820000	20.000	1.2060269444	-9.9999990000
40	2006-09-22	0.0862501250	21.083	0.4254455250	-9.9999990000
27	2006-09-23	0.0599207407	22.125	0.1963055556	-9.9999990000
33	2006-09-27	0.0804375152	25.708	0.5536073030	-9.9999990000
29	2006-09-29	0.1821583103	37.792	0.2567582759	-9.9999990000
22	2006-09-30	0.1178005909	28.083	0.2940325455	-9.9999990000
20	2007-01-10	0.0640051500	33.625	0.3857279500	-9.9999990000
16	2007-01-11	0.1181853750	32.417	0.1133872500	-9.9999990000
12	2007-03-27	0.0607832500	15.667	0.4511193333	-9.9999990000
14	2007-03-28	0.0584129286	14.333	0.5152745714	-9.9999990000
12	2007-04-04	0.1029749167	16.708	1.0130505833	-9.9999990000
33	2007-04-09	0.0561926061	12.500	0.7961602727	-9.9999990000
19	2007-04-10	0.0693192105	12.458	0.5980872632	-9.9999990000
31	2007-04-12	0.0643805806	17.292	0.5481125161	-9.9999990000
25	2007-04-13	0.0382408400	13.875	0.6810404400	-9.9999990000
17	2007-04-15	0.0879122941	12.458	0.3526451765	-9.9999990000
22	2007-04-16	0.1240582273	20.083	0.4716678636	-9.9999990000
23	2007-04-17	0.1524329565	31.292	0.5976597826	-9.9999990000
29	2007-04-18	0.1821826897	33.500	0.4977400000	-9.9999990000
28	2007-04-19	0.1438564643	44.500	0.3925524643	-9.9999990000
20	2007-04-20	0.3292825000	43.167	0.3160507000	-9.9999990000
26	2007-04-21	0.2084515769	46.292	0.2573208462	-9.9999990000
21	2007-04-22	0.0982428571	45.292	0.3797799524	-9.9999990000
24	2007-04-23	0.1428067500	29.625	0.3710538750	-9.9999990000
15	2007-04-24	0.1382905333	25.208	0.3820039333	-9.9999990000
16	2007-04-25	0.0410981250	19.708	0.4107600000	-9.9999990000
18	2007-04-27	0.0842100556	17.583	0.2881051111	-9.9999990000
22	2007-05-13	0.1899596364	52.667	0.1806875909	-9.9999990000
12	2007-05-14	0.4605271667	69.875	0.1327671667	-9.9999990000
12	2007-05-16	0.3428793333	72.833	0.1382576667	-9.9999990000
17	2007-05-17	0.3977695294	81.583	0.1392473529	-9.9999990000
12	2007-05-23	0.0762232500	15.167	0.1168359167	-9.9999990000
17	2007-06-21	0.4692321176	46.833	0.0394258235	-9.9999990000
31	2007-06-23	0.2348974839	20.292	0.1213985484	-9.9999990000
21	2007-06-24	0.2321268571	27.958	0.0813939048	-9.9999990000
15	2007-06-28	0.1135849333	21.208	0.2934268000	-9.9999990000
14	2007-07-01	0.4726410714	64.375	0.0720860000	-9.9999990000
30	2007-07-02	0.3824577333	75.478	0.0838030000	-9.9999990000
36	2007-07-03	0.0523881667	16.696	0.7944679167	-9.9999990000
29	2007-07-11	0.2273364483	30.696	0.1508132759	-9.9999990000
28	2007-07-12	0.4710045714	49.957	0.0868984643	-9.9999990000
13	2007-07-13	0.5692946923	61.044	0.1000841538	-9.9999990000
16	2007-07-14	0.0699559375	25.957	0.1658487500	-9.9999990000
21	2008-01-14	0.1417306190	31.913	0.1033201905	-9.9999990000
16	2008-02-15	0.0774223125	23.652	0.0389743750	-9.9999990000
15	2008-02-16	0.0438427333	18.957	0.2526056667	-9.9999990000
17	2008-02-17	0.0827806471	17.652	0.2851061176	-9.9999990000
16	2008-02-19	0.0934686875	23.826	0.1530068125	-9.9999990000
17	2008-02-20	0.0778580588	18.870	-0.0210985882	-9.9999990000
49	2008-02-22	0.0559001837	21.261	0.1432424898	-9.9999990000
22	2008-02-23	0.0588260000	18.957	0.0793265000	-9.9999990000
34	2008-02-24	0.0484172353	15.478	0.0924289118	-9.9999990000
15	2008-02-25	0.0653948000	17.522	0.1322218667	-9.9999990000
17	2008-03-04	0.0642632941	16.174	0.2808634706	-9.9999990000
37	2008-03-08	0.1029080270	23.174	0.4736686757	-9.9999990000
27	2008-03-09	0.0862092222	18.348	0.4552176667	-9.9999990000
21	2008-03-10	0.0684328571	26.565	0.1680738095	-9.9999990000
15	2008-03-11	0.0761646667	24.348	0.2916132667	-9.9999990000
22	2008-03-12	0.0582402273	15.174	0.4241028182	-9.9999990000
37	2008-03-13	0.0750911892	18.348	0.4651834324	-9.9999990000
14	2008-03-15	0.0945483571	12.913	0.5104645000	-9.9999990000
34	2008-03-16	0.0787962353	12.696	0.9357881471	-9.9999990000
29	2008-03-17	0.0431073448	18.792	0.7565546897	-9.9999990000
15	2008-03-18	0.0610255333	15.652	1.1400837333	-9.9999990000
19	2008-03-22	0.0820318421	19.522	0.7131711053	-9.9999990000
15	2008-03-23	0.0817660000	19.826	0.4514182667	-9.9999990000
57	2008-04-07	0.0665617193	20.304	0.3469891228	-9.9999990000
25	2008-04-08	0.0835260400	16.652	0.2178148000	-9.9999990000
16	2008-04-09	0.0703654375	17.955	0.2138843125	-9.9999990000
44	2008-04-10	0.0509027500	18.174	0.6475345000	-9.9999990000
14	2008-04-15	0.0974517143	16.087	0.3590609286	-9.9999990000
19	2008-04-16	0.0913606316	22.826	0.1110613158	-9.9999990000
29	2008-04-18	0.0835428966	19.087	0.2999606552	-9.9999990000
36	2008-04-19	0.0797271667	19.000	0.2389981111	-9.9999990000
33	2008-04-21	0.2431851515	33.391	0.2728052727	-9.9999990000
48	2008-04-22	0.2191036875	48.913	0.2368037708	-9.9999990000
20	2008-04-23	0.1866840500	48.130	0.2265731000	-9.9999990000
13	2008-04-24	0.1753695385	44.609	0.2038267692	-9.9999990000
13	2008-04-28	0.1656126154	31.130	0.3102834615	-9.9999990000
35	2008-04-29	0.1710449429	28.870	0.2800323714	-9.9999990000
23	2008-04-30	0.1581215217	21.609	0.3795577391	-9.9999990000
12	2008-05-05	0.1035735833	21.667	0.4488117500	-9.9999990000
16	2008-05-07	0.3763748125	113.087	0.0778081250	-9.9999990000
12	2008-05-08	0.5796454167	114.870	0.1110532500	-9.9999990000
16	2008-05-11	0.2366549375	29.609	0.2334801250	-9.9999990000
33	2008-05-12	0.1172874242	25.304	0.4317545152	-9.9999990000
32	2008-05-13	0.1082954375	30.391	0.2510264063	-9.9999990000
41	2008-05-14	0.1418604390	21.000	0.2654498537	-9.9999990000
37	2008-05-15	0.1496020000	22.087	0.5422876486	-9.9999990000
57	2008-05-16	0.0913519649	18.826	0.4232083684	-9.9999990000
53	2008-05-17	0.0976740377	20.391	0.3873603774	-9.9999990000
13	2008-05-18	0.1400040769	25.870	0.3217373846	-9.9999990000
13	2008-05-19	0.1373431538	28.087	0.2682273077	-9.9999990000
26	2008-05-20	0.0870566154	15.174	0.5118942308	-9.9999990000
31	2008-05-21	0.1132681290	18.783	0.3827479355	-9.9999990000
19	2008-05-22	0.0901896316	17.000	0.4053924737	-9.9999990000
20	2008-05-23	0.1048429500	18.739	0.4138551500	-9.9999990000
35	2008-05-24	0.0878947143	16.391	0.3109272857	-9.9999990000
34	2008-05-25	0.0924345000	13.696	0.4865248235	-9.9999990000
