month	aot_440_monthly	pm10	angstrom440_870	angstrom440_675
1	0.08704005836346	21.334907211	0.33737302666154	0.08965792562404
2	0.09369972018193	20.732499759	0.28066854371687	-0.76795509104096
3	0.08742001737568	21.355588108	0.43734093512432	-1.62318724008514
4	0.11448764573889	23.767177666	0.38452821458111	-3.25097149756111
5	0.20296274306071	34.263392738	0.34431621198571	-2.79771658429167
6	0.29833263277419	41.503413548	0.20852528331828	-1.42033143587097
7	0.28710978824894	37.957753829	0.19232083786809	-2.82677104026915
8	0.21691116598500	32.287700250	0.31165414739250	-1.92367133571750
9	0.16039403933382	31.080246470	0.56728599530588	-1.13827802603235
10	0.09437687570000	20.931116140	0.51775580493158	0.52894043347368
11	0.07632615938452	24.467764523	0.44943732135595	0.45729186587738
12	0.08594417935065	22.773235844	0.49045224885455	0.53465619521558
