month	aot_440_monthly	pm10	angstrom440_870	angstrom440_675
1	0.08730818306311	22.273365728	0.33724032338350	0.08622299251650
2	0.09369972018193	21.219156626	0.28066854371687	-0.76795509104096
3	0.08742001737568	22.442635135	0.43734093512432	-1.62318724008514
4	0.11514066763483	25.172247977	0.38807248495281	-3.28850100264045
5	0.20296274306071	35.841309523	0.34431621198571	-2.79771658429167
6	0.29833263277419	44.166163978	0.20852528331828	-1.42033143587097
7	0.28710978824894	40.940216170	0.19232083786809	-2.82677104026915
8	0.22044967825385	35.654847179	0.29824494283846	-1.99460516804359
9	0.16270227997424	34.340976515	0.56006892271970	-1.20375199563939
10	0.09437687570000	21.481988245	0.51775580493158	0.52894043347368
11	0.07632615938452	24.498726309	0.44943732135595	0.45729186587738
12	0.08636504316579	24.476916315	0.48348012906447	0.52901381310921
