nbdates	date	aot_440_daily	pm25	angstrom440_870	angstrom440_675
16	2005-03-27	0.0960553750	3.7000000	0.9262371250	0.9289720625
12	2005-03-31	0.0928773333	2.4000000	0.8910995000	0.8776735000
15	2005-04-02	0.2269614000	9.1000000	0.6147078000	0.6005804667
15	2005-04-03	0.2358136667	10.0000000	0.6295012000	0.6347258000
16	2005-04-04	0.1624370625	8.5000000	0.5169150000	0.5055311250
14	2005-04-05	0.1859281429	8.5000000	0.4484532143	0.4460050714
17	2005-04-13	0.2042943529	8.6000000	0.7653336471	0.7946796471
19	2005-04-14	0.1485715263	8.3000000	0.4221041053	0.4268000000
14	2005-08-02	0.1303417143	4.1000000	0.2016518571	0.1830409286
25	2005-08-03	0.5336790000	4.6000000	0.3991538400	0.4132460400
15	2005-08-07	0.1305299333	4.3000000	0.2568829333	0.2824884000
17	2005-08-09	0.0855677059	2.2000000	0.5187737059	0.5218588235
15	2005-08-10	0.1089874667	4.1000000	0.4016587333	0.4103428667
13	2005-08-11	0.0832318462	4.1000000	0.5235760769	0.5172073077
22	2005-08-13	0.1039046364	3.7000000	0.3268487727	0.3570430909
15	2005-08-15	0.1642703333	5.7000000	0.2818571333	0.2708239333
21	2005-08-16	0.0983827619	4.9000000	0.4384657619	0.4634341905
15	2005-08-18	0.1508647333	6.1000000	0.9400758667	0.9776664000
26	2005-08-21	0.1113481923	4.4000000	0.5247286154	0.5428852692
14	2005-08-31	0.3718184286	10.1000000	1.7479185000	1.6237142143
15	2005-09-02	0.4039166000	7.3000000	0.1187844000	0.1091007333
21	2005-09-06	0.1247552381	3.0000000	0.3281863333	0.3795488571
13	2005-09-08	0.2282001538	5.6000000	0.8206333846	0.8646966923
16	2005-09-10	0.2050291875	12.7000000	0.1189512500	0.1516417500
14	2005-09-15	0.5201748571	5.1000000	0.8598245714	0.8424598571
22	2005-09-24	0.1541948182	6.3000000	0.6647494091	0.7767482727
16	2005-09-27	0.2070421250	15.1000000	0.4352387500	0.4779266875
15	2005-09-29	0.1932841333	11.5000000	0.8461156000	0.9198493333
19	2005-10-01	0.0568325789	2.1000000	0.4748551579	0.5992882105
