date,aot1020
2005-01-07,0.1213560000
2005-01-11,0.1509710000
2005-01-12,0.1571193333
2005-01-15,0.1798793333
2005-01-16,0.1573700000
2005-01-17,0.1061500000
2005-01-18,0.0594950000
2005-01-19,0.0667156667
2005-01-21,0.0768360000
2005-01-23,0.0817992500
2005-01-24,0.0789510000
2005-01-27,0.0542495714
2005-01-28,0.0563196667
2005-01-29,0.0480868889
2005-01-30,0.0433054000
2005-02-02,0.0148921250
2005-02-03,0.0511835833
2005-02-04,0.0713897500
2005-02-05,0.0564007500
2005-02-10,0.0437510000
2005-02-11,0.0337555000
2005-02-14,0.0408394286
2005-02-16,0.0400087500
2005-02-18,0.0542010000
2005-02-19,0.0515155000
2005-02-20,0.0458096000
2005-02-22,0.0856900000
2005-02-23,0.0591226667
2005-02-24,0.0674540000
2005-02-25,0.0855010000
2005-02-26,0.0569582000
2005-02-27,0.0647176923
2005-02-28,0.0621240000
2005-03-01,0.0592108182
2005-03-02,0.0989382000
2005-03-03,0.0535689167
2005-03-04,0.0910810000
2005-03-05,0.0446025000
2005-03-06,0.0390640000
2005-03-07,0.0677231429
2005-03-08,0.1038400000
2005-03-09,0.0916120000
2005-03-10,0.1436640000
2005-03-11,0.0787092222
2005-03-12,0.0507590000
2005-03-13,0.0412116364
2005-03-14,0.0351912308
2005-03-15,0.0270900588
2005-03-16,0.0371842727
2005-03-17,0.0519077692
2005-03-18,0.0749475714
2005-03-19,0.0672345000
2005-03-20,0.0597730000
2005-03-21,0.0623115000
2005-03-22,0.1367404118
2005-03-23,0.0893735833
2005-03-24,0.0630633158
2005-03-25,0.0716752500
2005-03-26,0.0510163600
2005-03-27,0.0608364348
2005-03-28,0.1292080000
2005-03-29,0.0708309231
2005-03-30,0.0605473333
2005-03-31,0.1528953750
2005-04-02,0.1815636000
2005-04-03,0.1669031053
2005-04-04,0.1679145455
2005-04-05,0.1879394286
2005-04-06,0.1462056842
2005-04-07,0.0997666875
2005-04-08,0.1728245000
2005-04-09,0.1193965000
2005-04-10,0.1095606667
2005-04-12,0.1328781000
2005-04-13,0.1664893333
2005-04-14,0.1808511667
2005-04-15,0.1354670000
2005-05-22,0.0608840769
2005-05-23,0.1329238182
2005-05-29,0.2739948824
