date,meanmixr
2012-01-01,9.834000
2012-01-02,4.410000
2012-01-03,8.550000
2012-01-04,2.996250
2012-01-05,3.963636
2012-01-06,4.614000
2012-01-07,4.725000
2012-01-08,8.966667
2012-01-09,6.095000
2012-01-10,1.874000
2012-01-11,7.430000
2012-01-12,3.924000
2012-01-14,4.125000
2012-01-15,4.288333
2012-01-16,3.124000
2012-01-17,8.780000
2012-01-18,3.309091
2012-01-19,4.036000
2012-01-20,6.661429
2012-01-21,7.073333
2012-01-22,2.525556
2012-01-23,1.690000
2012-01-24,0.216667
2012-01-25,2.367500
2012-01-26,5.788571
2012-01-27,5.792000
2012-01-28,4.134286
2012-01-29,3.721111
2012-01-30,6.308571
2012-01-31,7.192000
2012-02-01,8.100000
2012-02-02,6.051429
2012-02-03,4.675714
2012-02-04,5.177500
2012-02-05,3.742222
2012-02-06,4.070000
2012-02-07,11.100000
2012-02-08,7.422000
2012-02-09,7.665000
2012-02-10,4.930000
2012-02-11,2.491429
2012-02-12,5.266000
2012-02-13,7.151250
2012-02-14,4.992857
2012-02-15,5.220000
2012-02-16,4.365556
2012-02-17,3.527143
2012-02-18,3.845714
2012-02-19,3.420000
2012-02-20,4.085000
2012-02-21,4.424286
2012-02-22,8.583750
2012-02-23,4.102500
2012-02-24,4.891250
2012-02-25,7.935000
2012-02-26,3.280000
2012-02-27,5.341250
2012-02-28,5.655000
2012-03-01,4.977143
2012-03-02,8.140000
2012-03-03,7.960000
2012-03-04,7.177143
2012-03-05,5.195000
2012-03-06,4.142857
2012-03-07,4.361429
2012-03-08,4.424286
2012-03-09,4.347143
2012-03-10,7.236667
2012-03-11,6.148000
2012-03-12,8.050000
2012-03-13,5.868571
2012-03-14,5.718333
2012-03-15,6.745714
2012-03-16,6.531250
2012-03-17,4.960000
2012-03-18,6.995714
2012-03-19,6.690000
2012-03-20,5.422500
2012-03-21,4.600000
2012-03-22,8.436667
2012-03-23,3.938333
2012-03-24,7.970000
2012-03-25,6.805000
2012-03-26,10.482500
2012-03-27,8.252000
