"row","date","power"
"1","2012-01-01",576
"2","2012-01-02",377
"3","2012-01-03",513
"4","2012-01-04",653
"5","2012-01-05",557
"6","2012-01-06",639
"7","2012-01-07",565
"8","2012-01-08",529
"9","2012-01-09",465
"10","2012-01-10",833
"11","2012-01-11",482
"12","2012-01-12",710
"13","2012-01-14",850
"14","2012-01-15",700
"15","2012-01-16",547
"16","2012-01-17",444
"17","2012-01-18",462
"18","2012-01-19",428
"19","2012-01-20",707
"20","2012-01-21",690
"21","2012-01-22",796
"22","2012-01-23",883
"23","2012-01-24",445
"24","2012-01-25",547
"25","2012-01-26",522
"26","2012-01-27",534
"27","2012-01-28",858
"28","2012-01-29",676
"29","2012-01-30",584
"30","2012-01-31",531
"31","2012-02-01",391
"32","2012-02-02",393
"33","2012-02-03",597
"34","2012-02-04",499
"35","2012-02-05",662
"36","2012-02-06",690
"37","2012-02-07",20
"38","2012-02-08",699
"39","2012-02-09",638
"40","2012-02-10",628
"41","2012-02-11",736
"42","2012-02-12",679
"43","2012-02-13",757
"44","2012-02-14",764
"45","2012-02-15",621
"46","2012-02-16",824
"47","2012-02-17",810
"48","2012-02-18",597
"49","2012-02-19",942
"50","2012-02-20",965
"51","2012-02-21",997
"52","2012-02-22",615
"53","2012-02-23",850
"54","2012-02-24",571
"55","2012-02-25",624
"56","2012-02-26",675
"57","2012-02-27",566
"58","2012-02-28",650
"59","2012-03-01",563
"60","2012-03-02",674
"61","2012-03-03",484
"62","2012-03-04",624
"63","2012-03-05",629
"64","2012-03-06",645
"65","2012-03-07",526
"66","2012-03-08",535
"67","2012-03-09",643
"68","2012-03-10",606
"69","2012-03-11",671
"70","2012-03-12",584
"71","2012-03-13",713
"72","2012-03-14",566
"73","2012-03-15",590
"74","2012-03-16",747
"75","2012-03-17",624
"76","2012-03-18",626
"77","2012-03-19",555
"78","2012-03-20",592
"79","2012-03-21",622
"80","2012-03-22",311
"81","2012-03-23",670
"82","2012-03-24",682
"83","2012-03-25",586
"84","2012-03-26",572
"85","2012-03-27",732
"86","2012-03-28",510
"87","2012-03-29",476
"88","2012-03-30",742
"89","2012-03-31",710
"90","2012-04-01",732
"91","2012-04-02",770
"92","2012-04-03",741
