"","date","powerdry","powerhumid","powerwind","stdpowerwind","cape","cape_virt","station_name","powerall","pm10mean","pm10std","pm10nbvalues"
"1",1988-01-01,516,422,2.67,1.22,19.51,41.34,"pr",940.67,34,NA,1
"2",1988-01-04,747,1397,3,0,103.08,164.93,"pr",2147,47,NA,1
"3",1988-01-06,558,188,3,1,98.33,127.63,"pr",749,27,NA,1
"4",1988-01-08,675,3083,3,0,57.76,157.26,"pr",3761,28,NA,1
"5",1988-01-10,728,1989,4.15,0.69,327.34,450.57,"pr",2721.15,46,NA,1
"6",1988-01-16,590,2271,0.78,0.44,52.86,120.98,"pr",2861.78,23.5,4.95,2
"7",1988-01-22,893,1436,3,0,4.68,7.54,"pr",2332,23,NA,1
"8",1988-02-09,615,1832,1.11,0.6,269.36,406.43,"pr",2448.11,18,NA,1
"9",1988-02-21,1033,2375,3.33,0.52,13.9,31.3,"pr",3411.33,27.67,13.32,3
"10",1988-02-27,591,319,2.17,0.75,104.73,136.63,"pr",912.17,31.6,8.56,5
"11",1988-03-04,833,2439,3.38,0.65,63.12,102.07,"pr",3275.38,34,7.81,3
"12",1988-03-06,1096,1820,2.5,0.55,1.25,6.42,"pr",2918.5,32,NA,1
"13",1988-03-10,733,1724,0.67,0.71,0,0,"pr",2457.67,31,9.46,5
"14",1988-03-20,718,1344,2.5,0.55,254.35,432.31,"pr",2064.5,26,NA,1
"15",1988-03-22,1097,4032,2.3,0.48,47.83,75.96,"pr",5131.3,37.2,12.76,5
"16",1988-03-28,627,799,1.78,0.67,563.89,692.4,"pr",1427.78,32,9.7,4
"17",1988-03-30,522,817,1.6,0.84,507.39,660.57,"pr",1340.6,25,NA,1
"18",1988-04-01,898,2701,1.56,0.73,15.48,22.84,"pr",3600.56,29,NA,1
"19",1988-04-03,489,427,1.09,0.54,63.97,103.54,"pr",917.09,43.4,6.07,5
"20",1988-04-05,608,1930,1.31,0.63,64.05,147.43,"pr",2539.31,35,NA,1
"21",1988-04-07,447,910,1.33,0.5,792,996.46,"pr",1358.33,34,NA,1
"22",1988-04-09,216,972,2.75,0.46,315.08,424.26,"pr",1190.75,50.2,3.27,5
"23",1988-04-15,514,142,1,0,1186.66,1335.6,"pr",657,25.67,7.57,3
"24",1988-04-21,313,713,1.7,0.95,435.68,537.86,"pr",1027.7,39.2,5.12,5
