date	pm10
2006-03-15	62.000
2006-03-20	30.667
2006-03-21	60.625
2006-03-22	78.125
2006-03-23	39.292
2006-03-26	47.792
2006-03-27	62.500
2006-03-28	51.833
2006-03-30	38.875
2006-03-31	53.792
2006-04-01	41.917
2006-04-02	32.542
2006-04-20	41.500
2006-04-21	64.458
2006-04-22	31.917
2006-05-14	30.792
2006-05-15	39.958
2006-05-17	37.875
2006-05-18	44.875
2006-05-19	36.333
2006-05-22	38.083
2006-05-23	35.167
2006-06-03	34.696
2006-06-04	69.542
2006-06-05	93.167
2006-06-06	88.042
2006-06-07	60.583
2006-06-08	42.083
2006-06-09	58.714
2006-06-10	72.125
2006-06-11	67.458
2006-06-12	80.875
2006-06-13	40.875
2006-06-14	57.375
2006-06-16	31.583
2006-06-18	47.542
2006-06-20	57.870
2006-06-21	69.000
2006-06-22	58.375
2006-06-23	45.565
2006-06-24	78.591
2006-06-25	45.917
2006-06-26	35.500
2006-06-27	42.875
2006-06-30	38.609
2006-07-04	76.000
2006-07-05	76.087
2006-07-06	31.458
2006-07-09	41.364
2006-07-10	61.000
2006-07-11	38.667
2006-07-13	35.458
2006-07-14	57.625
2006-07-15	68.500
2006-07-16	55.667
2006-07-19	54.583
2006-07-20	32.667
2006-07-23	49.875
2006-07-24	50.250
2006-07-25	47.667
2006-07-26	31.174
2006-07-27	77.682
2006-07-28	56.546
2006-07-29	72.958
2006-07-30	53.750
2006-07-31	42.417
2006-08-01	32.625
2006-08-07	41.044
2006-08-08	46.542
2006-08-09	35.958
2006-08-11	47.083
2006-08-13	30.833
2006-08-16	56.208
2006-08-17	35.667
2006-08-20	33.542
2006-08-22	71.833
2006-08-23	80.167
2006-08-24	63.167
2006-09-03	32.083
2006-09-04	54.000
2006-09-05	56.417
2006-09-06	40.750
2006-09-07	48.917
2006-09-08	44.333
2006-09-13	33.042
2006-09-15	76.042
2006-09-16	89.792
2006-09-17	65.417
2006-09-18	32.958
2006-09-19	47.833
2006-09-29	37.792
2006-10-07	47.333
2006-10-08	46.167
2006-11-21	30.917
2006-12-07	38.600
2006-12-08	32.500
2006-12-09	47.750
2007-01-06	31.375
2007-01-09	52.958
2007-01-10	33.625
2007-01-11	32.417
2007-02-25	31.000
2007-03-07	66.083
2007-03-08	56.458
2007-03-09	67.875
2007-03-10	53.833
2007-03-11	30.458
2007-03-12	48.333
2007-03-13	65.750
2007-03-14	35.208
2007-03-16	42.583
2007-03-17	107.500
2007-03-20	31.000
2007-04-17	31.292
2007-04-18	33.500
2007-04-19	44.500
2007-04-20	43.167
2007-04-21	46.292
2007-04-22	45.292
2007-05-12	36.500
2007-05-13	52.667
2007-05-14	69.875
2007-05-15	157.167
2007-05-16	72.833
2007-05-17	81.583
2007-05-18	73.000
2007-05-19	40.727
2007-05-24	31.000
2007-05-25	31.750
2007-05-30	31.292
2007-05-31	43.625
2007-06-01	46.958
2007-06-02	54.083
2007-06-03	37.708
2007-06-04	30.458
2007-06-13	45.083
2007-06-14	37.792
2007-06-15	55.208
2007-06-16	35.750
2007-06-19	34.792
2007-06-20	40.583
2007-06-21	46.833
2007-06-22	31.250
2007-06-25	42.000
2007-06-26	32.750
2007-06-29	58.583
2007-06-30	63.708
2007-07-01	64.375
2007-07-02	75.478
2007-07-04	31.696
2007-07-05	43.087
2007-07-06	57.273
2007-07-07	36.208
2007-07-08	37.652
2007-07-09	45.522
2007-07-10	51.348
2007-07-11	30.696
2007-07-12	49.957
2007-07-13	61.044
2007-07-16	37.957
2007-07-17	50.522
2007-07-20	52.174
2007-07-21	51.435
2007-07-23	52.957
2007-07-24	56.652
2007-07-25	80.478
2007-07-26	82.696
2007-07-27	70.478
2007-07-28	30.522
2007-08-02	59.571
2007-08-03	60.118
2007-08-04	41.087
2007-08-07	44.739
2007-08-08	41.261
2007-08-09	39.391
2007-08-11	46.125
2007-08-16	36.546
2007-08-30	32.739
2007-08-31	42.217
2007-09-06	31.044
2007-09-11	52.174
2007-09-12	45.304
2007-09-19	39.933
2007-09-28	41.000
2007-09-29	32.739
2007-10-11	49.727
2007-10-12	47.087
2007-10-14	34.870
2007-10-15	46.783
2007-10-30	58.042
2007-10-31	53.542
2007-11-11	55.435
2007-11-12	76.000
2007-11-13	67.652
2007-11-14	48.478
2007-11-15	44.565
2007-11-16	39.652
2007-11-17	41.522
2007-11-18	37.174
2007-11-19	34.478
2007-11-30	32.652
2007-12-01	47.867
2008-01-10	31.174
2008-01-14	31.913
2008-02-03	31.133
2008-04-21	33.391
2008-04-22	48.913
2008-04-23	48.130
2008-04-24	44.609
2008-04-25	43.957
2008-04-26	47.261
2008-04-27	46.130
2008-04-28	31.130
2008-05-06	59.455
2008-05-07	113.087
2008-05-08	114.870
2008-05-09	105.609
2008-05-10	39.000
2008-05-13	30.391
2008-05-28	37.391
2008-06-08	42.087
2008-06-09	33.044
2008-06-12	40.870
2008-06-14	41.478
2008-06-15	58.217
2008-06-16	62.130
2008-06-17	39.826
2008-06-18	37.044
2008-06-19	47.044
2008-06-20	39.929
2008-06-21	36.739
2008-06-22	37.957
2008-06-23	37.870
2008-06-24	51.565
2008-06-25	30.478
2008-06-27	37.391
2008-06-28	44.826
2008-06-29	42.652
2008-06-30	32.913
2008-07-02	44.348
2008-07-03	34.174
2008-07-06	41.783
2008-07-10	49.522
2008-07-11	51.864
2008-07-14	37.913
2008-07-15	34.125
2008-07-16	36.565
2008-07-19	40.261
2008-07-20	35.522
2008-07-21	35.696
2008-07-22	30.609
2008-08-02	36.565
2008-08-03	46.304
2008-08-04	36.696
2008-08-05	31.652
2008-08-06	60.913
2008-08-09	34.261
2008-08-10	51.000
2008-08-11	43.000
2008-08-12	33.217
2008-08-13	52.087
2008-08-15	48.565
2008-08-16	49.826
2008-08-17	32.826
2008-08-21	41.391
2008-08-22	36.652
2008-08-30	51.783
2008-08-31	47.000
2008-09-06	74.000
2008-10-08	31.783
2008-10-13	40.048
2008-10-14	45.435
2008-10-20	54.522
2008-10-21	46.435
2008-11-14	36.000
2008-11-15	31.478
2009-02-17	45.652
2009-03-10	33.304
2009-05-08	32.083
2009-05-09	40.750
2009-05-18	31.542
2009-05-19	40.500
2009-05-20	30.500
2009-05-22	32.542
2009-05-23	33.458
2009-05-26	40.083
2009-05-27	46.583
2009-05-28	45.083
2009-06-01	34.111
2009-06-07	48.417
2009-06-08	64.042
2009-06-13	42.833
2009-06-25	123.750
