date catano;PM10 catano
2006-01-17;36
2006-03-16;40
2006-03-23;38
2006-03-24;39
2006-03-29;54
2006-03-30;40
2006-05-19;46
2006-05-23;47
2006-05-24;44
2006-06-03;48
2006-06-05;79
2006-06-06;75
2006-06-07;99
2006-06-08;35
2006-06-19;40
2006-06-21;40
2006-06-23;48
2006-06-24;53
2006-06-25;85
2006-06-26;57
2006-06-27;43
2006-07-10;45
2006-07-11;43
2006-07-14;47
2006-07-15;63
2006-07-16;68
2006-07-20;50
2006-07-24;39
2006-07-27;52
2006-07-28;82
2006-07-29;42
2006-07-31;53
2006-08-01;45
2006-08-08;46
2006-08-09;47
2006-08-10;49
2006-08-11;48
2006-08-12;50
2006-08-23;94
2006-08-24;120
2006-08-25;42
2006-09-02;42
2006-09-05;41
2006-09-07;38
2006-09-08;41
2006-09-09;40
2006-09-10;43
2006-09-15;44
2006-09-16;84
2006-09-17;83
2006-09-18;54
2006-09-26;37
2006-09-30;38
2006-10-07;36
2006-10-08;45
2006-10-09;38
2006-12-08;39
2007-01-11;36
2007-02-26;36
2007-02-27;35
2007-02-28;36
2007-03-07;41
2007-03-08;63
2007-03-09;69
2007-03-10;55
2007-03-11;44
2007-03-17;55
2007-03-18;72
2007-04-19;36
2007-04-20;46
2007-05-13;38
2007-05-14;54
2007-05-15;74
2007-05-16;197
2007-05-17;59
2007-05-18;107
2007-05-19;86
2007-05-20;52
2007-05-21;37
2007-05-25;56
2007-06-02;41
2007-06-03;55
2007-06-04;44
2007-06-05;47
2007-06-06;49
2007-06-14;48
2007-06-15;64
2007-06-16;66
2007-06-17;44
2007-06-23;66
2007-06-29;36
2007-07-01;72
2007-07-02;80
2007-07-03;79
2007-07-05;39
2007-07-06;36
2007-07-09;48
2007-07-10;47
2007-07-12;38
2007-07-13;53
2007-07-17;35
2007-07-18;44
2007-07-21;63
2007-07-22;39
2007-07-23;47
2007-07-24;54
2007-07-25;42
2007-07-26;75
2007-07-27;76
2007-07-28;73
2007-07-29;40
2007-08-01;35
2007-08-02;35
2007-08-03;59
2007-08-04;57
2007-08-05;43
2007-08-08;38
2007-08-09;49
2007-08-10;35
2007-08-11;54
2007-08-12;64
2007-08-13;42
2007-08-17;60
2007-09-12;42
2007-10-12;42
2007-10-15;37
2007-10-31;58
2007-11-01;44
2007-11-14;39
2007-11-15;40
2007-11-17;37
2008-02-03;35
2008-02-04;37
2008-04-23;45
2008-04-24;42
2008-04-25;36
2008-04-28;35
2008-04-29;36
2008-05-07;66
2008-05-08;102
2008-05-09;100
2008-05-10;77
2008-05-29;39
2008-06-13;42
2008-06-15;48
2008-06-16;69
2008-06-17;46
2008-06-19;48
2008-06-20;47
2008-06-21;51
2008-06-23;43
2008-06-24;49
2008-06-25;41
2008-06-28;44
2008-06-29;44
2008-06-30;39
2008-07-03;37
2008-07-06;45
2008-07-08;36
2008-07-11;40
2008-07-12;52
2008-07-15;47
2008-07-16;43
2008-07-17;81
2008-07-20;38
2008-07-21;42
2008-08-06;56
2008-08-07;41
2008-08-11;63
2008-08-12;49
2008-08-14;35
2008-08-16;66
2008-08-17;50
2008-08-18;36
2008-08-21;35
2008-09-07;42
2008-10-21;49
2008-10-22;47
2009-01-01;38
2009-05-19;36
2009-05-20;39
2009-05-24;36
2009-05-27;46
2009-05-28;56
2009-06-09;58
2009-06-10;39
2009-06-25;45
2009-06-26;125
2009-06-27;138
2009-06-28;100
2009-06-29;91
2009-06-30;39
2009-07-02;42
2009-07-04;49
2009-07-05;39
2009-07-06;44
2009-07-07;39
2009-07-10;39
2009-07-11;46
2009-07-14;41
2009-07-15;61
2009-07-16;35
2009-07-20;49
2009-07-23;55
2009-07-24;56
2009-07-25;47
2009-07-27;42
2009-07-28;82
2009-07-29;47
2009-08-04;53
2009-08-05;46
2009-08-06;67
2009-08-07;77
2009-08-08;47
2009-08-11;36
2009-08-14;47
2009-08-18;51
2009-08-23;36
2009-09-28;72
2009-09-29;58
2009-10-06;66
2009-10-07;55
2009-10-16;36
2009-12-23;40
2009-12-28;38
2009-12-29;38
2010-02-10;39
2010-02-11;47
2010-02-13;46
2010-03-03;51
2010-03-04;44
2010-03-18;38
2010-03-19;61
2010-03-20;45
2010-04-27;73
2010-04-28;143
2010-04-29;139
2010-04-30;116
2010-05-01;81
2010-05-25;44
2010-05-26;48
2010-06-01;74
2010-06-02;77
2010-06-03;145
2010-06-04;149
2010-06-05;97
2010-06-06;37
2010-06-07;53
2010-06-08;47
2010-06-24;35
2010-07-01;51
2010-07-02;72
2010-07-03;77
2010-07-06;43
2010-07-07;88
2010-07-08;41
2010-07-11;35
2010-07-14;41
2010-07-15;45
2010-07-25;44
2010-07-30;38
2010-08-06;61
2010-08-18;101
2010-08-19;97
2010-08-24;90
2010-09-03;60
2010-09-04;65
2010-09-21;76
2010-09-22;116
2010-09-23;59
2010-11-04;37
2011-05-28;45
2011-05-30;43
2011-05-31;37
2011-06-01;41
2011-06-03;37
2011-06-21;48
2011-06-22;54
2011-06-23;54
2011-06-28;62
2011-06-29;63
2011-07-04;37
2011-07-05;37
2011-07-09;36
2011-07-21;39
2011-08-26;39
2011-09-15;43
2011-09-16;44
2011-09-23;45
2011-10-05;35
2011-10-14;54
2011-10-18;38
2011-11-05;57
2011-11-06;42
2011-11-07;36
2012-02-11;47
2012-03-26;40
2012-03-27;57
2012-05-11;45
2012-05-12;76
2012-05-13;73
2012-05-14;39
2012-05-21;35
2012-05-23;41
