"date","powerdry"
"1973-02-01",875
"1973-02-02",879
"1973-02-03",564
"1973-02-04",330
"1973-02-05",476
"1973-02-06",523
"1973-02-07",515
"1973-02-08",546
"1973-02-09",571
"1973-02-10",661
"1973-02-11",820
"1973-02-12",746
"1973-02-13",418
"1973-02-14",821
"1973-02-15",588
"1973-02-16",520
"1973-02-19",1178
"1973-02-20",932
"1973-02-21",790
"1973-02-22",778
"1973-02-23",1189
"1973-02-25",628
"1973-02-26",946
"1973-02-27",840
"1973-03-01",928
"1973-04-01",543
"1973-04-02",785
"1973-05-01",2396
"1973-05-02",1064
"1973-05-03",641
"1973-05-04",585
"1973-05-05",1478
"1973-05-06",961
"1973-05-07",997
"1973-05-08",741
"1973-05-10",815
"1973-05-11",630
"1973-05-12",570
"1973-05-13",682
"1973-05-14",893
"1973-05-15",608
"1973-05-16",521
"1973-05-17",675
"1973-05-18",767
"1973-05-19",694
"1973-05-20",675
"1973-05-21",438
"1973-05-22",696
"1973-05-24",630
"1973-05-25",708
"1973-05-26",577
"1973-05-27",1064
"1973-05-28",399
"1973-05-29",533
"1973-05-30",673
"1973-05-31",567
"1973-06-01",737
"1973-06-03",819
"1973-06-04",535
"1973-06-05",489
"1973-06-06",683
"1973-06-08",691
"1973-06-09",664
"1973-06-10",1066
"1973-06-12",583
"1973-06-13",794
"1973-06-14",812
"1973-06-15",995
"1973-06-17",762
"1973-06-18",702
"1973-06-19",875
"1973-06-20",1009
"1973-06-21",788
"1973-06-22",582
"1973-06-24",585
"1973-06-25",576
"1973-06-28",517
"1973-06-29",642
"1973-06-30",571
"1973-07-09",696
"1973-07-10",617
"1973-07-11",809
"1973-07-12",604
"1973-08-24",5649
"1973-08-26",604
"1973-08-27",849
"1973-08-28",735
"1973-08-29",513
"1973-08-30",563
"1973-09-01",582
"1973-09-02",562
"1973-09-03",627
"1973-09-04",607
"1973-09-06",675
"1973-09-07",756
"1973-09-08",3369
"1973-09-09",411
"1973-09-10",441
"1973-09-11",680
"1973-09-12",582
"1973-09-13",626
"1973-09-14",602
"1973-09-15",490
"1973-09-16",549
"1973-09-17",624
"1973-09-18",724
"1973-09-19",519
"1973-09-20",665
"1973-09-21",836
"1973-09-22",573
"1973-09-23",611
"1973-09-24",5649
"1973-09-26",490
"1973-09-27",566
"1973-09-28",667
"1973-09-29",495
"1973-09-30",618
"1973-10-16",517
"1973-10-18",620
"1973-10-19",573
"1973-10-20",438
"1973-10-21",519
"1973-10-22",502
"1973-10-23",487
"1973-10-26",794
"1973-10-27",0
"1973-10-28",678
"1973-10-29",856
"1973-10-30",633
"1973-11-03",646
"1973-11-04",709
"1973-11-05",743
"1973-11-08",465
"1973-11-09",917
"1973-11-10",667
"1973-11-11",732
"1973-11-12",567
"1973-11-13",483
"1973-11-14",566
"1973-11-18",555
"1973-11-19",449
"1973-11-20",604
"1973-11-21",554
"1973-11-23",591
"1973-11-24",590
"1973-11-25",660
"1973-11-26",515
"1973-11-27",629
"1973-11-28",655
"1973-11-30",672
"1973-12-01",612
"1973-12-04",542
"1973-12-06",533
"1973-12-08",552
"1973-12-10",3283
"1973-12-12",553
"1973-12-13",665
"1973-12-14",794
"1973-12-15",572
"1973-12-16",559
"1973-12-17",582
"1973-12-18",505
"1973-12-19",464
"1973-12-20",840
"1973-12-21",699
"1973-12-22",683
"1973-12-23",571
"1973-12-24",619
"1973-12-25",499
"1973-12-26",652
"1973-12-27",574
"1973-12-30",856
"1973-12-31",832
"1974-01-01",756
"1974-01-02",641
"1974-01-03",637
"1974-01-04",782
"1974-01-05",613
"1974-01-10",588
"1974-01-12",716
"1974-01-13",391
"1974-01-16",552
"1974-01-17",381
"1974-01-18",601
"1974-01-19",529
"1974-01-20",463
"1974-01-21",505
"1974-01-22",499
"1974-01-23",565
"1974-01-24",520
"1974-01-25",582
"1974-01-27",560
"1974-01-29",447
"1974-01-30",390
"1974-02-01",590
"1974-02-02",5169
"1974-02-03",854
"1974-02-04",675
"1974-02-05",642
"1974-02-06",627
"1974-02-07",689
"1974-02-08",595
"1974-02-10",548
"1974-02-11",653
"1974-02-12",551
"1974-02-13",641
"1974-02-14",742
"1974-02-16",637
"1974-02-17",549
"1974-02-18",552
"1974-02-19",459
"1974-02-20",704
"1974-02-21",797
"1974-02-22",872
"1974-02-23",533
"1974-02-24",684
"1974-02-25",807
"1974-02-27",663
"1974-02-28",519
"1974-03-01",542
"1974-03-02",482
"1974-03-03",588
"1974-03-04",641
"1974-03-06",312
"1974-03-08",761
"1974-03-09",551
"1974-03-10",359
"1974-03-12",815
"1974-03-13",861
"1974-03-15",493
"1974-03-17",532
"1974-03-18",577
"1974-03-19",350
"1974-03-20",322
"1974-03-21",576
"1974-03-22",506
"1974-03-23",786
"1974-03-24",703
"1974-03-25",502
"1974-03-27",748
"1974-03-28",683
"1974-03-29",991
"1974-04-01",883
"1974-04-02",683
"1974-04-04",771
"1974-04-05",899
"1974-04-06",653
"1974-04-07",609
"1974-04-11",545
"1974-04-12",451
"1974-04-13",708
"1974-04-14",485
"1974-04-15",665
"1974-04-17",814
"1974-04-18",508
"1974-04-19",462
"1974-04-20",920
"1974-04-21",1243
"1974-04-22",661
"1974-04-24",609
"1974-04-25",678
"1974-04-26",702
"1974-04-27",740
"1974-04-28",710
"1974-04-29",862
"1974-05-01",544
"1974-05-02",670
"1974-05-03",567
"1974-05-04",636
"1974-05-05",517
"1974-05-06",568
"1974-05-07",619
"1974-05-08",632
"1974-05-09",742
"1974-05-10",436
"1974-05-11",524
"1974-05-12",452
"1974-05-13",581
"1974-05-15",591
"1974-05-16",572
"1974-05-18",713
"1974-05-19",473
"1974-05-20",518
"1974-05-22",705
"1974-05-23",651
"1974-05-27",759
"1974-05-28",610
"1974-05-29",688
"1974-05-31",745
"1974-06-01",581
"1974-06-02",578
"1974-06-04",505
"1974-06-05",748
