"date","powerhumid"
"1973-02-01",1920
"1973-02-02",2022
"1973-02-03",106
"1973-02-04",1170
"1973-02-05",974
"1973-02-06",919
"1973-02-07",1484
"1973-02-08",936
"1973-02-09",1188
"1973-02-10",2249
"1973-02-11",2007
"1973-02-12",2510
"1973-02-13",1187
"1973-02-14",1803
"1973-02-15",1481
"1973-02-16",1148
"1973-02-19",2441
"1973-02-20",2070
"1973-02-21",3044
"1973-02-22",1965
"1973-02-23",2856
"1973-02-25",1743
"1973-02-26",2317
"1973-02-27",1396
"1973-03-01",1342
"1973-04-01",2124
"1973-04-02",1640
"1973-05-01",3129
"1973-05-02",1949
"1973-05-03",735
"1973-05-04",435
"1973-05-05",2107
"1973-05-06",1763
"1973-05-07",3841
"1973-05-08",2784
"1973-05-10",1928
"1973-05-11",1403
"1973-05-12",938
"1973-05-13",2143
"1973-05-14",2920
"1973-05-15",2141
"1973-05-16",1279
"1973-05-17",2062
"1973-05-18",1729
"1973-05-19",2648
"1973-05-20",1693
"1973-05-21",2487
"1973-05-22",2049
"1973-05-24",323
"1973-05-25",1108
"1973-05-26",2100
"1973-05-27",1851
"1973-05-28",2548
"1973-05-29",2167
"1973-05-30",2060
"1973-05-31",2877
"1973-06-01",959
"1973-06-03",2022
"1973-06-04",1958
"1973-06-05",809
"1973-06-06",1143
"1973-06-08",1035
"1973-06-09",961
"1973-06-10",1366
"1973-06-12",506
"1973-06-13",2241
"1973-06-14",2895
"1973-06-15",3964
"1973-06-17",1139
"1973-06-18",1133
"1973-06-19",2739
"1973-06-20",2707
"1973-06-21",3105
"1973-06-22",1020
"1973-06-24",369
"1973-06-25",734
"1973-06-28",2367
"1973-06-29",2295
"1973-06-30",1268
"1973-07-09",1232
"1973-07-10",775
"1973-07-11",1061
"1973-07-12",1268
"1973-08-24",367
"1973-08-26",1125
"1973-08-27",2537
"1973-08-28",1909
"1973-08-29",390
"1973-08-30",795
"1973-09-01",707
"1973-09-02",397
"1973-09-03",318
"1973-09-04",675
"1973-09-06",1351
"1973-09-07",1889
"1973-09-08",1933
"1973-09-09",2172
"1973-09-10",1216
"1973-09-11",1665
"1973-09-12",526
"1973-09-13",1934
"1973-09-14",1060
"1973-09-15",1594
"1973-09-16",372
"1973-09-17",1688
"1973-09-18",345
"1973-09-19",1350
"1973-09-20",2043
"1973-09-21",2385
"1973-09-22",2907
"1973-09-23",1045
"1973-09-24",367
"1973-09-26",1275
"1973-09-27",1553
"1973-09-28",728
"1973-09-29",444
"1973-09-30",615
"1973-10-16",821
"1973-10-18",262
"1973-10-19",690
"1973-10-20",2625
"1973-10-21",1560
"1973-10-22",743
"1973-10-23",1448
"1973-10-26",1365
"1973-10-27",0
"1973-10-28",1564
"1973-10-29",1615
"1973-10-30",1380
"1973-11-03",1880
"1973-11-04",2483
"1973-11-05",2142
"1973-11-08",1109
"1973-11-09",3150
"1973-11-10",2325
"1973-11-11",122
"1973-11-12",269
"1973-11-13",747
"1973-11-14",480
"1973-11-18",840
"1973-11-19",2438
"1973-11-20",414
"1973-11-21",97
"1973-11-23",656
"1973-11-24",105
"1973-11-25",303
"1973-11-26",2188
"1973-11-27",173
"1973-11-28",2775
"1973-11-30",2273
"1973-12-01",4335
"1973-12-04",3825
"1973-12-06",459
"1973-12-08",1349
"1973-12-10",2738
"1973-12-12",2258
"1973-12-13",2550
"1973-12-14",2114
"1973-12-15",2669
"1973-12-16",684
"1973-12-17",842
"1973-12-18",1309
"1973-12-19",799
"1973-12-20",3317
"1973-12-21",2274
"1973-12-22",2077
"1973-12-23",1950
"1973-12-24",1036
"1973-12-25",1941
"1973-12-26",2070
"1973-12-27",355
"1973-12-30",2268
"1973-12-31",2725
"1974-01-01",2535
"1974-01-02",2672
"1974-01-03",1953
"1974-01-04",1997
"1974-01-05",2700
"1974-01-10",2559
"1974-01-12",1917
"1974-01-13",2374
"1974-01-16",1285
"1974-01-17",668
"1974-01-18",120
"1974-01-19",2723
"1974-01-20",224
"1974-01-21",450
"1974-01-22",622
"1974-01-23",2625
"1974-01-24",880
"1974-01-25",1903
"1974-01-27",741
"1974-01-29",1478
"1974-01-30",1125
"1974-02-01",1293
"1974-02-02",1934
"1974-02-03",1628
"1974-02-04",1653
"1974-02-05",1996
"1974-02-06",2677
"1974-02-07",380
"1974-02-08",1447
"1974-02-10",551
"1974-02-11",2775
"1974-02-12",792
"1974-02-13",1185
"1974-02-14",2105
"1974-02-16",1906
"1974-02-17",255
"1974-02-18",1087
"1974-02-19",3407
"1974-02-20",2194
"1974-02-21",2468
"1974-02-22",2389
"1974-02-23",699
"1974-02-24",1818
"1974-02-25",3688
"1974-02-27",2470
"1974-02-28",311
"1974-03-01",442
"1974-03-02",994
"1974-03-03",1910
"1974-03-04",1141
"1974-03-06",91
"1974-03-08",2561
"1974-03-09",976
"1974-03-10",1938
"1974-03-12",2700
"1974-03-13",2512
"1974-03-15",868
"1974-03-17",564
"1974-03-18",823
"1974-03-19",1118
"1974-03-20",565
"1974-03-21",1042
"1974-03-22",663
"1974-03-23",1440
"1974-03-24",1483
"1974-03-25",775
"1974-03-27",2607
"1974-03-28",1922
"1974-03-29",2408
"1974-04-01",2215
"1974-04-02",1843
"1974-04-04",2345
"1974-04-05",2438
"1974-04-06",594
"1974-04-07",1596
"1974-04-11",2625
"1974-04-12",1403
"1974-04-13",2625
"1974-04-14",2025
"1974-04-15",540
"1974-04-17",2896
"1974-04-18",1471
"1974-04-19",1648
"1974-04-20",2775
"1974-04-21",2305
"1974-04-22",2925
"1974-04-24",1570
"1974-04-25",1294
"1974-04-26",1358
"1974-04-27",1830
"1974-04-28",2008
"1974-04-29",2144
"1974-05-01",1781
"1974-05-02",165
"1974-05-03",1035
"1974-05-04",1415
"1974-05-05",2201
"1974-05-06",338
"1974-05-07",1089
"1974-05-08",2222
"1974-05-09",3112
"1974-05-10",202
"1974-05-11",693
"1974-05-12",402
"1974-05-13",389
"1974-05-15",489
"1974-05-16",1193
"1974-05-18",1629
"1974-05-19",810
"1974-05-20",1872
"1974-05-22",2522
"1974-05-23",920
"1974-05-27",2525
"1974-05-28",1794
"1974-05-29",1065
"1974-05-31",2458
"1974-06-01",1208
"1974-06-02",525
"1974-06-04",880
"1974-06-05",1862
"1974-06-06",2386
"1974-06-07",3023
"1974-06-08",4006
"1974-06-09",1820
"1974-06-10",1192
"1974-06-11",2318
"1974-06-12",1506
"1974-06-13",1506
"1974-06-14",414
"1974-06-15",1961
"1974-06-18",2452
"1974-06-19",2161
"1974-06-20",2250
"1974-06-21",1196
"1974-06-22",1670
