"","date","powerdry","powerhumid","stdpowerwind","powerall","cape","cape_virt","pm10_mean","pm10_std","pm10_nbValues"
"1",1988-01-01,811,2850,0.71,3666.5,0,0,"34",NA,1
"2",1988-01-10,578,291,0.52,873.4,330.47,479.09,"46",NA,1
"3",1988-02-09,713,2370,0.71,3086.5,144.5,345.51,"18",NA,1
"4",1988-03-04,683,879,0.67,1563.64,74.15,149.94,"34","7,81",3
"5",1988-03-06,787,1994,0.79,2783.2,39.04,53.79,"32",NA,1
"6",1988-04-07,704,788,0.44,1493.22,2284.17,2540.06,"34",NA,1
"7",1988-04-15,754,1606,0.42,2361.8,132,224.16,"25,67","7,57",3
"8",1988-04-21,738,2971,0.9,3710.73,26.79,150.15,"39,2","5,12",5
"9",1988-04-23,561,1831,0.84,2394.4,248.36,455.72,"22",NA,1
"10",1988-04-27,820,2159,0.88,2981.44,387.01,636.28,"41,4","6,88",5
"11",1988-05-01,656,1457,0.39,2114.83,333.76,592.36,"13",NA,1
"12",1988-05-03,569,2286,0.7,2855.91,1278.47,1616.73,"45,5","27,77",4
"13",1988-05-07,781,2258,0.71,3040.5,0,0,"20",NA,1
"14",1988-05-09,726,2069,0.71,2796.25,1029.49,1326.43,"25,25","1,71",4
"15",1988-05-15,260,924,0.48,1184.3,160.2,250.19,"23,25","7,14",4
"16",1988-05-19,621,1460,0.6,2083.11,460.45,641.53,"35",NA,1
"17",1988-05-23,434,1628,0.33,2065.89,744.4,926.78,"49",NA,1
"18",1988-05-25,743,1482,0.53,2228,1006.35,1276.92,"47",NA,1
"19",1988-05-27,749,3051,0.53,3802.43,1323.19,1634.11,"40,4","17,01",5
"20",1988-06-12,468,428,0.47,897.27,979.58,1175.78,"17",NA,1
"21",1988-06-17,640,1127,0.32,1770.9,1888.35,2172.47,"38",NA,1
"22",1988-06-20,783,1398,0,2184,2550.01,2842.9,"34","6,56",5
"23",1988-06-22,835,2200,0,3039,1402.57,1667.34,"63",NA,1
