Date Local;Arithmetic Mean
2006-01-01;18
2006-01-02;19
2006-01-03;23
2006-01-04;24
2006-01-05;19
2006-01-06;13
2006-01-07;14
2006-01-08;11
2006-01-09;17
2006-01-10;21
2006-01-11;22
2006-01-12;24
2006-01-13;24
2006-01-14;23
2006-01-15;13
2006-01-16;26
2006-01-17;36
2006-01-18;22
2006-01-19;22
2006-01-20;28
2006-01-21;28
2006-01-22;25
2006-01-23;29
2006-01-24;30
2006-01-25;31
2006-01-26;28
2006-01-27;22
2006-01-28;25
2006-01-29;25
2006-01-30;26
2006-01-31;33
2006-02-01;26
2006-02-02;22
2006-02-03;22
2006-02-04;20
2006-02-05;18
2006-02-06;19
2006-02-07;17
2006-02-08;20
2006-02-09;24
2006-02-10;28
2006-02-11;16
2006-02-12;19
2006-02-13;25
2006-02-14;32
2006-02-15;23
2006-02-16;24
2006-02-17;22
2006-02-18;18
2006-02-19;13
2006-02-20;17
2006-02-21;22
2006-02-22;20
2006-02-23;18
2006-02-24;17
2006-02-25;13
2006-02-26;13
2006-02-27;23
2006-02-28;28
2006-03-01;22
2006-03-02;25
2006-03-03;28
2006-03-04;23
2006-03-05;19
2006-03-06;21
2006-03-07;19
2006-03-08;21
2006-03-09;23
2006-03-10;25
2006-03-11;26
2006-03-12;21
2006-03-13;21
2006-03-14;17
2006-03-15;24
2006-03-16;40
2006-03-17;23
2006-03-18;17
2006-03-19;13
2006-03-20;13
2006-03-21;15
2006-03-22;24
2006-03-23;38
2006-03-24;39
2006-03-25;26
2006-03-26;17
2006-03-29;54
2006-03-30;40
2006-03-31;24
2006-04-01;13
2006-04-02;12
2006-04-03;18
2006-04-04;21
2006-04-05;20
2006-04-06;17
2006-04-07;18
2006-04-08;18
2006-04-09;14
2006-04-10;22
2006-04-11;26
2006-04-12;19
2006-04-13;18
2006-04-14;15
2006-04-15;10
2006-04-16;9
2006-04-17;11
2006-04-18;13
2006-04-19;16
2006-04-20;15
2006-04-21;12
2006-04-22;9
2006-04-23;9
2006-04-24;8
2006-04-25;7
2006-04-26;9
2006-04-27;16
2006-04-28;18
2006-04-29;21
2006-04-30;17
2006-05-01;19
2006-05-02;20
2006-05-03;13
2006-05-04;15
2006-05-05;16
2006-05-06;18
2006-05-07;21
2006-05-08;27
2006-05-09;23
2006-05-10;18
2006-05-11;21
2006-05-12;21
2006-05-13;18
2006-05-14;16
2006-05-15;31
2006-05-16;27
2006-05-17;30
2006-05-18;30
2006-05-19;46
2006-05-20;32
2006-05-21;16
2006-05-22;34
2006-05-23;47
2006-05-24;44
2006-05-26;19
2006-05-27;16
2006-05-28;16
2006-05-29;33
2006-05-30;24
2006-05-31;25
2006-06-01;30
2006-06-02;27
2006-06-03;48
2006-06-04;34
2006-06-05;79
2006-06-06;75
2006-06-07;99
2006-06-08;35
2006-06-15;34
2006-06-16;21
2006-06-17;25
2006-06-18;17
2006-06-19;40
2006-06-20;30
2006-06-21;40
2006-06-22;33
2006-06-23;48
2006-06-24;53
2006-06-25;85
2006-06-26;57
2006-06-27;43
2006-07-08;16
2006-07-09;22
2006-07-10;45
2006-07-11;43
2006-07-12;21
2006-07-13;25
2006-07-14;47
2006-07-15;63
2006-07-16;68
2006-07-17;28
2006-07-18;22
2006-07-19;27
2006-07-20;50
2006-07-21;26
2006-07-22;19
2006-07-23;27
2006-07-24;39
2006-07-25;25
2006-07-26;25
2006-07-27;52
2006-07-28;82
2006-07-29;42
2006-07-30;15
2006-07-31;53
2006-08-01;45
