"","date","powerdry","powerhumid","powerwind","stdpowerwind","cape","cape_virt","station_name","powerall","normed_dry","normed_humid","normed_wind","normed_cape","normed_cape_virt"
"1","1973-01-02",606,1584,3,0,208.36,349.13,"pr",2193,-0.0633278380990278,0.124870434097599,0.883495145631068,-0.82789239712755,-0.927756653992395
"2","1973-01-03",771,1727,3.67,0.58,0,0,"pr",2501.67,0.874651810584958,0.273093826443882,1.53398058252427,-1.06539382195372,-1.14721464457622
"3","1973-01-04",928,1714,2.89,0.33,172.22,235.13,"pr",2644.89,1.76715365812063,0.25961897259422,0.776699029126214,-0.86908697138949,-0.965821598222091
"4","1973-01-05",816,3197,2.22,0.67,0,4.08,"pr",4015.22,1.13046444204423,1.7967888386749,0.12621359223301,-1.06539382195372,-1.14721464457622
"5","1973-01-06",842,3242,1.38,0.52,0,0,"pr",4085.38,1.27826729577625,1.84343256353912,-0.689320388349514,-1.06539382195372,-1.14721464457622
"6","1973-01-07",900,3160,1.11,0.33,0,0,"pr",4061.11,1.60798135410153,1.75843733156433,-0.951456310679611,-1.06539382195372,-1.14721464457622
"7","1973-01-08",1173,3940,2.25,0.5,5.45,10.53,"pr",5115.25,3.15991131828776,2.56692856254405,0.155339805825243,-1.05918157984726,-1.14147435829919
"8","1973-01-09",795,2297,2.71,0.76,222.26,311.22,"pr",3094.71,1.0110852140299,0.863914341390605,0.601941747572816,-0.812048330103727,-0.913116290827128
"9","1973-01-10",886,2493,1,0,66.26,146.87,"pr",3380,1.52839520209198,1.06707367635474,-1.05825242718447,-0.989866636270375,-1.07742540260999
"10","1973-01-11",670,1876,0.88,0.35,17.03,68.3,"pr",2546.88,0.300494571087488,0.427536382105394,-1.1747572815534,-1.0459819901972,-1.12927756653992
"11","1973-01-12",667,3663,2,0.63,0,0,"pr",4332,0.28344039565687,2.27981052282433,-0.0873786407766989,-1.06539382195372,-1.14721464457622
"12","1973-01-13",1422,3746,2.56,0.53,14.51,25.53,"pr",5170.56,4.57540787902905,2.36584228201833,0.456310679611651,-1.04885443975835,-1.13193179065334
"13","1973-01-14",878,2368,1.67,0.5,72,104.73,"pr",3247.67,1.48291740094366,0.937507773954144,-0.407766990291262,-0.983323834492192,-1.07137966990721
"14","1973-01-15",687,2230,2.44,0.53,59.14,106.19,"pr",2919.44,0.397134898527656,0.794467017703885,0.339805825242719,-0.997982446141571,-1.08492463899392
"15","1973-01-16",445,2298,3.8,0.84,95.1,196.1,"pr",2746.8,-0.978568586208857,0.86495086860981,1.66019417475728,-0.956993046848284,-1.0470492822009
"16","1973-01-17",508,1520,2.78,0.44,1.48,26.22,"pr",2030.78,-0.62043090216588,0.0585326920684937,0.669902912621359,-1.06370682776701,-1.14565581454136
"17","1973-01-18",585,2116,2.78,0.44,13.16,65.09,"pr",2703.78,-0.182707066113353,0.67630291471454,0.669902912621359,-1.05039325202325,-1.13335369642838
"18","1973-01-19",481,1311,1.3,0.67,26.55,43.7,"pr",1793.3,-0.773918481041442,-0.158101496745304,-0.766990291262136,-1.03513051407728,-1.11925049766702
"19","1973-01-20",397,1271,0.88,0.35,241.94,338.75,"pr",1668.88,-1.25143539309874,-0.199562585513496,-1.1747572815534,-0.789615866864243,-0.892388064417598
