date	cape	cape_virt	conv_inhib	cins	pressure	temp	mixr	relhumidity	windspeed	wind_direction	pm10_mean
2005-01-01	755.72	906.48	-0.69	-0.19	1000.0	22.6	15.33	87.0	23	45	16.1000
2005-01-01	755.72	906.48	-0.69	-0.19	925.0	17.2	12.76	94.0	29	60	16.1000
2005-01-01	755.72	906.48	-0.69	-0.19	850.0	14.0	11.27	94.0	25	75	16.1000
2005-01-01	755.72	906.48	-0.69	-0.19	700.0	5.4	7.23	89.0	16	90	16.1000
2005-01-01	755.72	906.48	-0.69	-0.19	500.0	-9.3	0.98	26.0	14	315	16.1000
2005-01-01	755.72	906.48	-0.69	-0.19	400.0	-21.7	0.82	48.0	20	290	16.1000
2005-01-01	755.72	906.48	-0.69	-0.19	300.0	-36.1	0.26	44.0	42	255	16.1000
2005-01-01	755.72	906.48	-0.69	-0.19	250.0	-42.9	0.02	5.0	83	245	16.1000
2005-01-01	755.72	906.48	-0.69	-0.19	200.0	-55.5	0.01	9.0	88	245	16.1000
2005-01-01	755.72	906.48	-0.69	-0.19	150.0	-67.1	0.00	14.0	68	270	16.1000
2005-01-01	755.72	906.48	-0.69	-0.19	100.0	-70.7	0.00	16.0	43	270	16.1000
2005-01-01	755.72	906.48	-0.69	-0.19	50.0	-62.3	0.02	12.0	3	230	16.1000
2005-01-02	0.00	0.00	0.00	0.00	1000.0	22.6	9.24	53.0	9	53	20.5417
2005-01-02	0.00	0.00	0.00	0.00	925.0	16.2	9.11	72.0	7	107	20.5417
2005-01-02	0.00	0.00	0.00	0.00	850.0	10.4	8.09	86.0	5	166	20.5417
2005-01-02	0.00	0.00	0.00	0.00	700.0	8.4	1.63	17.0	4	50	20.5417
2005-01-03	64.70	90.53	-24.07	-10.59	1000.0	21.8	12.82	77.0	10	100	19.3750
2005-01-03	64.70	90.53	-24.07	-10.59	925.0	17.2	9.11	68.0	19	70	19.3750
2005-01-03	64.70	90.53	-24.07	-10.59	850.0	11.8	8.31	81.0	19	60	19.3750
2005-01-03	64.70	90.53	-24.07	-10.59	700.0	9.0	2.02	20.0	17	90	19.3750
2005-01-03	64.70	90.53	-24.07	-10.59	500.0	-9.1	0.91	24.0	2	85	19.3750
2005-01-03	64.70	90.53	-24.07	-10.59	400.0	-22.9	0.41	27.0	13	260	19.3750
2005-01-03	64.70	90.53	-24.07	-10.59	300.0	-37.1	0.15	28.0	32	265	19.3750
2005-01-03	64.70	90.53	-24.07	-10.59	250.0	-45.9	0.07	28.0	56	250	19.3750
2005-01-03	64.70	90.53	-24.07	-10.59	200.0	-49.3	0.06	30.0	80	255	19.3750
2005-01-03	64.70	90.53	-24.07	-10.59	150.0	-61.9	0.02	29.0	56	280	19.3750
2005-01-03	64.70	90.53	-24.07	-10.59	100.0	-75.5	0.00	33.0	40	265	19.3750
2005-01-03	64.70	90.53	-24.07	-10.59	50.0	-64.3	0.04	33.0	7	355	19.3750
2005-01-04	1015.41	1177.56	-4.64	-3.29	1000.0	22.8	14.76	83.0	10	110	26.0833
2005-01-04	1015.41	1177.56	-4.64	-3.29	925.0	17.2	12.51	93.0	19	85	26.0833
2005-01-04	1015.41	1177.56	-4.64	-3.29	850.0	12.8	9.53	86.0	21	90	26.0833
2005-01-04	1015.41	1177.56	-4.64	-3.29	700.0	7.4	0.82	9.0	7	85	26.0833
2005-01-04	1015.41	1177.56	-4.64	-3.29	500.0	-11.1	0.57	17.0	7	145	26.0833
2005-01-04	1015.41	1177.56	-4.64	-3.29	400.0	-25.7	0.41	35.0	7	225	26.0833
2005-01-04	1015.41	1177.56	-4.64	-3.29	300.0	-41.9	0.12	37.0	32	240	26.0833
2005-01-04	1015.41	1177.56	-4.64	-3.29	250.0	-44.9	0.07	25.0	62	245	26.0833
2005-01-04	1015.41	1177.56	-4.64	-3.29	200.0	-49.1	0.06	27.0	66	255	26.0833
