date	cape	cape_virt	conv_inhib	cins	pressure	temp	mixr	relhumidity	windspeed	wind_direction	pm10	aot_440	ae
2005-03-26	70.63	130.70	-9.65	-7.11	1000.0	23.8	15.83	84.0	10	95	22.9167	0.1154572500	0.9939185000
2005-03-26	70.63	130.70	-9.65	-7.11	925.0	18.8	13.44	90.0	14	115	22.9167	0.1154572500	0.9939185000
2005-03-26	70.63	130.70	-9.65	-7.11	850.0	13.8	10.75	91.0	10	95	22.9167	0.1154572500	0.9939185000
2005-03-26	70.63	130.70	-9.65	-7.11	700.0	9.4	0.89	9.0	7	105	22.9167	0.1154572500	0.9939185000
2005-03-26	70.63	130.70	-9.65	-7.11	500.0	-6.9	0.78	17.0	12	310	22.9167	0.1154572500	0.9939185000
2005-03-26	70.63	130.70	-9.65	-7.11	400.0	-16.5	0.35	13.0	39	305	22.9167	0.1154572500	0.9939185000
2005-03-26	70.63	130.70	-9.65	-7.11	300.0	-33.3	0.28	36.0	53	320	22.9167	0.1154572500	0.9939185000
2005-03-26	70.63	130.70	-9.65	-7.11	250.0	-42.5	0.09	26.0	59	340	22.9167	0.1154572500	0.9939185000
2005-03-26	70.63	130.70	-9.65	-7.11	200.0	-54.1	0.03	28.0	74	340	22.9167	0.1154572500	0.9939185000
2005-03-26	70.63	130.70	-9.65	-7.11	150.0	-66.9	0.01	31.0	42	305	22.9167	0.1154572500	0.9939185000
2005-03-26	70.63	130.70	-9.65	-7.11	100.0	-77.1	0.00	32.0	50	295	22.9167	0.1154572500	0.9939185000
2005-03-26	70.63	130.70	-9.65	-7.11	50.0	-67.3	0.03	31.0	3	340	22.9167	0.1154572500	0.9939185000
2005-03-27	0.00	14.98	-34.86	-20.19	1000.0	23.6	14.76	79.0	11	130	21.3333	0.0960553750	0.9262371250
2005-03-27	0.00	14.98	-34.86	-20.19	925.0	19.8	9.48	60.0	19	100	21.3333	0.0960553750	0.9262371250
2005-03-27	0.00	14.98	-34.86	-20.19	850.0	15.6	4.72	36.0	14	100	21.3333	0.0960553750	0.9262371250
2005-03-27	0.00	14.98	-34.86	-20.19	700.0	9.0	2.57	25.0	3	155	21.3333	0.0960553750	0.9262371250
2005-03-27	0.00	14.98	-34.86	-20.19	500.0	-4.7	1.36	25.0	22	335	21.3333	0.0960553750	0.9262371250
2005-03-27	0.00	14.98	-34.86	-20.19	400.0	-15.9	0.97	35.0	32	315	21.3333	0.0960553750	0.9262371250
2005-03-27	0.00	14.98	-34.86	-20.19	300.0	-32.1	0.39	45.0	44	325	21.3333	0.0960553750	0.9262371250
2005-03-27	0.00	14.98	-34.86	-20.19	250.0	-42.5	0.19	52.0	40	320	21.3333	0.0960553750	0.9262371250
2005-03-27	0.00	14.98	-34.86	-20.19	200.0	-55.1	0.05	47.0	48	330	21.3333	0.0960553750	0.9262371250
2005-03-27	0.00	14.98	-34.86	-20.19	150.0	-65.7	0.02	43.0	46	325	21.3333	0.0960553750	0.9262371250
2005-03-27	0.00	14.98	-34.86	-20.19	100.0	-79.1	0.00	44.0	41	300	21.3333	0.0960553750	0.9262371250
2005-03-27	0.00	14.98	-34.86	-20.19	50.0	-65.7	0.05	43.0	3	55	21.3333	0.0960553750	0.9262371250
2005-03-29	33.19	54.96	-14.04	-8.48	1000.0	23.6	15.53	83.0	11	125	26.6250	0.1568583636	0.7350476364
2005-03-29	33.19	54.96	-14.04	-8.48	925.0	19.4	12.27	79.0	18	110	26.6250	0.1568583636	0.7350476364
2005-03-29	33.19	54.96	-14.04	-8.48	850.0	14.0	9.85	83.0	15	130	26.6250	0.1568583636	0.7350476364
2005-03-29	33.19	54.96	-14.04	-8.48	700.0	9.6	2.69	25.0	7	85	26.6250	0.1568583636	0.7350476364
2005-03-29	33.19	54.96	-14.04	-8.48	500.0	-5.1	1.43	27.0	8	350	26.6250	0.1568583636	0.7350476364
2005-03-29	33.19	54.96	-14.04	-8.48	400.0	-15.3	0.53	18.0	19	295	26.6250	0.1568583636	0.7350476364
2005-03-29	33.19	54.96	-14.04	-8.48	300.0	-31.3	0.16	17.0	17	290	26.6250	0.1568583636	0.7350476364
2005-03-29	33.19	54.96	-14.04	-8.48	250.0	-42.9	0.10	29.0	31	295	26.6250	0.1568583636	0.7350476364
2005-03-29	33.19	54.96	-14.04	-8.48	200.0	-53.7	0.05	37.0	24	290	26.6250	0.1568583636	0.7350476364
2005-03-29	33.19	54.96	-14.04	-8.48	150.0	-66.3	0.01	37.0	36	280	26.6250	0.1568583636	0.7350476364
2005-03-29	33.19	54.96	-14.04	-8.48	100.0	-76.5	0.00	38.0	22	315	26.6250	0.1568583636	0.7350476364
2005-03-29	33.19	54.96	-14.04	-8.48	50.0	-67.7	0.03	36.0	10	20	26.6250	0.1568583636	0.7350476364
2005-03-31	49.90	193.52	-5.11	-3.09	1000.0	23.4	16.75	91.0	7	115	24.4583	0.0928773333	0.8910995000
2005-03-31	49.90	193.52	-5.11	-3.09	925.0	19.0	13.62	90.0	13	80	24.4583	0.0928773333	0.8910995000
2005-03-31	49.90	193.52	-5.11	-3.09	850.0	15.4	10.33	79.0	5	95	24.4583	0.0928773333	0.8910995000
2005-03-31	49.90	193.52	-5.11	-3.09	700.0	9.0	2.02	20.0	6	95	24.4583	0.0928773333	0.8910995000
2005-03-31	49.90	193.52	-5.11	-3.09	500.0	-5.1	0.76	15.0	9	5	24.4583	0.0928773333	0.8910995000
2005-03-31	49.90	193.52	-5.11	-3.09	400.0	-17.5	0.47	19.0	6	355	24.4583	0.0928773333	0.8910995000
2005-03-31	49.90	193.52	-5.11	-3.09	300.0	-31.7	0.17	19.0	24	305	24.4583	0.0928773333	0.8910995000
2005-03-31	49.90	193.52	-5.11	-3.09	250.0	-42.5	0.08	23.0	22	320	24.4583	0.0928773333	0.8910995000
2005-03-31	49.90	193.52	-5.11	-3.09	200.0	-54.5	0.03	24.0	34	320	24.4583	0.0928773333	0.8910995000
2005-03-31	49.90	193.52	-5.11	-3.09	150.0	-66.7	0.01	27.0	34	325	24.4583	0.0928773333	0.8910995000
2005-03-31	49.90	193.52	-5.11	-3.09	100.0	-76.7	0.00	32.0	34	300	24.4583	0.0928773333	0.8910995000
2005-03-31	49.90	193.52	-5.11	-3.09	50.0	-68.1	0.02	27.0	16	50	24.4583	0.0928773333	0.8910995000
2005-04-02	1011.94	1197.94	-3.13	-1.42	1000.0	24.4	17.94	91.0	8	105	38.4583	0.2269614000	0.6147078000
2005-04-02	1011.94	1197.94	-3.13	-1.42	925.0	20.0	14.43	89.0	12	125	38.4583	0.2269614000	0.6147078000
2005-04-02	1011.94	1197.94	-3.13	-1.42	850.0	15.4	12.44	95.0	12	125	38.4583	0.2269614000	0.6147078000
2005-04-02	1011.94	1197.94	-3.13	-1.42	700.0	7.0	6.64	74.0	3	140	38.4583	0.2269614000	0.6147078000
2005-04-02	1011.94	1197.94	-3.13	-1.42	500.0	-6.1	1.10	23.0	13	330	38.4583	0.2269614000	0.6147078000
2005-04-02	1011.94	1197.94	-3.13	-1.42	400.0	-17.7	0.61	26.0	27	300	38.4583	0.2269614000	0.6147078000
2005-04-02	1011.94	1197.94	-3.13	-1.42	300.0	-33.3	0.09	12.0	35	305	38.4583	0.2269614000	0.6147078000
2005-04-02	1011.94	1197.94	-3.13	-1.42	250.0	-43.3	0.06	18.0	39	295	38.4583	0.2269614000	0.6147078000
2005-04-02	1011.94	1197.94	-3.13	-1.42	200.0	-54.5	0.02	21.0	44	305	38.4583	0.2269614000	0.6147078000
2005-04-02	1011.94	1197.94	-3.13	-1.42	150.0	-65.5	0.01	24.0	47	280	38.4583	0.2269614000	0.6147078000
2005-04-02	1011.94	1197.94	-3.13	-1.42	100.0	-77.3	0.00	27.0	41	320	38.4583	0.2269614000	0.6147078000
2005-04-02	1011.94	1197.94	-3.13	-1.42	50.0	-67.3	0.02	23.0	7	10	38.4583	0.2269614000	0.6147078000
2005-04-03	131.78	275.16	-17.59	-9.94	1000.0	24.4	16.13	82.0	7	135	45.7619	0.2358136667	0.6295012000
2005-04-03	131.78	275.16	-17.59	-9.94	925.0	20.0	13.44	83.0	11	130	45.7619	0.2358136667	0.6295012000
2005-04-03	131.78	275.16	-17.59	-9.94	850.0	15.8	9.66	72.0	15	115	45.7619	0.2358136667	0.6295012000
2005-04-03	131.78	275.16	-17.59	-9.94	700.0	7.6	3.96	42.0	9	20	45.7619	0.2358136667	0.6295012000
2005-04-03	131.78	275.16	-17.59	-9.94	500.0	-4.7	1.48	27.0	3	5	45.7619	0.2358136667	0.6295012000
2005-04-03	131.78	275.16	-17.59	-9.94	400.0	-16.1	0.72	26.0	9	305	45.7619	0.2358136667	0.6295012000
2005-04-03	131.78	275.16	-17.59	-9.94	300.0	-32.3	0.28	33.0	20	290	45.7619	0.2358136667	0.6295012000
