pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1018.0,19,23.2,18.9,140.0,7.0,-4.499513267805776,5.362311101832845,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
1000.0,166,23.4,19.5,115.0,15.0,-13.594616805549752,6.33927392611049,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
984.2,304,22.4,19.0,100.0,18.0,-17.726539554219745,3.1256671980047455,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
950.2,609,20.0,18.0,95.0,120.0,-119.54336377100947,10.458689129718989,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
933.0,768,18.8,17.5,95.0,96.0,-95.63469101680758,8.36695130377519,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
885.0,1219,16.1,13.0,95.0,25.0,-24.90486745229364,2.1788935686914557,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
873.0,1336,15.4,11.8,93.0,25.0,-24.965738368864347,1.308398906073596,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
850.0,1562,13.4,12.0,90.0,26.0,-26.0,-1.592040838891559e-15,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
823.6,1828,12.6,5.1,85.0,27.0,-26.89725684847713,-2.3532050541867697,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
817.0,1895,12.4,3.4,83.0,71.0,-70.47077676653386,-8.652723381765473,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
794.2,2133,12.4,-2.9,75.0,225.0,-217.33331091504036,-58.234285148067165,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
781.0,2273,12.4,-6.6,75.0,133.0,-128.4681348964461,-34.42293299863526,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
