"date","power"
"2007-01-01",389
"2007-01-02",705
"2007-01-03",598
"2007-01-06",447
"2007-01-07",334
"2007-01-08",572
"2007-01-09",593
"2007-01-10",478
"2007-01-11",423
"2007-01-12",515
"2007-01-13",585
"2007-01-14",453
"2007-01-15",411
"2007-01-16",501
"2007-01-17",603
"2007-01-18",714
"2007-01-19",665
"2007-01-20",635
"2007-01-21",618
"2007-01-22",995
"2007-01-23",884
"2007-01-24",852
"2007-01-25",663
"2007-01-26",940
"2007-01-27",638
"2007-01-28",805
"2007-01-29",1066
"2007-01-30",1301
"2007-01-31",846
"2007-02-01",832
"2007-02-02",814
"2007-02-03",1061
"2007-02-04",526
"2007-02-05",532
"2007-02-06",718
"2007-02-07",873
"2007-02-10",1029
"2007-02-11",880
"2007-02-12",789
"2007-02-14",767
"2007-02-15",612
"2007-02-16",556
"2007-02-17",531
"2007-02-18",981
"2007-02-19",864
"2007-02-20",748
"2007-02-21",808
"2007-02-22",544
"2007-02-23",111
"2007-02-24",526
"2007-02-25",534
"2007-02-26",741
"2007-02-27",672
"2007-02-28",296
"2007-03-01",651
"2007-03-02",612
"2007-03-03",578
"2007-03-04",594
"2007-03-05",566
"2007-03-06",722
"2007-03-07",572
"2007-03-08",665
"2007-03-09",827
"2007-03-10",575
"2007-03-11",781
"2007-03-12",543
"2007-03-13",537
"2007-03-14",577
"2007-03-15",751
"2007-03-16",685
"2007-03-17",635
"2007-03-18",828
"2007-03-19",753
"2007-03-20",761
"2007-03-21",626
"2007-03-22",644
"2007-03-23",772
"2007-03-24",628
"2007-03-25",717
"2007-03-26",906
"2007-03-27",808
"2007-03-28",493
"2007-03-29",634
"2007-03-30",583
"2007-03-31",663
"2007-04-01",13
"2007-04-02",743
"2007-04-03",546
"2007-04-05",754
"2007-04-06",669
"2007-04-07",588
"2007-04-08",636
"2007-04-09",706
"2007-04-10",718
"2007-04-11",1091
"2007-04-12",1024
"2007-04-13",920
"2007-04-14",670
"2007-04-15",631
"2007-04-16",440
"2007-04-17",453
"2007-04-18",517
"2007-04-19",474
"2007-04-20",314
"2007-04-22",466
"2007-04-23",456
"2007-04-24",532
"2007-04-25",483
"2007-04-26",608
"2007-04-27",597
"2007-04-28",613
"2007-04-29",822
"2007-04-30",559
"2007-05-02",685
"2007-05-03",683
"2007-05-04",674
"2007-05-05",648
"2007-05-06",634
"2007-05-07",480
"2007-05-08",658
"2007-05-09",980
"2007-05-11",562
"2007-05-12",719
"2007-05-13",645
"2007-05-14",540
"2007-05-15",771
"2007-05-16",348
"2007-05-17",415
"2007-05-18",915
"2007-05-19",672
"2007-05-20",764
"2007-05-21",631
"2007-05-22",618
"2007-05-23",517
"2007-05-24",794
"2007-05-25",408
"2007-05-26",493
"2007-05-27",617
"2007-05-28",555
"2007-05-29",562
"2007-05-30",638
"2007-05-31",594
"2007-06-01",460
"2007-06-02",680
"2007-06-03",894
"2007-06-04",1120
"2007-06-05",673
"2007-06-06",472
"2007-06-07",723
"2007-06-08",580
"2007-06-09",634
"2007-06-10",612
"2007-06-11",589
"2007-06-12",682
"2007-06-13",1
"2007-06-14",595
"2007-06-15",716
"2007-06-16",619
"2007-06-17",645
"2007-06-18",801
"2007-06-19",742
"2007-06-20",681
"2007-06-21",637
