"date","isal","cape"
"2007-01-01",-116.2,733.38
"2007-01-02",-214.96,608.87
"2007-01-03",-211.98,517.39
"2007-01-06",-163.47,205.11
"2007-01-07",-100.26,490.82
"2007-01-08",-183.31,373.2
"2007-01-09",-212.08,613.12
"2007-01-10",-174.46,687.29
"2007-01-11",-152.55,546.86
"2007-01-12",-179.31,424.3
"2007-01-13",-184.51,1438.68
"2007-01-14",-155.49,1139.64
"2007-01-15",-146.46,143.22
"2007-01-16",-159.66,815.18
"2007-01-17",-180.43,71.61
"2007-01-18",-243.9,13.03
"2007-01-19",-226.12,311.71
"2007-01-20",-216.7,306.4
"2007-01-21",-223.72,10.13
"2007-01-22",-325.72,25.81
"2007-01-23",-308.28,0
"2007-01-24",-288.62,0
"2007-01-25",-225.53,415.65
"2007-01-26",-310.62,1.13
"2007-01-27",-217.66,15.05
"2007-01-28",-270.33,286.94
"2007-01-29",-352.53,71.9
"2007-01-30",-474.18,38.95
"2007-01-31",-287.52,64.74
"2007-02-01",-274.87,139.06
"2007-02-02",-275.81,252.93
"2007-02-03",-356.58,27.64
"2007-02-04",-167.64,128.7
"2007-02-05",-181.89,50.18
"2007-02-06",-235.34,296.43
"2007-02-07",-310.37,74.66
"2007-02-10",-346.73,87.42
"2007-02-11",-283.38,565.89
"2007-02-12",-255.84,50.82
"2007-02-14",-346.51,0
"2007-02-15",-214.46,957.57
"2007-02-16",-172.41,318.32
"2007-02-17",-186.3,140.21
"2007-02-18",-328.78,0
"2007-02-19",-309.42,1.4
"2007-02-20",-244.25,165.44
"2007-02-21",-276.98,322.53
"2007-02-22",-192.04,35.8
"2007-02-23",-30.61,404.46
"2007-02-24",-195.45,175.29
"2007-02-25",-174.18,1103.06
"2007-02-26",-238.25,1085.5
"2007-02-27",-217.08,320.74
"2007-02-28",-60.15,920.64
"2007-03-01",-209.31,20.46
"2007-03-02",-190.37,347.52
"2007-03-03",-199.58,341.53
"2007-03-04",-193.06,985.75
"2007-03-05",-195.49,40.05
"2007-03-06",-254.96,76.92
"2007-03-07",-183.08,379.72
"2007-03-08",-228.01,936.61
"2007-03-09",-298.6,98.34
"2007-03-10",-215.91,354.99
"2007-03-11",-250.32,43.32
"2007-03-12",-181.91,8.51
"2007-03-13",-192.72,282.21
"2007-03-14",-222.9,18.17
"2007-03-15",-286.92,7.9
"2007-03-16",-248.2,72.89
"2007-03-17",-230.07,243.92
"2007-03-18",-262.64,159.06
"2007-03-19",-256.7,15.83
"2007-03-20",-232.44,53.15
"2007-03-21",-214.15,64.68
"2007-03-22",-231.52,388.16
"2007-03-23",-249.63,2.42
"2007-03-24",-220.28,198.7
"2007-03-25",-255.02,32.46
"2007-03-26",-300.77,340.87
"2007-03-27",-263.27,275.03
"2007-03-28",-168.46,985.97
"2007-03-29",-234.28,0
"2007-03-30",-199.52,207.73
"2007-03-31",-227.19,0
"2007-04-01",-3.9,3.22
"2007-04-02",-274.46,28.01
"2007-04-03",-197.58,95.32
"2007-04-05",-249.06,40.07
"2007-04-06",-225.18,86.16
"2007-04-07",-207.35,210.43
"2007-04-08",-210.25,149.56
"2007-04-09",-252.59,152.47
"2007-04-10",-260.58,126.83
"2007-04-11",-361.34,0
"2007-04-12",-340.31,3.81
"2007-04-13",-300.33,270.73
"2007-04-14",-211.94,284.77
"2007-04-15",-221.06,28.21
"2007-04-16",-180.53,2.79
"2007-04-17",-154.29,254.24
"2007-04-18",-161,117.32
"2007-04-19",-158.42,159.07
"2007-04-20",-121.12,407.86
"2007-04-22",-168.6,609.75
"2007-04-23",-150.69,757.75
"2007-04-24",-187.79,12.04
"2007-04-25",-154.84,29.23
"2007-04-26",-209.18,0
"2007-04-27",-185.75,509.99
"2007-04-28",-212.21,62.17
"2007-04-29",-273.66,270.01
"2007-04-30",-192.7,299.39
"2007-05-02",-214.86,808
"2007-05-03",-234.71,126.46
"2007-05-04",-240.11,0.2
"2007-05-05",-220.75,14.06
"2007-05-06",-223.59,458.54
"2007-05-07",-147.39,53.39
"2007-05-08",-245.26,80.04
"2007-05-09",-329,34.83
"2007-05-11",-204.52,65.07
"2007-05-12",-247.51,1011.84
"2007-05-13",-215.15,328.2
