"date","power"
"2006-01-01",455
"2006-01-02",703
"2006-01-03",772
"2006-01-04",704
"2006-01-06",607
"2006-01-07",449
"2006-01-08",62
"2006-01-09",603
"2006-01-10",497
"2006-01-11",452
"2006-01-12",572
"2006-01-13",693
"2006-01-14",609
"2006-01-15",393
"2006-01-17",726
"2006-01-18",697
"2006-01-19",525
"2006-01-20",415
"2006-01-21",559
"2006-01-22",685
"2006-01-23",716
"2006-01-24",858
"2006-01-25",930
"2006-01-26",1096
"2006-01-27",1044
"2006-01-28",791
"2006-01-29",591
"2006-01-30",394
"2006-01-31",735
"2006-02-01",446
"2006-02-02",467
"2006-02-03",662
"2006-02-05",670
"2006-02-06",821
"2006-02-07",563
"2006-02-08",409
"2006-02-09",819
"2006-02-10",996
"2006-02-11",729
"2006-02-14",1376
"2006-02-15",638
"2006-02-16",623
"2006-02-17",654
"2006-02-18",427
"2006-02-19",596
"2006-02-20",608
"2006-02-21",675
"2006-02-22",754
"2006-02-23",920
"2006-02-24",1078
"2006-02-25",1043
"2006-02-26",1001
"2006-02-27",958
"2006-02-28",960
"2006-03-01",544
"2006-03-02",982
"2006-03-03",731
"2006-03-04",542
"2006-03-05",499
"2006-03-06",522
"2006-03-08",617
"2006-03-09",561
"2006-03-10",454
"2006-03-11",440
"2006-03-12",608
"2006-03-13",613
"2006-03-14",658
"2006-03-15",548
"2006-03-16",618
"2006-03-17",519
"2006-03-18",594
"2006-03-19",694
"2006-03-21",835
"2006-03-22",633
"2006-03-23",648
"2006-03-24",710
"2006-03-25",845
"2006-03-26",409
"2006-03-27",393
"2006-03-29",557
"2006-03-30",861
"2006-03-31",591
"2006-04-01",628
"2006-04-02",654
"2006-04-03",482
"2006-04-05",513
"2006-04-06",668
"2006-04-07",509
"2006-04-08",555
"2006-04-09",517
"2006-04-10",722
"2006-04-11",478
"2006-04-12",639
"2006-04-13",738
"2006-04-14",680
"2006-04-15",541
"2006-04-16",530
"2006-04-17",558
"2006-04-18",537
"2006-04-19",382
"2006-04-20",402
"2006-04-21",342
"2006-04-22",486
"2006-04-23",465
"2006-04-24",640
"2006-04-25",685
"2006-04-26",798
"2006-04-27",692
"2006-04-28",712
"2006-04-29",597
"2006-04-30",612
"2006-05-01",671
"2006-05-03",616
"2006-05-04",599
"2006-05-05",512
"2006-05-06",663
"2006-05-07",372
"2006-05-08",440
"2006-05-09",674
"2006-05-10",621
"2006-05-11",993
"2006-05-12",537
"2006-05-13",630
"2006-05-14",611
"2006-05-15",1005
"2006-05-16",749
"2006-05-17",825
"2006-05-18",691
"2006-05-19",634
"2006-05-20",555
"2006-05-21",672
"2006-05-22",547
"2006-05-23",642
"2006-05-24",639
"2006-05-25",607
"2006-05-26",591
"2006-05-27",555
"2006-05-28",668
"2006-05-29",586
"2006-05-30",562
"2006-05-31",531
"2006-06-01",536
"2006-06-02",753
"2006-06-03",395
"2006-06-04",707
"2006-06-05",381
"2006-06-06",381
"2006-06-07",550
"2006-06-10",620
"2006-06-11",553
"2006-06-12",489
"2006-06-13",590
"2006-06-14",638
"2006-06-15",427
"2006-06-16",730
"2006-06-17",564
"2006-06-18",566
"2006-06-19",634
"2006-06-20",503
"2006-06-21",658
"2006-06-22",603
"2006-06-23",609
"2006-06-24",792
"2006-06-25",646
"2006-06-26",768
"2006-06-27",556
"2006-06-28",766
"2006-06-29",617
"2006-06-30",603
"2006-07-01",584
"2006-07-02",541
"2006-07-03",692
"2006-07-04",618
"2006-07-05",745
"2006-07-06",732
"2006-07-08",706
"2006-07-09",548
"2006-07-10",707
"2006-07-11",663
"2006-07-12",477
"2006-07-13",592
"2006-07-14",681
"2006-07-15",685
"2006-07-16",643
"2006-07-17",672
"2006-07-18",564
"2006-07-19",759
"2006-07-20",725
"2006-07-21",381
"2006-07-22",600
"2006-07-23",845
"2006-07-24",663
"2006-07-25",542
"2006-07-26",597
"2006-07-27",724
"2006-07-28",624
"2006-07-29",585
"2006-07-30",645
"2006-07-31",772
"2006-08-01",567
"2006-08-02",551
"2006-08-03",581
"2006-08-04",467
"2006-08-05",584
"2006-08-06",698
"2006-08-08",674
"2006-08-09",664
"2006-08-10",720
"2006-08-11",883
"2006-08-12",601
"2006-08-13",675
"2006-08-14",545
"2006-08-15",618
"2006-08-16",685
"2006-08-17",582
"2006-08-18",511
"2006-08-19",656
"2006-08-20",676
"2006-08-21",732
"2006-08-22",733
"2006-08-23",665
"2006-08-24",569
"2006-09-01",71
"2006-09-03",521
"2006-09-04",522
"2006-09-05",713
"2006-09-06",561
"2006-09-07",490
"2006-09-08",649
"2006-09-09",533
"2006-09-10",530
"2006-09-11",467
"2006-09-12",360
"2006-09-13",579
"2006-09-14",664
"2006-09-15",630
"2006-09-16",458
"2006-09-17",677
"2006-09-18",599
"2006-09-19",678
"2006-09-20",627
"2006-09-21",742
"2006-09-22",703
"2006-09-23",520
"2006-09-24",529
"2006-09-25",637
"2006-09-26",594
"2006-09-27",513
"2006-09-28",689
"2006-09-29",509
"2006-09-30",576
"2006-10-01",531
"2006-10-02",481
"2006-10-03",526
"2006-10-04",629
"2006-10-05",466
"2006-10-06",586
"2006-10-07",541
"2006-10-08",448
"2006-10-09",529
"2006-10-10",584
"2006-10-11",634
"2006-10-13",458
"2006-10-14",596
"2006-10-15",655
"2006-10-16",560
"2006-10-17",627
"2006-10-18",560
"2006-10-19",465
"2006-10-20",498
"2006-10-21",386
"2006-10-22",642
"2006-10-23",646
"2006-10-24",855
"2006-10-26",603
"2006-10-27",587
"2006-10-28",600
"2006-10-29",726
"2006-10-30",729
"2006-10-31",561
"2006-11-01",672
"2006-11-02",583
"2006-11-03",593
"2006-11-04",611
"2006-11-05",813
"2006-11-06",543
"2006-11-07",579
"2006-11-08",579
"2006-11-09",849
"2006-11-10",879
"2006-11-11",727
"2006-11-12",833
"2006-11-13",754
"2006-11-14",521
"2006-11-15",554
"2006-11-16",605
"2006-11-17",574
"2006-11-18",504
"2006-11-19",638
"2006-11-20",523
"2006-11-21",449
"2006-11-22",371
"2006-11-23",437
"2006-11-24",573
"2006-11-25",633
"2006-11-26",661
"2006-11-27",709
"2006-11-28",648
"2006-11-29",535
"2006-11-30",508
"2006-12-01",490
"2006-12-02",583
"2006-12-03",562
"2006-12-04",566
"2006-12-05",631
"2006-12-06",674
"2006-12-07",636
"2006-12-08",946
"2006-12-09",517
"2006-12-10",567
"2006-12-11",495
"2006-12-12",536
"2006-12-13",411
"2006-12-14",551
"2006-12-15",557
"2006-12-16",581
"2006-12-18",939
"2006-12-19",871
"2006-12-20",701
"2006-12-21",722
"2006-12-22",591
"2006-12-23",540
"2006-12-24",482
"2006-12-25",794
"2006-12-26",819
"2006-12-27",603
"2006-12-28",704
"2006-12-29",646
"2006-12-30",797
"2006-12-31",609
