date	cape	cape_virt	conv_inhib	cins	pressure	temp	mixr	relhumidity	windspeed	wind_direction	aot_440	ae
2006-09-13	135.83	222.80	-227.45	-140.31	1000.0	27.8	15.73	66.0	5	90	0.2182840000	0.1630887778
2006-09-13	135.83	222.80	-227.45	-140.31	925.0	22.2	11.12	60.0	12	100	0.2182840000	0.1630887778
2006-09-13	135.83	222.80	-227.45	-140.31	850.0	18.8	9.66	60.0	15	105	0.2182840000	0.1630887778
2006-09-13	135.83	222.80	-227.45	-140.31	700.0	10.2	5.18	46.0	11	115	0.2182840000	0.1630887778
2006-09-13	135.83	222.80	-227.45	-140.31	500.0	-6.3	2.76	58.0	8	165	0.2182840000	0.1630887778
2006-09-13	135.83	222.80	-227.45	-140.31	400.0	-16.5	0.76	29.0	7	205	0.2182840000	0.1630887778
2006-09-13	135.83	222.80	-227.45	-140.31	300.0	-32.5	0.20	23.0	23	195	0.2182840000	0.1630887778
2006-09-14	1421.04	1628.94	-9.56	-1.42	1000.0	26.6	18.63	83.0	6	65	0.0669897391	0.4126412609
2006-09-14	1421.04	1628.94	-9.56	-1.42	925.0	21.4	13.18	75.0	14	95	0.0669897391	0.4126412609
2006-09-14	1421.04	1628.94	-9.56	-1.42	850.0	17.8	10.33	68.0	20	120	0.0669897391	0.4126412609
2006-09-14	1421.04	1628.94	-9.56	-1.42	700.0	10.2	6.45	58.0	11	120	0.0669897391	0.4126412609
2006-09-14	1421.04	1628.94	-9.56	-1.42	500.0	-5.5	2.50	49.0	14	150	0.0669897391	0.4126412609
2006-09-14	1421.04	1628.94	-9.56	-1.42	400.0	-16.3	1.35	50.0	17	155	0.0669897391	0.4126412609
2006-09-14	1421.04	1628.94	-9.56	-1.42	300.0	-31.5	0.11	12.0	18	130	0.0669897391	0.4126412609
2006-09-15	1431.84	1746.93	-24.21	-8.26	1000.0	27.8	18.74	78.0	10	80	0.3686441111	0.1067477222
2006-09-15	1431.84	1746.93	-24.21	-8.26	925.0	23.0	13.35	69.0	18	90	0.3686441111	0.1067477222
2006-09-15	1431.84	1746.93	-24.21	-8.26	850.0	18.2	9.27	60.0	26	105	0.3686441111	0.1067477222
2006-09-15	1431.84	1746.93	-24.21	-8.26	700.0	8.8	4.02	40.0	30	95	0.3686441111	0.1067477222
2006-09-15	1431.84	1746.93	-24.21	-8.26	500.0	-4.7	0.87	16.0	10	100	0.3686441111	0.1067477222
2006-09-15	1431.84	1746.93	-24.21	-8.26	400.0	-15.1	0.29	10.0	25	95	0.3686441111	0.1067477222
2006-09-15	1431.84	1746.93	-24.21	-8.26	300.0	-31.3	0.03	3.0	24	100	0.3686441111	0.1067477222
2006-09-17	0.00	7.84	0.00	-14.92	1000.0	25.8	15.73	74.0	3	80	0.2411409000	0.2262596000
2006-09-17	0.00	7.84	0.00	-14.92	925.0	20.2	11.12	68.0	9	75	0.2411409000	0.2262596000
2006-09-17	0.00	7.84	0.00	-14.92	850.0	16.2	10.19	74.0	15	75	0.2411409000	0.2262596000
2006-09-17	0.00	7.84	0.00	-14.92	700.0	9.6	2.30	21.0	19	80	0.2411409000	0.2262596000
2006-09-17	0.00	7.84	0.00	-14.92	500.0	-5.3	0.05	1.0	21	85	0.2411409000	0.2262596000
2006-09-17	0.00	7.84	0.00	-14.92	400.0	-17.1	0.03	1.0	23	95	0.2411409000	0.2262596000
2006-09-17	0.00	7.84	0.00	-14.92	300.0	-30.5	0.01	1.0	16	105	0.2411409000	0.2262596000
2006-09-18	0.00	43.27	0.00	-40.18	1000.0	26.8	16.96	75.0	5	50	0.0986827105	0.5119494737
2006-09-18	0.00	43.27	0.00	-40.18	925.0	21.8	12.35	69.0	9	110	0.0986827105	0.5119494737
2006-09-18	0.00	43.27	0.00	-40.18	850.0	17.6	10.97	73.0	8	105	0.0986827105	0.5119494737
2006-09-18	0.00	43.27	0.00	-40.18	700.0	10.2	6.45	58.0	5	85	0.0986827105	0.5119494737
2006-09-18	0.00	43.27	0.00	-40.18	500.0	-3.7	0.06	1.0	17	85	0.0986827105	0.5119494737
2006-09-18	0.00	43.27	0.00	-40.18	400.0	-15.5	0.03	1.0	1	5	0.0986827105	0.5119494737
2006-09-18	0.00	43.27	0.00	-40.18	300.0	-30.7	0.01	1.0	8	215	0.0986827105	0.5119494737
2006-09-19	0.00	32.69	0.00	-200.25	1000.0	25.8	15.93	75.0	0	0	0.1092899355	0.5006129032
2006-09-19	0.00	32.69	0.00	-200.25	925.0	22.0	11.72	64.0	2	340	0.1092899355	0.5006129032
2006-09-19	0.00	32.69	0.00	-200.25	850.0	17.8	11.04	73.0	5	320	0.1092899355	0.5006129032
2006-09-19	0.00	32.69	0.00	-200.25	700.0	10.6	1.40	12.0	8	330	0.1092899355	0.5006129032
2006-09-19	0.00	32.69	0.00	-200.25	500.0	-5.7	0.05	1.0	12	70	0.1092899355	0.5006129032
2006-09-19	0.00	32.69	0.00	-200.25	400.0	-15.3	0.03	1.0	14	100	0.1092899355	0.5006129032
2006-09-19	0.00	32.69	0.00	-200.25	300.0	-30.7	0.01	1.0	9	40	0.1092899355	0.5006129032
2006-09-20	554.43	796.35	-35.89	-13.58	1000.0	26.2	17.94	82.0	3	235	0.1253341250	0.7988840000
2006-09-20	554.43	796.35	-35.89	-13.58	925.0	22.0	12.51	69.0	7	330	0.1253341250	0.7988840000
2006-09-20	554.43	796.35	-35.89	-13.58	850.0	17.6	10.19	68.0	8	320	0.1253341250	0.7988840000
2006-09-20	554.43	796.35	-35.89	-13.58	700.0	11.0	2.02	17.0	8	355	0.1253341250	0.7988840000
2006-09-20	554.43	796.35	-35.89	-13.58	500.0	-5.9	0.29	6.0	8	90	0.1253341250	0.7988840000
2006-09-20	554.43	796.35	-35.89	-13.58	400.0	-16.9	0.03	1.0	6	70	0.1253341250	0.7988840000
2006-09-20	554.43	796.35	-35.89	-13.58	300.0	-30.3	0.01	1.0	4	40	0.1253341250	0.7988840000
2006-09-21	170.76	277.19	-283.40	-123.60	1000.0	25.6	17.07	81.0	2	325	0.1409820000	1.2060269444
2006-09-21	170.76	277.19	-283.40	-123.60	925.0	21.8	10.14	57.0	4	345	0.1409820000	1.2060269444
2006-09-21	170.76	277.19	-283.40	-123.60	850.0	17.8	9.02	59.0	6	5	0.1409820000	1.2060269444
2006-09-21	170.76	277.19	-283.40	-123.60	700.0	11.6	3.15	26.0	11	55	0.1409820000	1.2060269444
2006-09-21	170.76	277.19	-283.40	-123.60	500.0	-6.3	0.25	5.0	7	45	0.1409820000	1.2060269444
2006-09-21	170.76	277.19	-283.40	-123.60	400.0	-16.5	0.03	1.0	8	90	0.1409820000	1.2060269444
2006-09-21	170.76	277.19	-283.40	-123.60	300.0	-31.3	0.01	1.0	11	320	0.1409820000	1.2060269444
2006-09-22	7.09	73.48	-250.37	-79.20	1000.0	26.4	16.33	74.0	2	20	0.0862501250	0.4254455250
2006-09-22	7.09	73.48	-250.37	-79.20	925.0	22.2	11.88	65.0	10	100	0.0862501250	0.4254455250
2006-09-22	7.09	73.48	-250.37	-79.20	850.0	17.0	9.79	68.0	11	95	0.0862501250	0.4254455250
2006-09-22	7.09	73.48	-250.37	-79.20	700.0	9.8	2.96	27.0	12	85	0.0862501250	0.4254455250
2006-09-22	7.09	73.48	-250.37	-79.20	500.0	-4.3	0.06	1.0	13	70	0.0862501250	0.4254455250
2006-09-22	7.09	73.48	-250.37	-79.20	400.0	-16.5	0.03	1.0	16	35	0.0862501250	0.4254455250
2006-09-22	7.09	73.48	-250.37	-79.20	300.0	-30.7	0.01	1.0	14	50	0.0862501250	0.4254455250
2006-09-23	888.83	1141.31	-45.75	-10.18	1000.0	27.2	18.51	80.0	4	105	0.0599207407	0.1963055556
2006-09-23	888.83	1141.31	-45.75	-10.18	925.0	22.8	10.14	53.0	15	80	0.0599207407	0.1963055556
2006-09-23	888.83	1141.31	-45.75	-10.18	850.0	17.8	10.33	68.0	18	75	0.0599207407	0.1963055556
2006-09-23	888.83	1141.31	-45.75	-10.18	700.0	9.6	4.96	46.0	15	90	0.0599207407	0.1963055556
2006-09-23	888.83	1141.31	-45.75	-10.18	500.0	-6.9	0.71	16.0	10	115	0.0599207407	0.1963055556
2006-09-23	888.83	1141.31	-45.75	-10.18	400.0	-18.7	1.30	59.0	6	80	0.0599207407	0.1963055556
