date	cape	cape_virt	conv_inhib	cins	pressure	temp	mixr	relhumidity	windspeed	wind_direction	pm10_mean
2006-01-01	232.23	350.91	-14.01	-10.00	300.0	-34.5	0.01	2.0	24	290	19.5420000
2006-01-01	232.23	350.91	-14.01	-10.00	400.0	-16.5	0.10	4.0	11	0	19.5420000
2006-01-01	232.23	350.91	-14.01	-10.00	500.0	-7.1	0.29	6.0	10	80	19.5420000
2006-01-01	232.23	350.91	-14.01	-10.00	700.0	6.4	6.13	71.0	23	100	19.5420000
2006-01-01	232.23	350.91	-14.01	-10.00	850.0	14.6	11.19	90.0	27	90	19.5420000
2006-01-01	232.23	350.91	-14.01	-10.00	925.0	19.2	13.53	88.0	29	85	19.5420000
2006-01-01	232.23	350.91	-14.01	-10.00	1000.0	23.2	15.63	86.0	16	70	19.5420000
2006-01-02	36.05	136.16	-29.45	-18.01	300.0	-33.3	0.01	1.0	29	325	20.0420000
2006-01-02	36.05	136.16	-29.45	-18.01	400.0	-16.9	0.06	2.0	13	340	20.0420000
2006-01-02	36.05	136.16	-29.45	-18.01	500.0	-5.7	0.16	3.0	13	335	20.0420000
2006-01-02	36.05	136.16	-29.45	-18.01	700.0	8.0	0.38	4.0	17	60	20.0420000
2006-01-02	36.05	136.16	-29.45	-18.01	850.0	14.6	8.31	67.0	25	85	20.0420000
2006-01-02	36.05	136.16	-29.45	-18.01	925.0	20.0	11.72	73.0	21	65	20.0420000
2006-01-02	36.05	136.16	-29.45	-18.01	1000.0	23.4	15.24	83.0	3	10	20.0420000
2006-01-03	62.64	106.80	-10.20	-5.68	300.0	-33.3	0.01	1.0	21	305	22.9580000
2006-01-03	62.64	106.80	-10.20	-5.68	400.0	-17.3	0.02	1.0	8	335	22.9580000
2006-01-03	62.64	106.80	-10.20	-5.68	500.0	-6.3	0.05	1.0	18	30	22.9580000
2006-01-03	62.64	106.80	-10.20	-5.68	700.0	10.0	0.19	2.0	16	85	22.9580000
2006-01-03	62.64	106.80	-10.20	-5.68	850.0	13.6	9.40	81.0	19	95	22.9580000
2006-01-03	62.64	106.80	-10.20	-5.68	925.0	18.6	11.80	80.0	13	90	22.9580000
2006-01-03	62.64	106.80	-10.20	-5.68	1000.0	23.6	14.67	79.0	7	80	22.9580000
2006-01-04	8.81	34.76	-42.14	-30.59	300.0	-32.7	0.17	21.0	45	285	22.5420000
2006-01-04	8.81	34.76	-42.14	-30.59	400.0	-17.7	0.02	1.0	16	305	22.5420000
2006-01-04	8.81	34.76	-42.14	-30.59	500.0	-5.9	0.05	1.0	11	10	22.5420000
