date	pressure	thtv	pm10
2005-03-01	1016.0	299.4	19.8333
2005-03-01	1000.0	299.8	19.8333
2005-03-01	925.0	301.6	19.8333
2005-03-01	850.0	302.9	19.8333
2005-03-01	700.0	316.7	19.8333
2005-03-01	500.0	326.1	19.8333
2005-03-01	400.0	334.5	19.8333
2005-03-01	300.0	343.1	19.8333
2005-03-02	1016.0	297.8	24.0000
2005-03-02	1000.0	298.8	24.0000
2005-03-02	997.0	298.9	24.0000
2005-03-02	988.0	299.8	24.0000
2005-03-02	979.0	300.6	24.0000
2005-03-02	925.0	301.4	24.0000
2005-03-02	850.0	302.5	24.0000
2005-03-02	819.0	303.0	24.0000
2005-03-02	801.0	299.0	24.0000
2005-03-02	787.0	302.3	24.0000
2005-03-02	786.0	302.6	24.0000
2005-03-02	776.0	310.0	24.0000
2005-03-02	760.0	313.8	24.0000
2005-03-02	743.0	313.7	24.0000
2005-03-02	738.0	313.9	24.0000
2005-03-02	700.0	315.1	24.0000
2005-03-02	699.0	315.1	24.0000
2005-03-02	642.0	319.9	24.0000
2005-03-02	632.0	320.2	24.0000
2005-03-02	520.0	324.1	24.0000
2005-03-02	500.0	324.9	24.0000
2005-03-02	498.0	325.0	24.0000
2005-03-02	479.0	328.1	24.0000
2005-03-02	463.0	330.8	24.0000
2005-03-02	431.0	332.1	24.0000
2005-03-02	410.0	334.9	24.0000
2005-03-02	400.0	336.4	24.0000
2005-03-02	388.0	338.3	24.0000
2005-03-02	379.0	338.7	24.0000
2005-03-02	300.0	342.3	24.0000
2005-03-02	256.0	344.3	24.0000
2005-03-03	1016.0	293.9	13.0000
2005-03-03	1000.0	298.4	13.0000
2005-03-03	993.0	300.5	13.0000
2005-03-03	949.0	301.0	13.0000
2005-03-03	925.0	301.4	13.0000
2005-03-03	850.0	302.4	13.0000
2005-03-03	848.0	302.4	13.0000
2005-03-03	821.0	302.6	13.0000
2005-03-03	803.0	305.0	13.0000
2005-03-03	792.0	309.0	13.0000
2005-03-03	771.0	311.9	13.0000
2005-03-03	716.0	316.4	13.0000
2005-03-03	715.0	316.5	13.0000
2005-03-03	700.0	316.9	13.0000
2005-03-03	588.0	320.2	13.0000
2005-03-03	572.0	320.7	13.0000
2005-03-03	550.0	323.5	13.0000
2005-03-03	522.0	331.4	13.0000
2005-03-03	520.0	331.5	13.0000
2005-03-03	500.0	332.0	13.0000
2005-03-03	400.0	335.3	13.0000
2005-03-03	359.0	336.5	13.0000
2005-03-03	341.0	338.4	13.0000
2005-03-03	318.0	340.9	13.0000
2005-03-03	302.0	342.8	13.0000
2005-03-03	300.0	342.9	13.0000
2005-03-03	258.0	343.8	13.0000
2005-03-04	1015.0	300.2	11.7917
2005-03-04	1000.0	300.3	11.7917
